#NAME,1913-8,1914-8,1915-8,1916-8,1917-8,1918-8,1919-8,1920-8,1945-8,1947-8,1948-8,1949-8,1951-8,1952-8
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,416,969,4201,783,11945,2642,5506,6052,6889,3401,9660,14293,10653,5372
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA,20330,25035,29938,30930,24637,12035,19060,20705,8082,18459,25562,28020,22539,16913
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes,4170,4247,5631,6143,2454,2957,4318,4938,0,3,0,0,0,8
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter,175,194,188,68,112,15,53,63,2533,1723,4421,3433,7543,5656
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,7,7,0,4,0,0,3,4,564,1403,1591,2317,1793,916
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group,10268,11180,15717,15118,4589,8757,12729,6580,5170,8778,6481,9393,15037,18130
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia,186,1786,294,3036,1520,535,691,1209,7,20,34,47,123,56
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2,5882,167,2209,247,437,5530,459,223,721,444,482,248,755,1155
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA,8206,11779,9848,9181,3510,7021,9437,4995,11435,11510,7463,3928,10925,9604
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium,841,2886,1929,4726,302,859,969,699,1257,1409,865,469,1359,1203
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma,206,43,612,92,273,187,231,114,1124,1162,2106,879,93,528
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium,2121,3951,3245,5917,593,1574,1919,1225,3156,3334,2178,1723,2859,4728
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1,0,3,0,0,0,0,0,0,75,25,65,57,226,100
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA,1040,1507,1233,2877,607,578,1071,754,603,854,1585,1187,933,1339
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9,566,1056,586,1599,237,246,418,227,532,417,329,535,990,587
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter,784,768,1125,1521,128,515,419,148,639,677,407,410,991,871
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas,546,122,631,301,118,220,96,210,517,548,358,513,624,570
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_1,67,47,48,46,804,353,459,2065,50,134,470,89,172,67
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-006,703,1673,690,1069,43,73,304,250,383,244,197,98,518,356
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001,1969,9,2197,20,89,44,673,108,2176,1491,945,1196,1452,2636
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_2,0,0,0,0,0,0,0,0,0,0,0,90,155,82
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_6,25,10,15,0,16,3,18,11,535,1071,464,381,159,205
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_5,908,680,751,1025,134,354,564,231,378,263,261,213,318,339
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium,48,144,67,67,567,113,181,246,0,0,0,78,34,14
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575,404,57,389,14,0,163,93,122,75,146,158,134,110,133
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;ASF356,425,324,353,780,36,94,49,37,533,303,202,345,473,484
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA,197,210,405,377,187,209,306,197,511,530,424,195,625,493
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,1239,11,3020,0,86,346,776,218,2252,1202,701,494,581,619
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_3,40,15,123,0,30,0,38,22,334,199,244,236,58,561
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus,23,8,17,12,32,116,37,0,233,104,69,345,272,373
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella,27,47,113,59,52,147,143,34,36,90,79,39,140,88
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor,216,66,312,88,89,202,275,208,229,161,123,174,559,817
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Romboutsia,0,0,0,0,0,0,0,0,16,0,21,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_UCG-009,100,0,106,0,22,0,111,7,113,96,59,35,84,54
