"Feature",Pvalues,FDR,Y,O,LDAscore
Anaerosporobacter,0.00060077,0.019372,0,41768,-4.32
Bacteroides,0.00092356,0.019372,86.597,230660,-5.06
Streptococcus,0.00093737,0.019372,64.947,3059.7,-3.18
Ruminococcaceae_UCG_013,0.0019235,0.020563,13141,606.18,3.8
Alistipes,0.0019458,0.020563,569420,75714,5.39
Candidatus_Saccharimonas,0.0025816,0.020563,0,1674.2,-2.92
Flavonifractor,0.0026202,0.020563,0,4127.8,-3.31
Tyzzerella,0.002829,0.020563,1472.1,9410.2,-3.6
Tyzzerella_3,0.0029849,0.020563,6105.1,26527,-4.01
Caproiciproducens,0.0037904,0.023501,3875.2,0,3.29
Lactobacillus,0.0067063,0.033836,747330,2562800,-5.96
Adlercreutzia,0.009266,0.033836,14613,894.83,3.84
Family_XIII_AD3011_group,0.0093446,0.033836,2489.7,923.7,2.89
GCA_900066225,0.0093446,0.033836,541.23,3810.2,-3.21
Erysipelatoclostridium,0.0095028,0.033836,28685,4791.7,4.08
Candidatus_Arthromitus,0.0096724,0.033836,0,10853,-3.73
Akkermansia,0.0098233,0.033836,129550,8428.7,4.78
Ruminococcaceae_NK4A214_group,0.016564,0.052092,887.61,3781.4,-3.16
DNF00809,0.016804,0.052092,8681.3,5109.2,3.25
Lachnospiraceae_UCG_004,0.019864,0.058645,2273.2,10276,-3.6
Anaerostipes,0.026615,0.075005,5433.9,606.18,3.38
Candidatus_Stoquefichus,0.044206,0.11917,3225.7,1096.9,3.03
Peptococcus,0.051914,0.12476,671.12,0,2.53
Jeotgalicoccus,0.05232,0.12476,1385.5,0,2.84
Desulfovibrio,0.05232,0.12476,21671,0,4.03
Anaerotruncus,0.070701,0.14612,11734,23237,-3.76
Ruminococcaceae_UCG_014,0.070701,0.14612,139810,78687,4.49
Lachnospiraceae_UCG_001,0.070701,0.14612,45442,135960,-4.66
Angelakisella,0.070701,0.14612,16735,9237,3.57
Lachnospiraceae_UCG_010,0.074341,0.14868,3052.5,1096.9,2.99
ASF356,0.09329,0.18075,22212,37785,-3.89
Lachnospiraceae_FCS020_group,0.10581,0.1988,7663.8,20523,-3.81
Acetatifactor,0.12134,0.22126,37778,54325,-3.92
A2,0.19671,0.33877,271650,34032,5.07
Ruminiclostridium_5,0.19671,0.33877,46459,36284,3.71
Harryflintia,0.22365,0.37476,541.23,288.66,2.1
Ruminiclostridium_9,0.24528,0.38993,51568,78745,-4.13
Anaeroplasma,0.24528,0.38993,71247,118150,-4.37
Ruminococcus_2,0.25273,0.39172,60033,6350.4,4.43
Lachnoclostridium,0.3017,0.45623,299000,403280,-4.72
Butyricicoccus,0.36563,0.53974,27451,18301,3.66
Defluviitaleaceae_UCG_011,0.39099,0.56376,5260.7,577.31,3.37
Ruminococcaceae_UCG_005,0.40087,0.56486,4892.7,12095,-3.56
Enterorhabdus,0.43807,0.60357,16995,22429,-3.43
Ruminococcaceae_UCG_010,0.51722,0.66986,4611.3,4474.2,1.84
Ruminococcus_1,0.51861,0.66986,21346,11893,3.67
Intestinimonas,0.51861,0.66986,37063,40902,-3.28
Candidatus_Soleaferrea,0.60558,0.73619,12297,14260,-2.99
GCA_900066575,0.60558,0.73619,23533,21418,3.02
Roseburia,0.60558,0.73619,103660,152150,-4.38
Staphylococcus,0.69533,0.80202,1017.5,1183.5,-1.92
Lachnospiraceae_NK4A136_group,0.69854,0.80202,1179400,1430700,-5.1
Marvinbryantia,0.69854,0.80202,5195.8,9958.6,-3.38
Family_XIII_UCG_001,0.74635,0.8228,3377.3,3781.4,-2.31
Ruminococcaceae_UCG_009,0.79603,0.8228,11929,15212,-3.22
Lachnospiraceae_UCG_006,0.79625,0.8228,44554,42750,2.96
Turicibacter,0.79625,0.8228,637440,334320,5.18
Ruminiclostridium,0.79625,0.8228,156160,182310,-4.12
Oscillibacter,0.79625,0.8228,110870,102760,3.61
Ruminiclostridium_6,0.89602,0.91071,5542.2,1039.2,3.35
Clostridium_sensu_stricto_1,1,1,179300,20292,4.9
