"Feature",Pvalues,FDR,Y,O,LDAscore
Candidatus_Saccharimonas,0.00059059,0.017422,0,5170.8,-3.41
Bacteroides,0.00060077,0.017422,0,426540,-5.33
Caproiciproducens,0.0012433,0.024038,2265.9,0,3.05
Anaerotruncus,0.0029849,0.043281,26450,7001,3.99
Clostridium_sensu_stricto_1,0.0061182,0.064889,7146.2,56385,-4.39
Flavonifractor,0.0096724,0.064889,0,8627.8,-3.63
Anaerosporobacter,0.0096724,0.064889,0,8976.3,-3.65
ASF356,0.0098233,0.064889,54926,18940,4.26
Adlercreutzia,0.010069,0.064889,3638.5,0,3.26
GCA_900066225,0.011922,0.06915,479.32,2062.5,-2.9
Ruminiclostridium_5,0.014171,0.074722,70460,25883,4.35
Candidatus_Soleaferrea,0.02,0.089841,29500,10109,3.99
A2,0.020137,0.089841,196220,45143,4.88
Lachnoclostridium,0.028186,0.10899,270580,143130,4.8
Oscillibacter,0.028186,0.10899,104270,60859,4.34
Erysipelatoclostridium,0.032967,0.11951,31984,9354,4.05
Ruminococcus_2,0.05232,0.1785,82269,0,4.61
Acetatifactor,0.070701,0.22781,40524,77185,-4.26
Tyzzerella,0.09257,0.25766,2418.4,7117.2,-3.37
Lachnospiraceae_NK4A136_group,0.09329,0.25766,1683700,1057300,5.5
Lachnospiraceae_FCS020_group,0.09329,0.25766,6340.1,16297,-3.7
Ruminococcus_1,0.12134,0.30598,47976,22688,4.1
Akkermansia,0.12134,0.30598,131700,63154,4.53
Peptococcus,0.13244,0.32006,1372.6,145.25,2.79
Ruminococcaceae_UCG_009,0.15513,0.33421,8475.2,16762,-3.62
Lactobacillus,0.15558,0.33421,1176700,1821200,-5.51
Ruminiclostridium,0.15558,0.33421,149680,95515,4.43
Ruminococcaceae_UCG_005,0.21952,0.45473,6361.9,11446,-3.41
Intestinimonas,0.24528,0.4886,39413,30647,3.64
Defluviitaleaceae_UCG_011,0.25273,0.4886,4074.2,610.04,3.24
Ruminococcaceae_UCG_013,0.26984,0.50487,13704,5054.6,3.64
Anaeroplasma,0.3017,0.54683,41635,68528,-4.13
DNF00809,0.33239,0.5842,5185.4,2672.6,3.1
Alistipes,0.36616,0.62462,725150,414250,5.19
Angelakisella,0.40087,0.63594,26101,15948,3.71
Anaerostipes,0.40814,0.63594,1721.2,1103.9,2.49
Butyricicoccus,0.43757,0.63594,45862,13653,4.21
Turicibacter,0.43858,0.63594,389270,526150,-4.84
Not_Assigned,0.43858,0.63594,3971800,4295000,-5.21
GCA_900066575,0.43858,0.63594,31613,42529,-3.74
Lachnospiraceae_UCG_004,0.50915,0.67021,3573.1,5780.9,-3.04
Marvinbryantia,0.51676,0.67021,7059.1,9092.5,-3.01
Staphylococcus,0.51768,0.67021,4858.6,27220,-4.05
Roseburia,0.51861,0.67021,135630,110100,4.11
Acetitomaculum,0.51999,0.67021,2658,8133.9,-3.44
Family_XIII_UCG_001,0.56041,0.70661,3812.8,2875.9,2.67
Lachnospiraceae_UCG_010,0.60358,0.74484,2745.2,2062.5,2.53
Family_XIII_AD3011_group,0.65066,0.7706,1634,1597.7,1.28
Tyzzerella_3,0.65102,0.7706,7538.4,9034.4,-2.87
Enterorhabdus,0.6979,0.80957,25186,19754,3.43
Jeotgalicoccus,0.78813,0.85524,3311.7,3515,-2.01
Candidatus_Stoquefichus,0.79448,0.85524,2048,2382.1,-2.23
Ruminococcaceae_UCG_010,0.79603,0.85524,4292.1,5170.8,-2.64
Lachnospiraceae_UCG_001,0.79625,0.85524,83009,85232,-3.05
Desulfovibrio,0.84026,0.8861,25883,37910,-3.78
Lachnospiraceae_UCG_006,0.89728,0.91302,39086,40234,-2.76
Ruminiclostridium_9,0.89728,0.91302,60416,62515,-3.02
Ruminococcaceae_UCG_014,1,1,156280,134300,4.04
