"Feature",Pvalues,FDR,Y,O,LDAscore
Clostridium_sensu_stricto_1,0.00060077,0.010213,0,56241,-4.45
Anaerosporobacter,0.00060077,0.010213,0,39908,-4.3
Bacteroides,0.00060077,0.010213,0,532810,-5.43
Caproiciproducens,0.0011297,0.012854,2567.8,0,3.11
Family_XIII_UCG_001,0.0012602,0.012854,6954.4,0,3.54
Alistipes,0.0017303,0.014707,667650,178.32,5.52
Tyzzerella_3,0.0029533,0.020904,9254.7,43938,-4.24
Erysipelatoclostridium,0.0037468,0.020904,4145.9,0,3.32
Defluviitaleaceae_UCG_011,0.0037904,0.020904,5215.8,0,3.42
Ruminiclostridium_5,0.0045087,0.020904,180600,39373,4.85
GCA_900066225,0.0045087,0.020904,1765.3,6027.1,-3.33
Ruminiclostridium_9,0.0066462,0.028246,56090,85878,-4.17
Candidatus_Soleaferrea,0.0097427,0.038221,4333.1,19900,-3.89
Butyricicoccus,0.010821,0.039419,1578.1,18010,-3.91
A2,0.014171,0.048183,1084400,276930,5.61
Ruminococcaceae_UCG_013,0.016684,0.053179,12304,1640.5,3.73
Staphylococcus,0.018653,0.055958,6018.2,356.64,3.45
Ruminiclostridium_6,0.028013,0.07937,14765,56384,-4.32
Candidatus_Stoquefichus,0.037048,0.099445,1257.1,285.31,2.69
Tyzzerella,0.052027,0.13267,1524.6,3637.7,-3.02
Ruminococcaceae_NK4A214_group,0.057811,0.1404,2113.1,677.61,2.86
Akkermansia,0.070392,0.15024,191380,67190,4.79
Roseburia,0.070701,0.15024,24153,60985,-4.27
Lachnospiraceae_NK4A136_group,0.070701,0.15024,1179000,1864100,-5.53
Anaerotruncus,0.081027,0.15894,4359.9,12304,-3.6
Lachnospiraceae_FCS020_group,0.081027,0.15894,16236,32347,-3.91
Adlercreutzia,0.09257,0.17485,13936,9415.2,3.35
Ruminococcaceae_UCG_009,0.1197,0.21338,6392.7,11769,-3.43
Acetatifactor,0.12134,0.21338,35762,58310,-4.05
Not_Assigned,0.15558,0.26449,4035100,3322500,5.55
Enterorhabdus,0.17571,0.27867,374.47,3566.4,-3.2
Turicibacter,0.17571,0.27867,3290,88160,-4.63
Lachnospiraceae_UCG_004,0.19175,0.27867,6660.2,13017,-3.5
DNF00809,0.19374,0.27867,4172.6,5634.8,-2.86
Lactobacillus,0.19671,0.27867,942620,1611700,-5.52
Ruminococcus_1,0.19671,0.27867,27229,117480,-4.65
Ruminococcaceae_UCG_005,0.2432,0.32075,5055.3,8880.2,-3.28
Lachnospiraceae_UCG_006,0.24528,0.32075,122720,61270,4.49
Intestinimonas,0.24528,0.32075,38383,58845,-4.01
Lachnospiraceae_UCG_010,0.3001,0.36635,1818.8,3209.7,-2.84
Lachnospiraceae_UCG_001,0.3017,0.36635,93804,155990,-4.49
GCA_900066575,0.3017,0.36635,60637,32097,4.15
Lachnoclostridium,0.36616,0.43428,551670,633670,-4.61
Ruminococcaceae_UCG_010,0.43605,0.4759,1123.4,1533.5,-2.31
Oscillibacter,0.43858,0.4759,135740,161160,-4.1
Angelakisella,0.43858,0.4759,32044,20721,3.75
ASF356,0.43858,0.4759,54833,30136,4.09
Anaeroplasma,0.51861,0.55102,45739,76748,-4.19
Marvinbryantia,0.59093,0.61505,2006.1,3602,-2.9
Ruminococcaceae_UCG_014,0.60558,0.61769,89685,72504,3.93
Ruminiclostridium,0.79625,0.79625,211550,218940,-3.57
