Feature,Pvalues,FDR,Y16(B),O16(B),LDAscore
Alistipes,9.55E-05,0.0062067,0,936870,-5.67
Anaeroplasma,0.00037665,0.0082178,68571,9613.7,4.47
Tyzzerella,0.0010046,0.014227,6758.3,1235.1,3.44
Defluviitaleaceae_UCG_011,0.0010944,0.014227,1865.4,177.85,2.93
GCA_900066225,0.0017524,0.018985,1588.8,217.37,2.84
GCA_900066575,0.0025196,0.023396,108290,22103,4.63
Ruminococcaceae_UCG_009,0.0033501,0.026386,2576.8,7795.7,-3.42
Adlercreutzia,0.0037713,0.026386,3327.7,1304.2,3.01
ASF356,0.0044653,0.026386,4529.2,23377,-3.97
Akkermansia,0.0044653,0.026386,632250,138050,5.39
Harryflintia,0.0061468,0.033218,3501.6,513.79,3.17
Staphylococcus,0.0066436,0.033218,790.44,2924.6,-3.03
Erysipelatoclostridium,0.0098978,0.045954,5691.2,33692,-4.15
Marvinbryantia,0.018422,0.07983,932.72,2015.6,-2.73
Christensenellaceae_R_7_group,0.024515,0.099591,3090.6,0,3.19
Ruminococcaceae_UCG_005,0.02633,0.10067,8418.2,3230.9,3.41
Family_XIII_UCG_001,0.029322,0.10588,1754.8,3280.3,-2.88
Acetatifactor,0.040993,0.13323,20148,41725,-4.03
Enterorhabdus,0.040993,0.13323,14267,26944,-3.8
Lachnospiraceae_FCS020_group,0.050612,0.14954,21958,14722,3.56
Lachnospiraceae_NK4A136_group,0.050612,0.14954,776860,1004900,-5.06
Escherichia_Shigella,0.055965,0.155,6932.1,3645.9,3.22
Ruminococcaceae_NK4A214_group,0.057229,0.155,2640.1,1541.4,2.74
Tyzzerella_3,0.065543,0.17041,2885.1,8319.4,-3.43
Candidatus_Soleaferrea,0.075561,0.1889,6734.5,9653.2,-3.16
Ruminococcaceae_UCG_010,0.09104,0.2048,5880.9,4861.2,2.71
Clostridium_sensu_stricto_1,0.091207,0.2048,176430,131460,4.35
Butyricicoccus,0.091374,0.2048,6845.2,2509.6,3.34
Anaerotruncus,0.10005,0.21677,4884.9,9297.5,-3.34
Family_XIII_AD3011_group,0.12972,0.25787,3533.3,2638.1,2.65
Bacteroides,0.13092,0.25787,385330,602230,-5.04
Ruminococcus_1,0.13092,0.25787,100990,58907,4.32
Parasutterella,0.14222,0.27189,33775,55350,-4.03
A2,0.15513,0.2801,21207,35797,-3.86
Ruminococcaceae_UCG_014,0.15513,0.2801,165980,149320,3.92
CAG_873,0.18761,0.32959,387.32,306.3,1.62
Roseburia,0.21352,0.33851,111540,102580,3.65
Ruminiclostridium_9,0.21352,0.33851,66721,56289,3.72
Turicibacter,0.21352,0.33851,639850,1305100,-5.52
Lachnospiraceae_UCG_001,0.21352,0.33851,55149,82670,-4.14
Acetitomaculum,0.22523,0.34856,4126.1,1393.1,3.14
Ruminiclostridium_6,0.31948,0.48294,5201.1,14939,-3.69
Candidatus_Stoquefichus,0.3506,0.51793,3983.8,2766.5,2.79
Lachnospiraceae_UCG_010,0.37253,0.53809,1644.1,1175.8,2.37
Lachnospiraceae_UCG_006,0.42366,0.58625,53774,66674,-3.81
Dubosiella,0.4239,0.58625,67725,77394,-3.68
Streptococcus,0.4635,0.62766,284.56,424.86,-1.85
Negativibacillus,0.53375,0.69415,10687,6748.4,3.29
Lactobacillus,0.53396,0.69415,1333800,1844200,-5.41
Lachnoclostridium,0.65669,0.83695,177240,180320,-3.19
Dehalobacterium,0.68285,0.84422,466.36,405.1,1.5
DNF00809,0.68836,0.84422,3248.7,3112.4,1.84
Caproiciproducens,0.71949,0.86606,2553.1,2628.2,-1.59
Enterococcus,0.8394,0.9587,229.23,207.49,1.07
Ruminiclostridium,0.85895,0.9587,134800,74627,4.48
Angelakisella,0.89392,0.9587,9833.1,8378.7,2.86
Anaerosporobacter,0.92229,0.9587,7754.2,6323.5,2.86
Anaerostipes,0.92438,0.9587,16149,15364,2.59
Ruminococcaceae_UCG_013,0.92916,0.9587,13746,14831,-2.74
Intestinimonas,0.9292,0.9587,40273,28989,3.75
Lachnospiraceae_UCG_004,0.9292,0.9587,6963.8,7153.5,-1.98
Ruminiclostridium_5,0.9292,0.9587,29973,30274,-2.18
Pseudomonas,0.96451,0.97958,1011.8,978.17,1.25
Oscillibacter,1,1,106530,81237,4.1
