function,description
EC:1.1.1.1,Alcohol dehydrogenase
EC:1.1.1.100,3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.102,3-dehydrosphinganine reductase
EC:1.1.1.103,L-threonine 3-dehydrogenase
EC:1.1.1.105,All-trans-retinol dehydrogenase (NAD(+))
EC:1.1.1.107,Pyridoxal 4-dehydrogenase
EC:1.1.1.108,Carnitine 3-dehydrogenase
EC:1.1.1.11,D-arabinitol 4-dehydrogenase
EC:1.1.1.122,D-threo-aldose 1-dehydrogenase
EC:1.1.1.125,2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130,3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132,GDP-mannose 6-dehydrogenase
EC:1.1.1.133,dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136,UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137,Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14,L-iditol 2-dehydrogenase
EC:1.1.1.140,Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.144,Perillyl-alcohol dehydrogenase
EC:1.1.1.145,3-beta-hydroxy-Delta(5)-steroid dehydrogenase
EC:1.1.1.157,3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159,7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.163,Cyclopentanol dehydrogenase
EC:1.1.1.169,2-dehydropantoate 2-reductase
EC:1.1.1.17,Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.173,L-rhamnose 1-dehydrogenase
EC:1.1.1.179,D-xylose 1-dehydrogenase (NADP(+))
EC:1.1.1.18,Inositol 2-dehydrogenase
EC:1.1.1.193,5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.2,Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202,"1,3-propanediol dehydrogenase"
EC:1.1.1.203,Uronate dehydrogenase
EC:1.1.1.205,IMP dehydrogenase
EC:1.1.1.206,Tropinone reductase I
EC:1.1.1.21,Aldehyde reductase
EC:1.1.1.215,Gluconate 2-dehydrogenase
EC:1.1.1.219,Dihydrokaempferol 4-reductase
EC:1.1.1.22,UDP-glucose 6-dehydrogenase
EC:1.1.1.220,6-pyruvoyltetrahydropterin 2'-reductase
EC:1.1.1.23,Histidinol dehydrogenase
EC:1.1.1.243,Carveol dehydrogenase
EC:1.1.1.25,Shikimate dehydrogenase
EC:1.1.1.251,Galactitol-1-phosphate 5-dehydrogenase
EC:1.1.1.26,Glyoxylate reductase
EC:1.1.1.261,sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262,4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.264,L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.267,1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.27,L-lactate dehydrogenase
EC:1.1.1.271,GDP-L-fucose synthase
EC:1.1.1.275,(+)-trans-carveol dehydrogenase
EC:1.1.1.276,Serine 3-dehydrogenase (NADP(+))
EC:1.1.1.28,D-lactate dehydrogenase
EC:1.1.1.281,GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282,Quinate/shikimate dehydrogenase
EC:1.1.1.284,S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.287,D-arabinitol dehydrogenase (NADP(+))
EC:1.1.1.289,Sorbose reductase
EC:1.1.1.29,Glycerate dehydrogenase
EC:1.1.1.290,4-phosphoerythronate dehydrogenase
EC:1.1.1.291,2-hydroxymethylglutarate dehydrogenase
EC:1.1.1.292,"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)"
EC:1.1.1.294,Chlorophyll(ide) b reductase
EC:1.1.1.298,3-hydroxypropionate dehydrogenase (NADP(+))
EC:1.1.1.3,Homoserine dehydrogenase
EC:1.1.1.30,3-hydroxybutyrate dehydrogenase
EC:1.1.1.302,"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
EC:1.1.1.303,Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304,Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305,UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306,S-(hydroxymethyl)mycothiol dehydrogenase
EC:1.1.1.308,Sulfopropanediol 3-dehydrogenase
EC:1.1.1.31,3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.310,(S)-sulfolactate dehydrogenase
EC:1.1.1.312,2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
EC:1.1.1.313,Sulfoacetaldehyde reductase
EC:1.1.1.316,L-galactose 1-dehydrogenase
EC:1.1.1.320,Benzil reductase ((S)-benzoin forming)
EC:1.1.1.325,"Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)"
EC:1.1.1.328,Nicotine blue oxidoreductase
EC:1.1.1.333,Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC:1.1.1.335,UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC:1.1.1.336,UDP-N-acetyl-D-mannosamine dehydrogenase
EC:1.1.1.337,L-2-hydroxycarboxylate dehydrogenase (NAD(+))
EC:1.1.1.338,(2R)-3-sulfolactate dehydrogenase (NADP(+))
EC:1.1.1.339,dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
EC:1.1.1.34,Hydroxymethylglutaryl-CoA reductase (NADPH)
EC:1.1.1.343,"Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)"
EC:1.1.1.346,"2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)"
EC:1.1.1.35,3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.350,Ureidoglycolate dehydrogenase (NAD(+))
EC:1.1.1.36,Acetoacetyl-CoA reductase
EC:1.1.1.361,Glucose-6-phosphate 3-dehydrogenase
EC:1.1.1.363,Glucose-6-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.367,"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase"
EC:1.1.1.368,6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EC:1.1.1.369,D-chiro-inositol 1-dehydrogenase
EC:1.1.1.37,Malate dehydrogenase
EC:1.1.1.370,Scyllo-inositol 2-dehydrogenase (NAD(+))
EC:1.1.1.371,Scyllo-inositol 2-dehydrogenase (NADP(+))
EC:1.1.1.373,Sulfolactaldehyde 3-reductase
EC:1.1.1.374,UDP-N-acetylglucosamine 3-dehydrogenase
EC:1.1.1.376,L-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.377,L-rhamnose 1-dehydrogenase (NADP(+))
EC:1.1.1.378,L-rhamnose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.38,Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:1.1.1.380,L-gulonate 5-dehydrogenase
EC:1.1.1.381,3-hydroxy acid dehydrogenase
EC:1.1.1.385,Dihydroanticapsin 7-dehydrogenase
EC:1.1.1.387,L-serine 3-dehydrogenase (NAD(+))
EC:1.1.1.388,Glucose-6-phosphate dehydrogenase (NAD(+))
EC:1.1.1.4,"(R,R)-butanediol dehydrogenase"
EC:1.1.1.40,Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
EC:1.1.1.41,Isocitrate dehydrogenase (NAD(+))
EC:1.1.1.42,Isocitrate dehydrogenase (NADP(+))
EC:1.1.1.43,Phosphogluconate 2-dehydrogenase
EC:1.1.1.44,"Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
EC:1.1.1.47,Glucose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.48,D-galactose 1-dehydrogenase
EC:1.1.1.49,Glucose-6-phosphate dehydrogenase (NADP(+))
EC:1.1.1.51,3(or 17)-beta-hydroxysteroid dehydrogenase
EC:1.1.1.53,3-alpha(or 20-beta)-hydroxysteroid dehydrogenase
EC:1.1.1.56,Ribitol 2-dehydrogenase
EC:1.1.1.57,Fructuronate reductase
EC:1.1.1.58,Tagaturonate reductase
EC:1.1.1.6,Glycerol dehydrogenase
EC:1.1.1.60,2-hydroxy-3-oxopropionate reductase
EC:1.1.1.61,4-hydroxybutyrate dehydrogenase
EC:1.1.1.65,Pyridoxine 4-dehydrogenase
EC:1.1.1.67,Mannitol 2-dehydrogenase
EC:1.1.1.69,Gluconate 5-dehydrogenase
EC:1.1.1.76,"(S,S)-butanediol dehydrogenase"
EC:1.1.1.77,Lactaldehyde reductase
EC:1.1.1.79,Glyoxylate reductase (NADP(+))
EC:1.1.1.8,Glycerol-3-phosphate dehydrogenase (NAD(+))
EC:1.1.1.81,Hydroxypyruvate reductase
EC:1.1.1.82,Malate dehydrogenase (NADP(+))
EC:1.1.1.83,D-malate dehydrogenase (decarboxylating)
EC:1.1.1.85,3-isopropylmalate dehydrogenase
EC:1.1.1.86,Ketol-acid reductoisomerase (NADP(+))
EC:1.1.1.87,Homoisocitrate dehydrogenase
EC:1.1.1.88,Hydroxymethylglutaryl-CoA reductase
EC:1.1.1.9,D-xylulose reductase
EC:1.1.1.90,Aryl-alcohol dehydrogenase
EC:1.1.1.91,Aryl-alcohol dehydrogenase (NADP(+))
EC:1.1.1.93,Tartrate dehydrogenase
EC:1.1.1.94,Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.95,Phosphoglycerate dehydrogenase
EC:1.1.2.3,L-lactate dehydrogenase (cytochrome)
EC:1.1.2.4,D-lactate dehydrogenase (cytochrome)
EC:1.1.2.6,Polyvinyl alcohol dehydrogenase (cytochrome)
EC:1.1.2.7,Methanol dehydrogenase (cytochrome c)
EC:1.1.2.8,Alcohol dehydrogenase (cytochrome c)
EC:1.1.3.12,Pyridoxine 4-oxidase
EC:1.1.3.15,(S)-2-hydroxy-acid oxidase
EC:1.1.3.17,Choline oxidase
EC:1.1.3.21,Glycerol-3-phosphate oxidase
EC:1.1.3.41,Alditol oxidase
EC:1.1.3.45,Aclacinomycin-N oxidase
EC:1.1.3.46,4-hydroxymandelate oxidase
EC:1.1.3.47,5-(hydroxymethyl)furfural oxidase
EC:1.1.3.48,3-deoxy-alpha-D-manno-octulosonate 8-oxidase
EC:1.1.3.6,Cholesterol oxidase
EC:1.1.3.8,L-gulonolactone oxidase
EC:1.1.3.9,Galactose oxidase
EC:1.1.5.2,"Quinoprotein glucose dehydrogenase (PQQ, quinone)"
EC:1.1.5.3,Glycerol-3-phosphate dehydrogenase
EC:1.1.5.4,Malate dehydrogenase (quinone)
EC:1.1.5.6,Formate dehydrogenase-N
EC:1.1.5.8,Quinate dehydrogenase (quinone)
EC:1.1.9.1,Alcohol dehydrogenase (azurin)
EC:1.1.98.2,Glucose-6-phosphate dehydrogenase (coenzyme-F420)
EC:1.1.98.3,Decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase
EC:1.1.99.1,Choline dehydrogenase
EC:1.1.99.2,L-2-hydroxyglutarate dehydrogenase
EC:1.1.99.21,D-sorbitol dehydrogenase (acceptor)
