#NAME,Experiment,Tissue type,DOL,Genotype
050A,C,colon,P11,Sig Homo_HET 
051A,C,colon,P11,Sig Homo_HET
052A,C,colon,P11,Sig Homo_HET 
058A,C,colon,P11,Sig Homo_HET
059A,C,colon,P11,Sig Homo_HET
060A,C,colon,P11,Sig Homo_HET
064A,C,colon,P11,Sig Homo_HET
065A,C,colon,P11,Sig Homo_HET
066A,C,colon,P11,Sig Homo_HET
067A,C,colon,P11,Sig Homo_HET
073A,C,colon,P11,Sig WT
074A,C,colon,P11,Sig Homo_HET
075A,C,colon,P11,Sig WT
076A,C,colon,P11,Sig Homo_HET
080A,C,colon,P11,Sig Homo_HET
081A,C,colon,P11,Sig WT
082A,C,colon,P11,Sig Homo_HET
083A,C,colon,P11,Sig WT
084A,C,colon,P11,Sig Homo_HET
085A,C,colon,P11,Sig WT
086A,C,colon,P11,Sig Homo_HET
087A,C,colon,P11,Sig Homo_HET
088A,C,colon,P11,Sig WT
095A,C,colon,P11,Sig Homo_HET
096A,C,colon,P11,Sig Homo_HET
097A,C,colon,P11,Sig WT
102A,C,colon,P11,Sig Homo_HET
103A,C,colon,P11,Sig Homo_HET
104A,C,colon,P11,Sig Homo_HET
105A,C,colon,P11,Sig WT
106A,C,colon,P11,Sig WT
107A,C,colon,P11,Sig WT
214A,C,colon,P11,Sig Homo_HET
215A,C,colon,P11,Sig WT
216A,C,colon,P11,Sig Homo_HET
226A,C,colon,P11,Sig WT
227A,C,colon,P11,Sig WT
228A,C,colon,P11,Sig WT
229A,C,colon,P11,Sig Homo_HET
230A,C,colon,P11,Sig Homo_HET
231A,C,colon,P11,Sig Homo_HET
232A,C,colon,P11,Sig Homo_HET
233A,C,colon,P11,Sig Homo_HET
234A,C,colon,P11,Sig Homo_HET
235A,C,colon,P11,Sig WT
236A,C,colon,P11,Sig Homo_HET
237A,C,colon,P11,Sig Homo_HET
238A,C,colon,P11,Sig Homo_HET
239A,C,colon,P11,Sig Homo_HET
240A,C,colon,P11,Sig Homo_HET
139A,C,colon,P14,Sig Homo_HET
140A,C,colon,P14,Sig WT 
141A,C,colon,P14,Sig Homo_HET
142A,C,colon,P14,Sig Homo_HET
143A,C,colon,P14,Sig Homo_HET 
144A,C,colon,P14,Sig Homo_HET
145A,C,colon,P14,Sig Homo_HET
146A,C,colon,P14,Sig WT 
147A,C,colon,P14,Sig Homo_HET
148A,C,colon,P14,Sig Homo_HET
149A,C,colon,P14,Sig Homo_HET
150A,C,colon,P14,Sig Homo_HET 
151A,C,colon,P14,Sig WT 
152A,C,colon,P14,Sig Homo_HET 
153A,C,colon,P14,Sig Homo_HET 
154A,C,colon,P14,Sig Homo_HET 
155A,C,colon,P14,Sig Homo_HET
156A,C,colon,P14,Sig WT 
