function	050A	051A	052A	058A	059A	060A	064A	065A	066A	067A	073A	074A	075A	080A	081A	082A	083A	084A	085A	086A	087A	088A	095A	096A	097A	102A	103A	104A	105A	106A	107A	214A	215A	216A	226A	227A	228A	229A	230A	231A	232A	233A	234A	235A	236A	237A	238A	239A	240A	139A	140A	141A	142A	143A	144A	145A	146A	147A	148A	149A	150A	151A	152A	153A	154A	155A	156A	157A	158A	159A	160A	161A	162A	163A	164A	165A	166A	167A	168A	169A	249A	250A	251A	252A	253A	254A	255A	256A	257A	258A	259A	260A	261A	262A	263A	108A	109A	110A	111A	112A	113A	114A	115A	116A	117A	118A	119A	120A	121A	122A	123A	124A	125A	126A	127A	128A	129A	130A	131A	132A	133A	134A	135A	136A	137A	138A	1	2	3	7	8	11	13	14	15	22	23	24	25	30	40	41	42	43	46	47	48	49
EC:1.1.1.1	41798.87	84413.44	92079.66	90684.62	93442.34	70068.61	101291.66	106999.49	86030.78	98841.78	117507.34	110611.37	117151.76	79693.32999999999	93361.68	99666.01	86558.0	72422.23	75588.26999999999	63213.51	105986.93	96595.19	87491.73999999999	84024.53	88864.20999999999	107471.53	107477.97	24633.25	101008.23	97947.79	116200.65	49441.25	27304.71	27278.76	68366.98000000001	51080.62	48266.01	47752.2	61322.33	53044.23	54950.12	38330.87	41812.72	68255.0	42623.560000000005	26329.14	56174.11	55363.52	47615.6	66034.37	68011.5	79273.05	85690.59999999999	55125.09	55527.04	71715.20999999999	59233.09	77912.3	103487.79	95581.34	87750.29000000001	79056.61	69338.69	87226.15000000001	48145.3	71457.98000000001	70246.6	56081.76	48916.46	61868.37	61728.66999999999	71820.54	65583.09	68736.78	69628.53	50177.93	74182.66	73416.19	75791.76000000001	78009.48000000001	40857.25	29816.7	32331.0	37189.5	36061.35	33431.84	36608.75	50030.91	54047.83	29172.33	43021.7	56083.0	30002.0	32216.95	35967.5	76446.39	67657.62	71052.68	73327.62999999999	59199.45	85716.42	63022.58	83695.12	38093.38	57774.37	52759.3	61783.12	49842.05	76795.47	76805.13	74157.45	70111.42	60354.65	95116.02	46446.58	36949.97	46300.72	42820.380000000005	54182.1	63078.95	46827.09	61115.34	48349.8	36336.7	66991.95	56792.55	250166.53	223632.96	242337.35	237065.89	215534.86	176567.06	181208.59	156989.91	171909.92999999996	154382.77000000002	231091.78	235254.07	217513.17	113868.33	165601.62999999998	205824.84	201089.13000000003	173746.87000000002	153808.19999999998	165081.46	219736.51	200990.73
EC:1.1.1.100	29196.14	59686.91	66723.33	63152.69	65759.92	50436.73999999999	78111.43	77133.25	64576.57000000001	74505.69	101886.84	86088.88	92445.39	62359.95	70956.23	76304.45	66342.0	55617.84	57963.62999999999	44074.94	77585.34999999999	74587.49	66481.85	70619.48	72402.97	79332.13	78658.04000000001	25625.28	74382.62999999999	72893.54	85162.02	65076.58000000001	46072.82	30244.46	50228.22	36545.96	30678.17	32984.8	45694.96	41614.29	43691.41	40032.14	39761.05	50119.17	61931.29	35741.26	60159.21	46552.78	56859.73999999999	77837.39	68633.28	72112.12000000001	69964.43	58537.70999999999	54332.69	63083.740000000005	59310.83	75545.70999999999	76416.14	84401.81	64920.28	67513.19	67985.12	75801.33	52052.9	58387.88	64015.100000000006	56576.84	51733.32000000001	58971.25	66375.84	82493.04000000001	70839.36	72163.14	71758.89	65574.7	83064.65999999999	81669.33	77535.67	85411.02	51642.9	46126.46	49019.62	57177.68	41113.89	41969.36	46282.28	42290.24	73030.08	51397.8	61267.36	67528.18	49628.490000000005	59527.19	57100.01	62196.06999999999	65145.66	51059.85	67163.82999999999	55710.7	75485.97	71064.29999999999	85705.65999999999	102887.86	97371.07	68794.76	69113.61	50874.69	74179.2	68916.18	67243.96	62483.05	57458.89	73342.76	106508.7	101245.41	85968.14	80455.22	60167.7	63888.4	78608.08	72008.44	53469.73	34648.95	92767.25	62667.66	186589.8	171826.06	184349.66	174073.75	158406.86	124915.42	125212.77	109534.74	119134.43	107471.95	162174.29	166093.74	153251.15000000002	79707.33	114093.94	153820.63	141944.06000000003	119297.17	106593.9	113227.15	160567.66999999998	144804.31
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	1810.5	3343.25	1996.33	4280.58	4217.92	4048.67	883.4300000000001	2070.6	514.54	207.71	242.25	76.3	47.25	440.5	418.0	377.07	669.0	872.2800000000001	591.74	3421.83	925.75	1467.25	3630.37	1615.85	1384.86	283.0	46.0	190.75	543.17	21.0	12.75	92.0	283.25	3280.3100000000004	3234.33	3376.08	3434.67	3168.25	1910.75	1097.75	1690.92	667.58	1855.33	1641.75	349.92	4724.75	616.25	267.83	186.5	1253.4299999999998	2434.2	2610.5	3363.42	2155.82	2099.38	2773.12	2577.15	861.25	2734.5	1231.58	660.08	2446.07	1298.0	1759.8	3423.35	3924.24	2889.75	1914.17	2105.93	2768.79	2181.1	1902.96	1530.01	2468.61	766.11	1778.75	442.0	190.75	191.1	256.75	1527.5	690.75	950.5	618.75	1486.0	2556.5	594.25	2100.25	1199.5	3235.0	1061.0	546.0	410.0	275.5	634.75	104.05	103.55	79.25	221.9	89.9	110.85	255.84	131.6	576.36	383.84	104.05	163.65	116.2	97.65	133.4	104.05	200.35	86.6	126.4	896.55	545.1	423.1	518.25	77.85	200.2	425.92	197.42	294.5	161.0	393.5	465.0	567.92	451.01	415.18	650.1999999999999	324.32	6990.93	9809.17	8293.25	8133.13	7692.92	7781.13	7568.42	6860.5	3518.0	8678.5	4956.81	6487.17	9145.42	7763.29	8679.44	1842.23	3775.93
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	0.0	16.0	32.0	37.0	42.0	24.0	31.0	28.0	22.0	31.0	64.0	67.0	51.0	379.0	325.0	319.0	398.0	335.0	610.0	29.0	125.0	285.0	63.0	68.0	73.0	31.0	80.0	963.0	18.0	55.0	17.0	146.0	99.0	749.25	0.0	0.0	0.0	0.0	21.0	155.0	29.0	53.0	21.0	23.0	14.0	158.0	0.0	164.0	117.0	433.0	227.0	313.0	181.0	251.0	172.0	198.0	153.0	309.0	144.0	142.0	71.0	508.0	446.0	494.0	606.0	423.0	441.0	187.0	184.0	342.0	87.0	117.0	152.0	280.0	69.0	176.0	73.0	75.0	52.0	43.0	66.0	28.0	40.0	31.0	7.0	359.0	94.0	2771.0	429.0	1628.0	807.0	861.0	448.0	475.0	709.0	10.0	78.0	36.0	50.0	31.0	30.0	73.0	55.0	398.0	278.0	51.0	35.0	34.0	51.0	57.0	37.0	29.0	60.0	21.0	1006.0	622.0	328.0	393.0	44.0	142.0	247.0	118.0	39.0	9.0	286.0	87.0	1724.0	3544.0	3301.0	113.0	83.0	206.0	428.0	154.0	115.0	97.0	74.0	119.0	73.0	21.0	77.0	278.0	73.0	84.0	64.0	43.0	92.0	80.0
EC:1.1.1.11	0.0	0.0	0.0	0.0	0.0	0.0	844.4300000000001	9.43	506.29	188.71	0.0	0.0	0.0	411.0	418.0	256.57	669.0	872.2800000000001	586.99	0.0	0.0	0.0	240.29	1186.85	1068.86	0.0	4.0	83.0	0.0	0.0	0.0	0.0	0.0	46.09	3.25	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.43	18.57	0.0	0.0	0.0	12.29	926.15	1036.14	989.43	847.28	4.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.29	0.0	1.71	2.14	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.5	0.0	0.0	0.0	14.5	0.0	0.0	0.0	0.0	11.5	0.0	12.5	0.0	0.0	0.57	0.0	0.0	6.29	20.86	441.0	77.43
EC:1.1.1.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	3.0	0.0	8.0	137.5	0.0	0.0	0.0	0.0	0.0	135.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.0	5.0	27.0	0.0	0.0	0.0	0.0	0.0	10.0	9.0	10.0	0.0	4.0	9.0	0.0	3.0	0.0	11.0	0.0	4.0	0.0	0.0	0.0	4.0	3.0	6.0	13.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	5.0	0.0	0.0	6.0	10.0	8.0	3.0	6.0	3.0	11.0	0.0	11.0	0.0	0.0	3.0	12.0	135.0	173.5	194.0	181.33	126.0	149.5	57.0	112.0	58.0	70.0	113.5	98.0	103.5	21.0	98.22	493.5	74.0	70.0	84.0	48.0	109.0	119.0
EC:1.1.1.125	1810.5	3343.25	1996.33	4280.58	4217.92	4041.67	1707.86	2082.03	1020.83	393.42	19.75	0.0	19.25	822.0	836.0	523.14	1338.0	1744.5600000000002	1178.73	3421.83	925.75	1388.75	3694.16	2770.2000000000003	2146.8900000000003	283.0	42.0	403.75	543.17	19.0	12.75	8.0	100.75	3462.1000000000004	3242.0	3369.08	3436.67	3168.25	1907.75	1073.75	1685.92	642.58	1765.83	1624.75	13.75	426.25	382.75	227.33	157.0	915.33	2371.0	2527.0	3284.42	2045.42	2040.08	2558.92	2454.25	842.25	2602.5	1156.08	660.08	2357.17	798.5	1858.5	3423.78	3919.81	2873.25	1901.17	2079.83	2782.08	2729.05	2650.7	2445.94	3236.39	183.97	137.75	348.0	5.25	16.5	5.75	481.0	178.25	197.0	61.75	170.0	714.0	117.75	2100.25	63.0	0.0	130.0	19.0	16.0	13.0	37.75	11.75	17.75	7.75	19.0	0.0	7.25	40.83	45.0	195.17	167.28	22.25	31.75	18.0	13.75	40.5	31.25	41.25	5.5	32.0	160.25	145.5	145.0	114.75	6.25	52.5	56.75	53.25	0.0	2.5	50.5	36.5	256.25	334.11	327.94	610.5	235.89	6946.53	9770.0	8250.25	8093.75	7659.25	7776.84	7497.75	6878.33	3497.5	8661.39	4842.28	6471.5	9109.42	7717.58	8658.97	2128.14	3762.69
