#NAME	Experiment	Tissue type	DOL	Genotype
050B	C	TI	P11	Sig Homo_HET 
051B	C	TI	P11	Sig Homo_HET
052B	C	TI	P11	Sig Homo_HET 
058B	C	TI	P11	Sig Homo_HET
059B	C	TI	P11	Sig Homo_HET
060B	C	TI	P11	Sig Homo_HET
064B	C	TI	P11	Sig Homo_HET
065B	C	TI	P11	Sig Homo_HET
066B	C	TI	P11	Sig Homo_HET
067B	C	TI	P11	Sig Homo_HET
073B	C	TI	P11	Sig WT
074B	C	TI	P11	Sig Homo_HET
075B	C	TI	P11	Sig WT
076B	C	TI	P11	Sig Homo_HET
080B	C	TI	P11	Sig Homo_HET
081B	C	TI	P11	Sig WT
082B	C	TI	P11	Sig Homo_HET
083B	C	TI	P11	Sig WT
084B	C	TI	P11	Sig Homo_HET
085B	C	TI	P11	Sig WT
086B	C	TI	P11	Sig Homo_HET
087B	C	TI	P11	Sig Homo_HET
088B	C	TI	P11	Sig WT
095B	C	TI	P11	Sig Homo_HET
096B	C	TI	P11	Sig Homo_HET
097B	C	TI	P11	Sig WT
102B	C	TI	P11	Sig Homo_HET
103B	C	TI	P11	Sig Homo_HET
104B	C	TI	P11	Sig Homo_HET
105B	C	TI	P11	Sig WT
106B	C	TI	P11	Sig WT
107B	C	TI	P11	Sig WT
214B	C	TI	P11	Sig Homo_HET
215B	C	TI	P11	Sig WT
216B	C	TI	P11	Sig Homo_HET
226B	C	TI	P11	Sig WT
227B	C	TI	P11	Sig WT
228B	C	TI	P11	Sig WT
229B	C	TI	P11	Sig Homo_HET
230B	C	TI	P11	Sig Homo_HET
231B	C	TI	P11	Sig Homo_HET
232B	C	TI	P11	Sig Homo_HET
233B	C	TI	P11	Sig Homo_HET
234B	C	TI	P11	Sig Homo_HET
235B	C	TI	P11	Sig WT
236B	C	TI	P11	Sig Homo_HET
237B	C	TI	P11	Sig Homo_HET
238B	C	TI	P11	Sig Homo_HET
239B	C	TI	P11	Sig Homo_HET
240B	C	TI	P11	Sig Homo_HET
139B	C	TI	P14	Sig Homo_HET
140B	C	TI	P14	Sig WT 
141B	C	TI	P14	Sig Homo_HET
142B	C	TI	P14	Sig Homo_HET
143B	C	TI	P14	Sig Homo_HET 
144B	C	TI	P14	Sig Homo_HET
145B	C	TI	P14	Sig Homo_HET
146B	C	TI	P14	Sig WT 
147B	C	TI	P14	Sig Homo_HET
148B	C	TI	P14	Sig Homo_HET
149B	C	TI	P14	Sig Homo_HET
150B	C	TI	P14	Sig Homo_HET 
151B	C	TI	P14	Sig WT 
152B	C	TI	P14	Sig Homo_HET 
153B	C	TI	P14	Sig Homo_HET 
154B	C	TI	P14	Sig Homo_HET 
155B	C	TI	P14	Sig Homo_HET
156B	C	TI	P14	Sig WT 
157B	C	TI	P14	Sig Homo_HET 
158B	C	TI	P14	Sig WT 
159B	C	TI	P14	Sig Homo_HET 
160B	C	TI	P14	Sig Homo_HET 
161B	C	TI	P14	Sig WT 
162B	C	TI	P14	Sig WT 
163B	C	TI	P14	Sig Homo_HET
164B	C	TI	P14	Sig Homo_HET 
165B	C	TI	P14	Sig Homo_HET
166B	C	TI	P14	Sig Homo_HET 
167B	C	TI	P14	Sig WT 
168B	C	TI	P14	Sig Homo_HET 
169B	C	TI	P14	Sig Homo_HET 
249B	C	TI	P14	Sig Homo_HET
250B	C	TI	P14	Sig Homo_HET
251B	C	TI	P14	Sig Homo_HET
252B	C	TI	P14	Sig Homo_HET
253B	C	TI	P14	Sig Homo_HET
254B	C	TI	P14	Sig Homo_HET
255B	C	TI	P14	Sig Homo_HET
256B	C	TI	P14	Sig Homo_HET
257B	C	TI	P14	Sig Homo_HET
258B	C	TI	P14	Sig WT
259B	C	TI	P14	Sig WT
260B	C	TI	P14	Sig WT
261B	C	TI	P14	Sig WT
262B	C	TI	P14	Sig Homo_HET
263B	C	TI	P14	Sig Homo_HET
108B	C	TI	P28	Sig Homo_HET
109B	C	TI	P28	Sig Homo_HET
110B	C	TI	P28	Sig Homo_HET 
111B	C	TI	P28	Sig WT
112B	C	TI	P28	Sig Homo_HET
113B	C	TI	P28	Sig Homo_HET
114B	C	TI	P28	Sig Homo_HET 
115B	C	TI	P28	Sig WT
116B	C	TI	P28	Sig Homo_HET
117B	C	TI	P28	Sig Homo_HET
118B	C	TI	P28	Sig Homo_HET
119B	C	TI	P28	Sig WT
120B	C	TI	P28	Sig WT
121B	C	TI	P28	Sig Homo_HET
122B	C	TI	P28	Sig Homo_HET
123B	C	TI	P28	Sig Homo_HET
124B	C	TI	P28	Sig WT 
125B	C	TI	P28	Sig Homo_HET
126B	C	TI	P28	Sig Homo_HET
127B	C	TI	P28	Sig Homo_HET 
128B	C	TI	P28	Sig Homo_HET 
129B	C	TI	P28	Sig WT
130B	C	TI	P28	Sig Homo_HET
131B	C	TI	P28	Sig Homo_HET 
132B	C	TI	P28	Sig Homo_HET 
133B	C	TI	P28	Sig Homo_HET
134B	C	TI	P28	Sig WT
135B	C	TI	P28	Sig WT 
136B	C	TI	P28	Sig Homo_HET
137B	C	TI	P28	Sig WT 
138B	C	TI	P28	Sig Homo_HET
