#NAME,Experiment,Tissue type,DOL,Genotype
050B,C,TI,DOL11,Sig Homo 
052B,C,TI,DOL11,Sig Homo 
059B,C,TI,DOL11,Sig Homo
064B,C,TI,DOL11,Sig Homo
065B,C,TI,DOL11,Sig Homo
074B,C,TI,DOL11,Sig Homo
076B,C,TI,DOL11,Sig Homo
086B,C,TI,DOL11,Sig Homo
095B,C,TI,DOL11,Sig Homo
103B,C,TI,DOL11,Sig Homo
229B,C,TI,DOL11,Sig Homo
233B,C,TI,DOL11,Sig Homo
234B,C,TI,DOL11,Sig Homo
237B,C,TI,DOL11,Sig Homo
238B,C,TI,DOL11,Sig Homo
239B,C,TI,DOL11,Sig Homo
141B,C,TI,DOL14,Sig Homo
142B,C,TI,DOL14,Sig Homo
145B,C,TI,DOL14,Sig Homo
148B,C,TI,DOL14,Sig Homo
149B,C,TI,DOL14,Sig Homo
155B,C,TI,DOL14,Sig Homo
157B,C,TI,DOL14,Sig Homo 
163B,C,TI,DOL14,Sig Homo
165B,C,TI,DOL14,Sig Homo
166B,C,TI,DOL14,Sig Homo 
168B,C,TI,DOL14,Sig Homo 
249B,C,TI,DOL14,Sig Homo
250B,C,TI,DOL14,Sig Homo
252B,C,TI,DOL14,Sig Homo
253B,C,TI,DOL14,Sig Homo
254B,C,TI,DOL14,Sig Homo
256B,C,TI,DOL14,Sig Homo
109B,C,TI,DOL28,Sig Homo
112B,C,TI,DOL28,Sig Homo
113B,C,TI,DOL28,Sig Homo
114B,C,TI,DOL28,Sig Homo 
121B,C,TI,DOL28,Sig Homo
122B,C,TI,DOL28,Sig Homo
126B,C,TI,DOL28,Sig Homo
130B,C,TI,DOL28,Sig Homo
133B,C,TI,DOL28,Sig Homo
138B,C,TI,DOL28,Sig Homo
