function	050A	052A	059A	064A	065A	073A	074A	075A	081A	083A	085A	086A	088A	095A	097A	103A	105A	106A	107A	215A	226A	227A	228A	229A	233A	234A	235A	237A	238A	239A
EC:1.1.1.1	41798.87	92079.66	93442.34	101291.66	106999.49	117507.34	110611.37	117151.76	93361.68	86558.0	75588.26999999999	63213.51	96595.19	87491.73999999999	88864.20999999999	107477.97	101008.23	97947.79	116200.65	27304.71	68366.98000000001	51080.62	48266.01	47752.2	38330.87	41812.72	68255.0	26329.14	56174.11	55363.52
EC:1.1.1.100	29196.14	66723.33	65759.92	78111.43	77133.25	101886.84	86088.88	92445.39	70956.23	66342.0	57963.62999999999	44074.94	74587.49	66481.85	72402.97	78658.04000000001	74382.62999999999	72893.54	85162.02	46072.82	50228.22	36545.96	30678.17	32984.8	40032.14	39761.05	50119.17	35741.26	60159.21	46552.78
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	1810.5	1996.33	4217.92	883.4300000000001	2070.6	242.25	76.3	47.25	418.0	669.0	591.74	3421.83	1467.25	3630.37	1384.86	46.0	543.17	21.0	12.75	283.25	3234.33	3376.08	3434.67	3168.25	667.58	1855.33	1641.75	4724.75	616.25	267.83
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	0.0	32.0	42.0	31.0	28.0	64.0	67.0	51.0	325.0	398.0	610.0	29.0	285.0	63.0	73.0	80.0	18.0	55.0	17.0	99.0	0.0	0.0	0.0	0.0	53.0	21.0	23.0	158.0	0.0	164.0
EC:1.1.1.11	0.0	0.0	0.0	844.4300000000001	9.43	0.0	0.0	0.0	418.0	669.0	586.99	0.0	0.0	240.29	1068.86	4.0	0.0	0.0	0.0	0.0	3.25	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.122	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.125	1810.5	1996.33	4217.92	1707.86	2082.03	19.75	0.0	19.25	836.0	1338.0	1178.73	3421.83	1388.75	3694.16	2146.8900000000003	42.0	543.17	19.0	12.75	100.75	3242.0	3369.08	3436.67	3168.25	642.58	1765.83	1624.75	426.25	382.75	227.33
EC:1.1.1.130	1819.33	2001.5	4199.5	148.82999999999998	2133.5	254.59000000000003	206.83	189.75	154.82999999999998	140.5	787.0799999999999	3418.83	1505.34	3252.83	42.0	453.83	895.5	275.94	323.41	65.75	3507.61	3538.58	3485.5	3334.75	1026.24	1838.49	2355.42	530.45	1092.08	967.99
EC:1.1.1.132	0.0	0.0	0.0	31.0	26.0	12.0	29.0	22.0	7.0	0.0	35.0	0.0	40.0	2.0	9.0	70.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.133	711.77	1715.5	1088.5	1827.77	566.4300000000001	12635.0	6882.61	6081.13	2904.8	3064.4999999999995	1602.11	1175.76	5630.3	3615.19	5358.41	3338.07	2883.82	3315.4	3423.37	16203.44	2526.63	2310.2	637.0	1280.0	7759.94	7631.41	2024.0	22563.54	11025.02	5735.96
EC:1.1.1.136	0.0	0.0	0.0	20.0	0.0	38.5	13.5	10.0	0.0	0.0	0.0	0.0	75.0	7.0	65.17	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	14.5	0.0	0.0	18.5	231.5	44.5
EC:1.1.1.137	0.0	0.0	5.0	10.0	0.0	25.0	26.0	24.0	0.0	0.0	10.0	0.0	25.0	0.0	6.0	26.0	0.0	30.0	37.0	0.0	8.0	7.8	0.0	2.4	0.0	0.0	0.0	23.0	0.0	1.2
EC:1.1.1.14	214.5	733.0	514.5	1702.43	231.43	6664.5	2311.9700000000003	2933.5	1267.0	1519.0000000000002	1256.99	274.5	2287.0	2513.79	3463.03	35.0	407.5	677.6	17.0	6639.5	517.03	524.0	88.0	6.0	1743.0	2251.5	72.0	9383.2	6285.17	3816.83
EC:1.1.1.140	4105.27	5043.66	8903.59	1796.2000000000005	4125.2	5066.5	3973.87	3121.63	2305.8	2672.0000000000005	1752.35	7788.42	5938.55	7532.39	3208.59	3075.07	3137.4100000000003	2388.8	3247.37	61.440000000000005	6488.1	6748.96	6996.34	6581.5	1363.1	3485.32	3249.5	1052.84	2460.43	576.46
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
