function	050B	052B	059B	064B	065B	073B	074B	075B	076B	081B	083B	085B	086B	088B	095B	097B	103B	105B	106B	107B	215B	226B	227B	228B	229B	233B	234B	235B	237B	238B	239B
EC:1.1.1.1	84536.33	147320.02000000002	128172.51	188857.07	202844.83	70364.81	14865.53	135689.88999999998	147371.8	84736.54	83753.0	98473.2	122635.84	96433.44	126295.44	153943.6	42563.34999999999	90747.26	11666.73	75481.23	17140.09	35354.83	16683.14	29289.75	6831.39	9653.34	35977.06	26427.56	38911.23	28740.65	45228.47
EC:1.1.1.100	57568.75	105620.18	94906.75	138904.87	152630.66	64269.880000000005	17369.159999999996	106715.07	114939.04	69958.69	72159.08	78202.00000000001	93523.49	76230.17	98060.76	120414.12	38442.72	69577.26	11958.67	58058.130000000005	24412.39	44237.6	19496.38	26686.23	8834.7	14386.03	30467.980000000003	35414.33	41830.67	35159.23	34738.93
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	9156.91	8751.59	2893.17	66.0	428.5	592.42	371.5	550.75	644.5	923.1	701.8699999999999	532.92	3294.58	598.0300000000001	5397.41	2582.4	406.57	56.4	185.5	119.25	474.2	1360.94	436.08	414.08	144.32999999999998	278.23	791.1700000000001	450.71	397.7	544.8299999999999	102.42
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	7.25	0.0	0.0	0.0	0.0	0.0	0.0	1.25	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	701.0	1028.0	741.5	204.0	807.0	2242.0	1113.33	1311.0	1339.75	1461.67	1966.75	1161.42	682.5	1062.92	1129.5	552.0	1034.5	457.0	497.25	438.0	403.0	672.5	287.0	431.0	260.0	366.0	221.0	796.33	795.5	644.0	245.0
EC:1.1.1.11	0.0	3.0	4.0	0.0	5.0	21.0	11.0	15.0	0.0	0.0	178.72	0.0	0.0	9.0	1315.99	2505.44	315.57	8.0	0.0	0.0	53.67	37.42	22.75	9.0	28.75	51.67	25.33	71.17	22.33	46.33	6.25
EC:1.1.1.122	220.0	270.0	336.0	60.0	418.0	579.33	336.0	542.0	655.0	944.0	553.0	522.0	349.0	569.0	663.67	74.0	125.5	44.0	168.25	110.0	23.67	175.25	6.0	51.5	5.0	19.5	8.67	17.67	68.25	47.5	28.0
EC:1.1.1.125	9156.91	8749.59	2922.17	66.0	428.5	630.75	378.5	581.75	679.58	980.5	882.1700000000001	549.8399999999999	3295.41	620.25	6714.570000000001	5093.549999999999	710.89	62.4	239.75	132.25	403.67	1638.78	484.58	558.25	135.07999999999998	265.32000000000005	825.16	439.84	351.2	571.91	99.67
EC:1.1.1.130	8961.16	8675.59	3137.09	828.67	969.66	971.92	364.16	1567.42	127.0	1684.33	3787.97	2109.59	2958.33	433.83	3975.59	777.8399999999999	1185.34	792.1600000000001	641.66	459.58	228.92	1343.56	889.5699999999999	947.43	512.24	134.92000000000002	981.33	488.03	743.1600000000001	688.6700000000001	388.08
EC:1.1.1.132	481.0	761.0	311.5	144.0	389.0	1624.0	771.33	737.0	709.75	496.67	1080.75	419.42	325.5	485.92	364.5	212.0	934.5	397.0	315.75	328.0	273.0	461.0	204.0	382.4	225.0	263.0	161.0	641.0	731.0	456.6	196.4
EC:1.1.1.133	1694.0	4046.0	2574.0	665.4	1626.0	7839.73	2218.61	3225.0	3163.5	2426.63	3578.1400000000003	1802.51	2715.95	4177.17	3299.83	3623.14	3025.2499999999995	1640.5	1171.12	1416.1	4986.45	8334.300000000001	3551.44	3412.53	1671.08	3142.57	2498.6	6809.139999999999	7256.61	7114.96	2102.16
EC:1.1.1.136	0.0	0.0	0.0	5.0	0.0	7.0	0.0	0.0	0.33	0.0	19.66	13.0	12.33	26.83	0.0	2.33	0.0	6.0	54.57	0.0	69.17	79.0	47.93	30.4	22.0	17.5	25.67	37.43	75.0	25.27	1.4
EC:1.1.1.137	48.0	11.0	37.67	27.0	63.67	289.0	80.67	86.67	77.6	131.73	103.0	112.0	30.53	145.67000000000002	187.53	95.33	399.6	244.8	241.33	102.0	83.4	159.79999999999998	63.4	76.39999999999999	63.400000000000006	110.2	55.8	204.27	117.2	130.2	32.8
EC:1.1.1.14	8.0	26.0	113.0	3.0	43.0	161.66	45.0	84.0	59.75	63.0	617.97	322.25	81.5	116.25	1475.83	2769.15	333.07	50.0	138.32	9.0	1488.66	2121.73	855.9300000000001	516.0	208.25	760.8299999999999	414.67	1702.79	1056.08	1841.41	266.0
EC:1.1.1.140	18224.07	18871.18	6523.26	12.0	15.67	3573.5	169.67000000000002	896.17	770.0	174.93	657.3399999999999	33.5	7124.74	2063.87	9732.82	5339.879999999999	1061.14	568.4	185.33	287.5	156.87	1698.18	484.0	624.5	109.58	87.34	1373.66	184.87	134.99	195.25	10.67
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	9833.49	9709.93	3302.92	217.2	953.0	2465.08	1279.71	1486.85	1578.92	1748.77	2053.22	1178.17	3823.51	1435.2800000000002	6015.35	2840.4	1541.82	599.9	757.8199999999999	606.85	4697.06	7839.110000000001	3094.1	2393.42	1287.83	2796.25	2468.33	5443.97	4783.99	5399.45	1349.92
EC:1.1.1.159	8686.5	8235.25	2509.75	6.0	5.5	5.75	12.5	12.75	13.5	21.5	44.15	10.25	2869.0	12.5	3393.75	0.0	0.0	23.0	12.5	3.25	322.62	1459.15	398.5	392.75	94.0	207.25	818.5	481.95	339.75	424.25	114.75
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.67	0.0	0.0	0.0	0.0
EC:1.1.1.169	10217.58	10489.59	3927.5	531.6	1545.17	4506.82	2137.73	2518.6200000000003	2487.0	2323.66	4355.139999999999	2075.26	4384.929999999999	2224.06	9442.36	8783.61	3228.9700000000003	1229.8	1032.45	1045.25	5296.23	8883.5	4134.629999999999	3621.02	1847.09	3083.79	3238.83	6646.46	6205.04	6944.03	2140.32
EC:1.1.1.17	21479.91	38641.59	34485.84	52003.67	55080.33	18057.59	3194.83	36566.09	38860.0	23193.26	24242.69	28401.26	40910.91	25631.7	32832.579999999994	41424.69	11242.91	24587.060000000005	3036.99	20400.58	2165.37	5726.8	3221.73	7897.51	1489.49	1227.59	8723.83	4307.16	7584.12	5445.55	13785.17
EC:1.1.1.173	0.0	3.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	11.0	0.0	0.0	20.0	11.0	0.0	16.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
EC:1.1.1.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	24.0	8.0	9.0	0.0	0.0	0.0	7.0	0.0	25.0	0.0
EC:1.1.1.18	1237.0	2052.0	1560.65	1170.67	2160.16	4791.5	2245.32	3509.67	2127.25	3610.77	6970.56	3460.5999999999995	1060.8300000000002	1947.1200000000003	5744.31	8787.58	4067.55	1618.56	1433.48	1236.33	1345.13	2148.84	1394.5	1554.6799999999998	1161.15	815.6700000000001	831.8299999999999	2193.4700000000003	2485.82	2222.0	927.92
EC:1.1.1.193	9819.58	9884.59	4004.67	1073.67	2006.66	3934.17	1769.83	3182.7200000000003	1807.75	4298.64	6348.700000000001	4867.18	15004.97	1990.61	6882.05	4032.94	3196.16	1657.06	1637.23	1260.6799999999998	5267.280000000001	9283.84	3764.9	3481.75	2034.32	3314.56	3056.5999999999995	7085.68	6063.11	6674.349999999999	2045.4
EC:1.1.1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	51.0	81.0	25.0	10.0	50.0	12.0	85.0	81.0	78.0	42.0
EC:1.1.1.202	0.0	0.0	2.33	0.0	8.0	0.0	0.0	0.0	0.33	0.0	163.72	0.0	0.0	22.5	1273.99	2542.15	299.57	22.0	6.57	12.0	77.57	88.67	26.18	15.0	33.75	41.17	30.33	60.6	48.33	56.33	0.0
EC:1.1.1.203	511.0	812.0	328.5	148.0	418.0	1738.0	816.33	790.0	810.75	508.67	1194.41	478.42	391.83	524.92	471.5	215.16000000000005	981.5	413.0	315.75	328.0	400.0	650.88	255.0	430.42	262.0	334.0	195.0	820.21	879.5	572.05	221.92
EC:1.1.1.205	25234.58	46411.59	42284.34	63541.67	68354.83	24001.57	5130.9	46286.34	49255.35	30023.370000000003	30246.03	35157.24	47513.48	32648.620000000003	40699.75	50304.77	14840.94	30936.86	4569.11	25649.68	9418.85	17614.09	8017.049999999999	11689.4	3609.22	5246.59	13413.07	13406.53	16987.25	14368.1	16422.95
EC:1.1.1.206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	0.0	0.0	75.0	6.0	11.0	18.0	25.0	8.0	37.0	44.0	40.33	0.0
EC:1.1.1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.215	9450.58	9297.59	2896.67	154.6	423.5	1748.75	824.12	850.55	813.92	532.06	1341.62	480.67	3324.29	554.62	5262.71	2722.69	1266.07	439.4	355.25	339.05	667.6099999999999	1715.43	638.0799999999999	796.92	303.76	516.42	974.16	1045.62	1034.99	814.16	337.75
EC:1.1.1.219	473.67	763.0	317.5	146.6	389.0	1695.0	779.33	718.0	689.34	493.67	1133.16	424.17	329.33	481.83	428.8	214.33	942.0	405.0	342.0	328.0	461.92	709.3399999999999	325.83000000000004	442.17	272.0	367.83	207.0	828.5	846.66	599.16	234.33
EC:1.1.1.22	34293.25	66213.59	63194.67	102477.0	109341.5	31306.0	7453.03	70336.05	78215.92	44241.44	42387.88	52482.18	65963.08	47599.29	61012.67999999999	77981.84999999999	21229.82	47529.9	5659.5	40246.15	9108.21	17492.98	7957.51	17341.53	3535.16	5294.82	18064.53	14880.87	19877.04	16123.87	28795.8
EC:1.1.1.220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	11.0	5.0	0.0	0.0	8.0	9.0	19.0	15.0	0.0	6.0
