function	055B	056B	068B	071B	077B	078B	091B	092B	093B	094B	098B	099B	100B	101B	217B	218B	219B	220B	223B	224B	225B	241B	242B	243B	244B	245B	246B	248B
EC:1.1.1.1	16788.72	40563.03999999999	34709.880000000005	70856.74	17245.7	20598.44	42627.58	137134.23	62439.08	48580.08	60398.11	59484.28999999999	62964.83	13674.48	11085.2	29904.72	31211.38	25779.57	25038.67	27503.99	28446.590000000004	19342.96	19922.04	18488.95	29167.520000000004	20800.81	17907.239999999998	28607.71
EC:1.1.1.100	30494.1	44728.65	60977.01999999999	83058.14	28661.03	37936.78	49481.45	157254.26	89700.95	62311.27	83107.57	65128.60999999999	82246.94	19333.88	18709.38	44043.51	34832.73	44926.09	44409.350000000006	43731.81	44734.12	29965.4	32689.02	34651.11	47656.93000000001	28493.2	31910.62	45575.94
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
EC:1.1.1.103	1212.75	6242.75	1413.5	1193.67	1194.75	930.2	3548.25	1189.25	1475.45	1270.25	252.25	3867.6	103.75	182.85	388.5	401.31	2562.83	800.4200000000001	847.1700000000001	551.47	681.27	600.5799999999999	608.0	744.56	649.3700000000001	1274.25	697.13	564.6700000000001
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.75
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	3910.0	5088.25	5141.67	8734.33	3532.0	5481.67	7298.83	29428.5	18606.42	12433.25	19177.25	12928.0	18643.25	3134.5	483.0	6822.6	5595.0	2147.0	1844.0	4912.25	3463.0	1916.2	2167.75	1276.25	4164.25	3345.75	1338.75	3809.92
EC:1.1.1.11	0.0	35.0	0.0	11.0	43.0	46.0	11.0	4.0	76.67	17.0	3.33	1.43	4.0	16.85	44.17	23.92	7.67	51.25	84.22	40.09	45.34	39.08	49.83	90.08	51.42	29.5	51.53	65.76
EC:1.1.1.122	1164.0	944.0	1362.0	1189.67	1147.0	910.0	1549.0	993.0	1583.0	1179.0	158.0	144.0	93.5	65.0	75.0	76.5	34.0	147.0	131.67000000000002	67.0	100.0	34.0	66.0	54.0	84.0	32.0	117.0	168.59
EC:1.1.1.125	1306.25	6189.0	1500.5	1749.0	1250.75	1025.5	3644.08	1268.25	1414.37	1269.5	290.83000000000004	3864.03	131.0	203.2	487.67	278.26	2613.67	890.08	981.91	593.4300000000001	663.6800000000001	695.8299999999999	579.41	756.6600000000001	903.1	1331.75	797.74	749.34
EC:1.1.1.130	177.25	5426.33	207.84	42.83	25.08	91.0	2229.75	932.75	95.95	201.75	133.75	3711.67	86.91	88.5	199.92	197.99	3091.1800000000003	560.4100000000001	299.08	480.83	716.58	582.67	68.17	100.33	451.13	1391.01	311.87	360.51
EC:1.1.1.132	1719.0	1615.75	2573.67	900.83	1291.0	2054.67	672.33	1164.0	978.42	890.75	682.25	193.0	424.25	576.0	269.0	290.6	153.0	163.0	328.5	548.85	545.0	462.2	576.35	653.25	601.25	553.75	542.75	500.75
EC:1.1.1.133	5414.4	4894.47	14148.94	7396.73	4251.3	5784.37	4378.22	10490.13	4836.29	4007.67	1993.76	698.96	1134.5	1580.95	4652.73	5241.74	1985.0	10583.74	11044.7	7005.139999999999	9206.86	6714.79	7095.92	9040.22	9354.63	4047.28	8063.790000000001	8838.330000000002
