#NAME,Experiment,Tissue type,DOL,Genotype
051A,C,colon,DOL11,Sig HET
058A,C,colon,DOL11,Sig HET
060A,C,colon,DOL11,Sig HET
066A,C,colon,DOL11,Sig HET
067A,C,colon,DOL11,Sig HET
080A,C,colon,DOL11,Sig HET
082A,C,colon,DOL11,Sig HET
084A,C,colon,DOL11,Sig HET
087A,C,colon,DOL11,Sig HET
096A,C,colon,DOL11,Sig HET
102A,C,colon,DOL11,Sig HET
104A,C,colon,DOL11,Sig HET
214A,C,colon,DOL11,Sig HET
216A,C,colon,DOL11,Sig HET
230A,C,colon,DOL11,Sig HET
231A,C,colon,DOL11,Sig HET
232A,C,colon,DOL11,Sig HET
236A,C,colon,DOL11,Sig HET
240A,C,colon,DOL11,Sig HET
139A,C,colon,DOL14,Sig HET
143A,C,colon,DOL14,Sig HET 
144A,C,colon,DOL14,Sig HET
147A,C,colon,DOL14,Sig HET
150A,C,colon,DOL14,Sig HET 
152A,C,colon,DOL14,Sig HET 
153A,C,colon,DOL14,Sig HET 
154A,C,colon,DOL14,Sig HET 
159A,C,colon,DOL14,Sig HET 
160A,C,colon,DOL14,Sig HET 
164A,C,colon,DOL14,Sig HET 
169A,C,colon,DOL14,Sig HET 
251A,C,colon,DOL14,Sig HET
255A,C,colon,DOL14,Sig HET
257A,C,colon,DOL14,Sig HET
262A,C,colon,DOL14,Sig HET
263A,C,colon,DOL14,Sig HET
108A,C,colon,DOL28,Sig HET
110A,C,colon,DOL28,Sig HET 
116A,C,colon,DOL28,Sig HET
117A,C,colon,DOL28,Sig HET
118A,C,colon,DOL28,Sig HET
123A,C,colon,DOL28,Sig HET
125A,C,colon,DOL28,Sig HET
127A,C,colon,DOL28,Sig HET 
128A,C,colon,DOL28,Sig HET 
131A,C,colon,DOL28,Sig HET 
132A,C,colon,DOL28,Sig HET 
136A,C,colon,DOL28,Sig HET
3,C,colon,DOL8,Sig HET 
12,C,colon,DOL8,Sig HET
14,C,colon,DOL8,Sig HET
15,C,colon,DOL8,Sig HET
43,C,colon,DOL8,Sig HET
48,C,colon,DOL8,Sig HET
49,C,colon,DOL8,Sig HET 
