#NAME,Experiment,Tissue type,DOL,Genotype
073B,C,TI,DOL11,Sig WT
075B,C,TI,DOL11,Sig WT
081B,C,TI,DOL11,Sig WT
083B,C,TI,DOL11,Sig WT
085B,C,TI,DOL11,Sig WT
088B,C,TI,DOL11,Sig WT
097B,C,TI,DOL11,Sig WT
105B,C,TI,DOL11,Sig WT
106B,C,TI,DOL11,Sig WT
107B,C,TI,DOL11,Sig WT
215B,C,TI,DOL11,Sig WT
226B,C,TI,DOL11,Sig WT
227B,C,TI,DOL11,Sig WT
228B,C,TI,DOL11,Sig WT
235B,C,TI,DOL11,Sig WT
140B,C,TI,DOL14,Sig WT 
146B,C,TI,DOL14,Sig WT 
151B,C,TI,DOL14,Sig WT 
156B,C,TI,DOL14,Sig WT 
158B,C,TI,DOL14,Sig WT 
161B,C,TI,DOL14,Sig WT 
162B,C,TI,DOL14,Sig WT 
167B,C,TI,DOL14,Sig WT 
258B,C,TI,DOL14,Sig WT
259B,C,TI,DOL14,Sig WT
260B,C,TI,DOL14,Sig WT
261B,C,TI,DOL14,Sig WT
111B,C,TI,DOL28,Sig WT
115B,C,TI,DOL28,Sig WT
119B,C,TI,DOL28,Sig WT
120B,C,TI,DOL28,Sig WT
124B,C,TI,DOL28,Sig WT 
129B,C,TI,DOL28,Sig WT
134B,C,TI,DOL28,Sig WT
135B,C,TI,DOL28,Sig WT 
137B,C,TI,DOL28,Sig WT 
