"","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
"Actinobacteria"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 8","12"," 4","17","14","13","33","28"," 8"," 0"," 6"," 0"," 0","19"," 0"," 3"," 0","44","64","20","13","33","16"," 0"," 8"," 0"
"Bacteroidetes","  8","  1","  5","  3","  0"," 11","  1","  5"," 16"," 14"," 95","452","130","428","435","503","115","540","232"," 10"," 13"," 36","  0","120"," 19"," 26","  1","293","218","144"," 95","270","436"," 57","124"," 72"
"Cyanobacteria","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","3","3","2","6","1","0","4","0"
"Epsilonbacteraeota"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0","38","31","20"," 9","25","29"," 5"," 2"," 1"
"Euglenozoa"," 5"," 2"," 4"," 6"," 3"," 5"," 0"," 2","49"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7","17"," 4"," 7","86","13","25"," 2"," 0"," 0"," 0"," 1"," 1"," 3"," 0"," 2"," 2"
"Firmicutes","1729","1880","1609","1182","1692","2121","1628","2019"," 960","2103","2277","1912","2242","1934","1926","1858","2224","1792","2137","1519","1463","2243","1795","1354","1635","2030","2353","1213","1062"," 939","1333","1212","1307","2114","1960","2165"
"Fusobacteria"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0","24"," 9"," 9"," 8"," 8","10"," 2"," 1","11"
"Patescibacteria","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","5","0","0","0","0","0","0","0","0","0","4","1","0","0","0","6","0","0","0"
"Proteobacteria"," 640"," 498"," 763","1187"," 687"," 245"," 752"," 354","1347"," 260","   2","   6","   5","   3","   7","   7","  10","  17","   5"," 846"," 882","  98"," 580"," 787"," 714"," 294","  26"," 714"," 962","1209"," 913"," 800"," 522"," 203"," 269"," 126"
"Spirochaetes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","24","18","22"," 3","15","40"," 1"," 8"," 5"
"Tenericutes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","13","11"," 4"," 5"," 6"," 5"," 0"," 0"," 0"
"Verrucomicrobia"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","16"," 0"," 0"," 0","10"," 3","12"," 0"," 6"," 7"," 0"," 4"," 0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P14","P14","P14","P14"
"sample","073B","075B","081B","083B","085B","088B","097B","105B","106B","107B","111B","115B","119B","120B","124B","129B","134B","135B","137B","140B","146B","151B","156B","158B","161B","162B","167B","215B","226B","227B","228B","235B","258B","259B","260B","261B"
