"","Size"
"228A",26930
"215A",29838
"227A",29910
"261A",31082
"235A",33827
"085A",34202
"259A",34540
"258A",34574
"083A",35703
"146A",35848
"081A",36116
"226A",36678
"106A",36690
"158A",37878
"135A",38737
"134A",38957
"105A",39816
"097A",40190
"151A",41440
"088A",41449
"162A",41608
"129A",42113
"120A",42159
"156A",43081
"107A",43105
"260A",43196
"167A",44419
"075A",44526
"111A",45555
"161A",45992
"119A",46200
"140A",46435
"115A",46569
"124A",50495
"073A",51227
"137A",53062
"46",75223
"22",75662
"2",79462
"11",80845
"40",81501
"25",94254
