function	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
K00001	74846.67	115647.0	74948.26	90302.0	132436.22999999998	79950.08	35101.0	22477.0	21006.0	31373.33	67759.0	69743.5	57774.0	59235.25	49505.0	69305.5	54393.0	49298.5	42462.25	12557.0	54222.5	30534.0	23022.25	16009.5	40512.75	35192.369999999995	28012.65	38658.65	32071.0	13709.0	37494.9	20693.1	32868.75	34850.5	31706.9	26663.75	16479.25	25590.25	44463.25	39397.3	19075.85	14351.35
K00002	0.0	0.0	12.0	0.0	0.0	10.0	2.0	0.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	41229.25	63578.5	41540.01	49952.84	74508.2	43915.38	21220.0	11750.0	13357.7	19366.33	42951.0	38626.95	33231.25	33065.9	28809.54	41012.3	30675.05	28069.5	24079.7	13184.1	31391.55	20974.83	17328.15	11633.0	28748.22	19750.73	18218.47	25151.85	22579.8	9657.5	23307.3	15356.27	22654.93	23564.59	22650.82	32476.76	20649.82	32598.700000000004	31178.6	25866.9	17097.27	28572.43
K00004	0.0	62.0	93.34	274.0	6890.0	56.0	46.0	0.0	12.0	15.0	116.0	17.75	63.0	18.0	109.0	80.0	635.0	796.0	1185.0	134.0	514.0	846.0	636.0	434.0	20.0	155.0	117.0	64.0	536.0	3283.0	48.0	136.0	60.0	15.0	18.0	10.0	7.0	6.0	6.0	0.0	10.0	8.0
K00005	9542.41	7972.17	8401.92	7738.6	5121.35	10494.0	3509.75	3811.67	5057.88	5134.0	9233.25	3166.95	3234.0	2690.57	4093.59	4633.05	2795.8	3255.0000000000005	2072.93	3268.85	5685.55	3867.33	3968.9	1943.0	3623.72	4831.33	6395.42	5398.27	5582.75	940.0	6629.5	3694.0	6280.37	5628.59	4379.42	10721.26	9323.17	8949.5	3579.0	3852.7	6419.17	11381.33
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00007	6.29	12.5	0.0	14.5	7.5	0.0	0.0	0.0	5.0	3.25	0.0	0.0	0.0	0.0	1068.86	0.0	418.0	669.0	586.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1036.14	0.0	989.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00008	220.29	184.67	288.34000000000003	400.67	3897.0	325.66	72.0	88.0	524.0	517.03	6664.5	17.0	677.6	407.5	3463.03	2933.5	1267.0	1519.0000000000002	1256.99	6639.5	2287.0	7297.33	10378.7	4863.0	7801.67	5934.62	5611.4	5971.9	5697.0	4952.0	6600.789999999999	5082.85	6831.26	4041.77	6082.9	8905.51	4005.17	18501.0	6117.43	5259.17	4482.37	21472.76
K00009	41524.96	59149.5	41435.08	47517.76	62088.35	44915.67	17480.75	14783.67	12845.21	17350.1	31290.59	32203.28	26894.14	27667.570000000003	23171.23	31756.88	25602.63	23484.5	21163.94	6298.52	26017.39	12824.0	9729.0	6792.0	17592.39	14368.0	13165.42	20682.27	17286.25	8193.83	16854.36	13217.83	15840.61	14638.25	14663.75	14645.25	13903.0	12276.3	21828.0	15696.0	8041.0	6939.0
K00010	253.87	142.0	328.5	258.17	443.84	211.33	745.67	50.83	174.5	282.66	267.84000000000003	344.66	324.34000000000003	419.33	3517.25	315.5	1426.83	2147.5	2613.3	245.50000000000003	206.34	1152.0	2124.67	1407.33	71.34	1070.95	57.57	84.9	16.0	11024.0	3508.74	99.35	2998.79	495.5	283.9	276.17	273.0	647.0	234.5	138.8	306.1	653.1
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00012	72165.7	109461.33	73945.17	86932.1	108175.21	78117.47	33254.75	25994.67	22932.58	32135.480000000003	56840.25	57291.0	48689.45	50953.92	45523.2	58628.25	47130.25	42895.5	37665.99	22605.25	45691.5	43588.03	43327.91	34857.49	46352.5	40578.99	31974.97	39601.47	36834.25	72467.3	43971.11	29695.950000000004	37635.08	38348.44	39621.47	38969.42	29189.01	40341.92	48350.36	40151.73	27436.22	33205.94
K00013	8310.04	7279.0	8375.34	7855.6	4938.049999999999	9263.8	2494.42	3603.5	4236.280000000001	4496.29	8341.59	513.86	1681.9899999999998	1703.65	3915.9	3284.55	1472.88	2131.5	2344.02	15674.85	4171.64	15038.84	15912.04	14698.16	13894.56	15785.1	12212.54	8105.17	11094.05	15907.9	16177.429999999998	11369.2	11646.02	11195.34	12872.47	14481.76	11948.74	23703.45	10505.52	11727.6	10543.12	24761.11
K00014	10600.2	8835.0	9489.34	9152.03	10377.18	11416.74	5056.09	4154.33	6249.25	6741.6	13810.09	3919.28	4737.1900000000005	4336.82	10404.509999999998	7602.379999999999	5228.88	6620.5	5513.65	20471.86	7949.14	18069.34	18217.61	17201.489999999998	17800.06	17482.43	13883.21	11524.67	14195.05	19838.07	21796.32	14336.37	17385.239999999998	17891.510000000002	19623.14	25249.76	21111.24	38191.25	17679.190000000002	16754.129999999997	20925.12	36567.78
K00015	77.0	46.33	61.67	104.67	111.0	43.22	0.0	0.0	12.0	9.5	0.0	0.0	0.0	0.0	3.67	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	63.0	96.0	3.0	0.0	43.0	0.0	3.0
K00016	81916.62	126668.67	82425.34	98982.01	147859.54	87213.38	40488.0	23162.0	24779.1	36482.850000000006	79724.5	77577.48999999999	65258.3	65722.64	56863.44	77939.76	62106.1	56159.5	48914.23	15891.38	60845.6	34345.83	29116.9	18674.0	46760.52	34439.73	30997.97	47348.2	37471.3	18390.0	42728.4	30741.77	40081.46	59506.84	45251.57000000001	47542.01	55402.07	55884.7	56411.1	51679.9	46602.77	40587.93
K00018	643.6700000000001	375.17	640.75	704.0	1138.34	560.58	815.6700000000001	150.82999999999998	785.5	1047.11	7296.34	421.16	1496.94	1060.08	2755.67	3034.5	712.8299999999999	993.0	1139.58	15557.0	2441.34	12938.33	12483.12	12372.33	13316.76	8393.029999999999	5749.49	4146.65	7619.5	5022.4	10855.57	8947.77	9875.08	10423.44	14023.07	13207.59	11792.42	23040.050000000003	11955.85	11012.5	11547.12	21902.68
K00019	201.67	176.0	310.5	358.83	3814.57	184.94	755.67	50.83	200.5	392.66	90.84	327.66	298.34000000000003	370.33	94.0	203.5	477.83	538.5	1392.33	130.0	399.84	454.0	360.17	235.33	55.34	80.0	65.17	39.5	272.0	2923.0	28.67	68.0	41.5	7.0	3.0	71.0	96.0	5.0	6.0	43.0	0.0	11.0
K00020	509.5	518.5	541.6800000000001	697.8399999999999	1009.2	439.82	67.0	135.0	140.1	528.8	3502.0	571.62	1141.4	293.07	244.04	1442.13	199.8	487.0	451.87	2020.94	346.3	522.0	888.7	526.0	1004.3	390.0	731.0	1094.6	591.0	2194.0	343.63	287.5	381.6	5652.5	2069.0	6120.17	6213.0	4715.0	1441.5	2863.1	6705.5	2701.5
K00021	0.0	0.0	12.0	0.0	0.0	10.0	0.0	0.0	0.0	3.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
