pathway	46	25	22	11	2	40	235A	228A	227A	226A	073A	107A	106A	105A	097A	075A	081A	083A	085A	215A	088A	260A	259A	261A	167A	140A	146A	151A	156A	258A	161A	158A	162A	124A	119A	134A	135A	137A	115A	111A	120A	129A
1CMET2-PWY	21111.381621110853	20795.551648990524	21113.33807964851	20957.234340436007	6252.467343492899	23186.750185794364	10407.401053530157	8425.42144797945	10846.843008779724	12609.87306155088	19904.24966588248	1467.0551523190318	4307.993517720033	5192.939698372102	10352.64818132032	11652.19254505556	3739.541191646593	4526.430397404629	4750.897635858084	19759.11223747878	10825.098176908265	24657.772994229355	23629.55534458801	20834.474367442363	24577.24804780592	24650.14107786445	19495.767320522355	17838.415687945482	19554.79197878396	22643.13057138036	25983.255796982896	19480.478010991494	20327.48801138189	22766.02740943024	24272.71686388334	24493.132849950547	22379.233739488714	34722.88469363327	22768.404301452327	21247.66693157182	21480.689451787603	30398.97283537716
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	13.569156938180893	21.475397656645125	18.8623374442876	37.36346432689744	19.219651303194112	13.640037614619178	54.80120561091149	157.2537278868923	248.64026067634808	185.5435287334627	20.86140130311104	27.58439982072015	63.38072523918796	39.3712541932504	1427.7674468650982	35.87582530184338	588.7743556562594	947.0309673190768	880.223024021702	0.0	102.3588688372854	0.0	0.0	0.0	34.11694782302108	84.12072473116754	99.47440443551206	78.28729243848377	122.88575204735874	0.0	1478.031898367943	69.63907614125957	1407.183429571232	12.067828766042128	0.0	13.91880372225097	0.0	0.0	10.426826166576234	0.0	0.0	13.97122832287703
AEROBACTINSYN-PWY	0.0	18.430379746835445	11.0	0.0	22.76679841897233	10.141986417657046	44.0	134.67	198.33	151.60572337042925	0.0	0.0	0.0	6.67	0.0	0.0	0.0	0.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	45.0	45.0	39.67	56.0	0.0	9.67	34.33	12.330000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	10816.262211528008	9598.145845983188	10715.89332542952	9954.653514719465	1047.574264299459	12018.573713201084	3114.431703347304	4708.130388343229	5112.907081198342	5329.631246431768	237.57305349377972	168.82065476856187	242.1460110461136	1520.4208368966254	2520.6342377168	263.6812201547876	1172.5134443164443	1736.6808003928816	2232.681496849429	29.813386594434192	3124.1444858088075	0.0	0.0	0.0	175.44956173338508	6585.10248189939	6021.109058074595	4977.329413276019	6271.487427912995	0.0	5142.915519125832	5346.504347113736	4332.206901972787	192.05298600199004	159.92368046157458	131.87863416549925	0.0	73.4163621637306	243.4310038156627	0.0	0.0	101.24005502620317
ANAEROFRUCAT-PWY	50303.74667011856	59381.85275147593	50471.97934575429	53229.97377492575	26810.623081131907	54730.24903135643	18924.251426087343	17431.62219665345	19117.21197996898	23679.9002134991	29744.206616672145	6346.659020193041	9094.728702799524	14557.09377963716	18504.939063101	16607.827693364015	10502.48624802409	12654.147609041933	14290.067105467637	23129.81976364032	23514.95890307285	29919.723937914296	29472.08844039045	24704.811913935508	33135.16569633075	34569.90458443267	29061.28453601971	30082.577771071858	30648.362020183133	29936.084277223345	36034.817929252335	26603.49578708139	28673.26355757144	30078.98139715228	29782.21058048958	32443.169956082627	27176.104217524706	42059.3695688727	30556.88194992911	27938.25875804521	28073.237082564807	35831.59443120746
ANAGLYCOLYSIS-PWY	56752.99026887264	79265.7276197265	57024.29928016033	64986.78122804152	81667.5977054151	61040.411601958345	26076.403187538504	17880.541278823555	20028.83930393723	26691.240591239257	50603.16554335859	41975.83864501663	36775.5974809403	37342.59500021624	35268.25294615148	45761.56280377519	34650.15682605125	32414.640494740383	28412.493447034525	26292.51357046021	37384.78501334744	37207.83324145526	34421.5929906606	28488.35314278929	41201.71048848213	38258.745202959086	31504.24533740385	35865.470953120384	33731.23021304366	34468.99975310042	41770.16222788976	29350.21667861126	34337.02639168107	38043.15948912005	37767.00266067233	38887.54733443399	35147.735504271164	48066.01780320316	43660.852423935576	37614.79915116585	31618.055780199367	40078.26024764304
ARG+POLYAMINE-SYN	12866.537662245828	11584.162325382174	12493.217273668732	11661.817749193067	373.32440990789735	14277.10166682768	3650.170284496987	5401.3439847274485	6165.338405450156	6505.1429100073165	4111.567240970382	100.59366522439088	221.12811396638395	1329.3901901567976	3178.4917070507217	550.9958654087432	1148.4801148667104	1685.08461841641	1421.8061837075195	1695.9674331762994	4336.000454477528	3805.665006865527	2575.4689499989463	1840.692683842596	5048.402179177586	8134.26437976508	8242.064783823735	5319.885352421977	7914.579980999445	198.35797808338287	7589.085688507232	6689.815050050081	7259.844928025092	3930.02087597214	6507.496533467916	4658.175776501359	5650.719522575395	6840.613315985943	7083.235823633642	3291.954069967633	3990.19300340178	9142.655446353914
ARGDEG-PWY	9931.558839190911	8846.614338143363	9721.621384544676	8910.793254676393	83.9060883932886	11070.86179291729	2091.710033744864	4342.68683178431	4306.767336683419	4247.859033696112	50.30643363628717	29.34644087068272	46.94726365682812	850.6048180341145	1659.777149875853	47.543072678531445	590.7756306541545	940.0379471755148	828.1927824889696	6.3625654688863085	2289.463908458108	0.0	0.0	0.0	14.302794101173866	3689.918201327844	3769.742813795288	3589.300304599434	4208.261607914782	0.0	2825.0458486653174	3466.759698608661	2524.9250874337567	38.53450938233369	36.6020282382995	11.399669109559236	0.0	10.49055112035231	97.38963659022068	0.0	0.0	13.342206583402584
ARGORNPROST-PWY	890.4654428884601	726.4966125411959	783.4271044898353	1331.6688830017713	6885.17187316922	727.0688677157231	90.12278560086187	377.0582852815963	125.10228983135904	425.39455979049694	2813.129055686232	1181.0264585101802	841.2938379551014	643.9875937117139	665.8744724533378	641.45441789212	1030.1577443544672	1242.8775177707512	1093.1653556927556	702.4046497444532	1513.7953322550318	3233.281616113461	3146.8023183783603	1986.456914691578	1258.8033576662065	575.1958093097217	771.0947951258543	1315.4142200365986	680.7249670378044	6193.700927110865	549.3232097209942	246.6572737195276	778.0683902989224	1824.6853427089573	1225.066347167401	2711.578796848785	2297.080500755176	1885.48314562832	802.2148309986401	1182.190061087079	1703.443026290018	2376.708777307841
ARGSYN-PWY	17671.577370575138	16179.967645715433	16509.372240318517	16132.922186327103	10294.336507081558	19295.956627725045	5155.351493701003	6425.756705846255	7835.484992437901	8735.101741054206	18393.562358724223	2094.7869795176707	4371.936901989341	5048.908661853541	8087.700332863788	9704.25488257654	4386.112017588697	5262.669749868803	5471.257298448173	13468.731754077098	10641.238320694472	17059.91602925745	15861.465562989322	12443.49477407182	15336.167731507803	16307.032825669045	13594.168947469749	13402.358186441024	14774.556753749908	13727.402690793228	16226.24673775075	13317.133677650809	14477.276644005096	15443.73866703152	15577.226504489869	20392.016631498544	15474.256192368071	29365.88770945396	15369.344207367483	14197.55155241413	14084.914802101315	28575.30752078948
