function	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
EC:1.1.1.1	70364.81	135689.88999999998	84736.54	83753.0	98473.2	96433.44	153943.6	90747.26	11666.73	75481.23	17140.09	35354.83	16683.14	29289.75	26427.56	34303.35999999999	46374.69	98555.92	27267.41	6365.91	48008.77	32342.27	112867.7	32531.700000000004	54508.74	47714.8	58637.36	165286.5	218806.44	188138.22	190705.71	93444.95	153326.0	274338.24	149097.0	194961.22
EC:1.1.1.100	64269.880000000005	106715.07	69958.69	72159.08	78202.00000000001	76230.17	120414.12	69577.26	11958.67	58058.130000000005	24412.39	44237.6	19496.38	26686.23	35414.33	29262.370000000003	36853.89	75930.67	22383.83	9327.67	40121.21	27201.67	84707.47	50626.52	41194.74	41460.21	48152.01	127807.26	181304.52	137049.09999999998	113158.63	65293.2	111558.42	202258.49	105364.84	135781.44
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	592.42	550.75	923.1	701.8699999999999	532.92	598.0300000000001	2582.4	56.4	185.5	119.25	474.2	1360.94	436.08	414.08	450.71	315.71	1623.92	218.5	329.83	131.83	699.1400000000001	92.21	146.0	1435.37	157.25	539.41	191.0	94.92	1001.82	93.71	57.5	112.25	1439.0	72.68	1382.5	106.5
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	7.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	2242.0	1311.0	1461.67	1966.75	1161.42	1062.92	552.0	457.0	497.25	438.0	403.0	672.5	287.0	431.0	796.33	645.0	676.25	594.0	284.0	773.75	570.25	608.75	297.0	861.0	743.0	586.0	487.0	84.0	43.0	29.0	41.0	63.0	92.0	64.25	72.0	26.0
EC:1.1.1.11	21.0	15.0	0.0	178.72	0.0	9.0	2505.44	8.0	0.0	0.0	53.67	37.42	22.75	9.0	71.17	17.71	19.33	15.0	0.0	0.0	602.14	14.71	9.0	55.67	11.33	11.33	0.0	0.0	2.57	28.71	0.0	2.0	0.0	1.43	0.0	0.0
EC:1.1.1.122	579.33	542.0	944.0	553.0	522.0	569.0	74.0	44.0	168.25	110.0	23.67	175.25	6.0	51.5	17.67	53.0	84.0	74.0	23.0	123.0	113.0	66.0	104.0	142.17000000000002	0.0	0.0	7.0	1.67	16.0	12.0	0.0	26.0	9.0	11.0	8.0	0.0
EC:1.1.1.125	630.75	581.75	980.5	882.1700000000001	549.8399999999999	620.25	5093.549999999999	62.4	239.75	132.25	403.67	1638.78	484.58	558.25	439.84	361.42	1644.16	240.5	341.83	138.25	1278.5300000000002	70.67	105.0	1169.4899999999998	151.41	457.99	221.0	22.25	310.89	72.92	1.0	31.75	467.0	23.36	317.0	17.5
EC:1.1.1.130	971.92	1567.42	1684.33	3787.97	2109.59	433.83	777.8399999999999	792.1600000000001	641.66	459.58	228.92	1343.56	889.5699999999999	947.43	488.03	914.51	1656.41	215.33	614.5	12.5	305.17	178.0	24.17	637.0	319.74	505.49	225.33	15.25	175.25	20.5	7.5	38.75	101.5	29.08	358.5	18.5
EC:1.1.1.132	1624.0	737.0	496.67	1080.75	419.42	485.92	212.0	397.0	315.75	328.0	273.0	461.0	204.0	382.4	641.0	589.0	575.25	526.0	227.0	567.75	395.25	401.75	202.0	48.0	0.0	0.0	0.0	76.0	16.0	17.0	41.0	39.0	28.0	46.25	64.0	26.0
EC:1.1.1.133	7839.73	3225.0	2426.63	3578.1400000000003	1802.51	4177.17	3623.14	1640.5	1171.12	1416.1	4986.45	8334.300000000001	3551.44	3412.53	6809.139999999999	2019.01	1848.98	1849.75	652.0	1453.58	1880.84	1300.04	982.25	13086.65	2597.68	3745.53	2835.93	3760.26	11500.83	1940.05	12292.77	5058.0	14771.59	5053.17	12840.34	4548.84
EC:1.1.1.136	7.0	0.0	0.0	19.66	13.0	26.83	2.33	6.0	54.57	0.0	69.17	79.0	47.93	30.4	37.43	29.0	30.0	10.0	5.0	13.67	4.0	7.0	18.0	172.17000000000002	14.0	68.58	53.5	67.0	482.33	37.5	50.0	46.5	759.17	42.5	705.17	86.67
EC:1.1.1.137	289.0	86.67	131.73	103.0	112.0	145.67000000000002	95.33	244.8	241.33	102.0	83.4	159.79999999999998	63.4	76.39999999999999	204.27	142.0	200.67	117.34	113.0	259.33	197.0	189.63	183.73	274.2	23.6	24.4	5.0	41.33	34.0	25.67	114.67	3.0	31.67	729.6700000000001	1626.0	745.6700000000001
EC:1.1.1.14	161.66	84.0	63.0	617.97	322.25	116.25	2769.15	50.0	138.32	9.0	1488.66	2121.73	855.9300000000001	516.0	1702.79	161.71	105.92	121.75	49.0	151.07999999999998	698.3900000000001	221.46	43.0	5635.72	1182.17	2284.33	1586.0	898.6700000000001	7472.74	350.88	680.5	733.0	15274.51	350.34000000000003	10539.67	1614.17
EC:1.1.1.140	3573.5	896.17	174.93	657.3399999999999	33.5	2063.87	5339.879999999999	568.4	185.33	287.5	156.87	1698.18	484.0	624.5	184.87	676.7199999999999	3031.33	408.67	661.66	35.33	1154.28	49.75	28.33	1565.63	316.43	1070.06	430.73	8.83	83.31	73.09	11.67	9.5	62.67	31.700000000000003	9.0	7.67
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	2465.08	1486.85	1748.77	2053.22	1178.17	1435.2800000000002	2840.4	599.9	757.8199999999999	606.85	4697.06	7839.110000000001	3094.1	2393.42	5443.97	1119.81	2516.99	988.5	623.16	972.16	1269.39	731.6200000000001	448.0	10314.44	888.24	2406.82	1556.83	8429.09	4143.49	8481.38	22717.67	10382.85	20461.84	4144.84	19762.67	16221.67
EC:1.1.1.159	5.75	12.75	21.5	44.15	10.25	12.5	0.0	23.0	12.5	3.25	322.62	1459.15	398.5	392.75	481.95	281.0	1478.75	214.5	300.5	34.5	0.0	28.5	19.0	2003.55	324.25	955.5	478.0	138.25	1538.25	64.0	83.5	132.25	2303.0	91.0	1754.0	159.5
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	4506.82	2518.6200000000003	2323.66	4355.139999999999	2075.26	2224.06	8783.61	1229.8	1032.45	1045.25	5296.23	8883.5	4134.629999999999	3621.02	6646.46	1987.03	3163.14	1764.42	1024.33	1651.9	3257.12	1600.4500000000005	933.58	12439.48	3087.12	4653.65	3440.28	8777.42	4170.8	8721.3	21230.35	10259.3	18957.42	2917.3	18654.0	15568.92
EC:1.1.1.17	18057.59	36566.09	23193.26	24242.69	28401.26	25631.7	41424.69	24587.060000000005	3036.99	20400.58	2165.37	5726.8	3221.73	7897.51	4307.16	8910.02	11727.58	26561.0	9753.5	920.83	13045.31	8661.04	30280.5	4452.719999999999	15796.84	12682.93	17077.31	47447.98	65035.99	58072.88	40991.67	27996.75	40685.67	74568.35	46263.0	52873.97
EC:1.1.1.173	0.0	0.0	6.0	11.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	15.0	0.0	0.0	17.0	10.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
EC:1.1.1.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	24.0	8.0	9.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.18	4791.5	3509.67	3610.77	6970.56	3460.5999999999995	1947.1200000000003	8787.58	1618.56	1433.48	1236.33	1345.13	2148.84	1394.5	1554.6799999999998	2193.4700000000003	1888.64	1387.58	1158.58	784.6700000000001	1266.75	2973.84	1046.38	536.17	1456.62	301.15	433.46	424.9	155.34	133.21	136.13	109.5	136.0	305.5	113.37	486.0	80.0
EC:1.1.1.193	3934.17	3182.7200000000003	4298.64	6348.700000000001	4867.18	1990.61	4032.94	1657.06	1637.23	1260.6799999999998	5267.280000000001	9283.84	3764.9	3481.75	7085.68	1941.02	2904.58	1929.33	4457.25	1370.58	2659.56	1544.79	714.4200000000001	11624.03	2014.32	3432.8099999999995	4290.13	1089.34	8937.74	15292.38	29946.6	15800.55	34271.09	10543.17	40749.17	14739.17
