function	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
K00001	39807.0	79723.3	48659.58	46154.66	56614.66	57101.16	84416.49	53288.5	5780.5	44589.3	5811.98	12180.17	6198.28	15183.78	10591.42	18402.9	23087.42	57818.75	12918.0	2468.0	25741.0	18213.83	67395.0	9852.77	32364.92	25307.98	31568.07	77315.92	119023.75	88478.5	61978.86	29585.4	52864.75	155032.25	44406.0	82887.0
K00002	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	51.0	81.0	25.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	4.0	15.0	27.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00003	24492.980000000003	45306.97	27956.04	27308.34	32120.48	32480.59	47132.490000000005	30429.0	4102.7	25350.6	6940.4400000000005	12811.77	6100.93	10061.09	10489.46	11185.1	13805.21	32893.42	7703.75	2575.66	15109.45	11016.91	37962.33	13604.3	17832.77	16225.85	19472.65	45418.67	67022.67	52204.84	49081.35	20646.55	42319.76	90273.83	39802.17	54608.09
K00004	1740.4	814.0	595.0	1847.0	889.0	571.0	767.54	409.0	391.05	337.8	603.87	1076.67	378.67	536.5	1014.16	630.0	601.4	580.0	317.0	772.0	535.2	700.0	228.0	1649.84	1481.0	1156.0	945.0	80.67	40.0	22.0	41.0	44.0	37.0	59.0	64.0	26.0
K00005	3923.15	947.95	260.1	751.5899999999999	165.48000000000002	2440.37	5540.87	823.3	445.55	444.25	1507.65	3323.51	1700.15	1460.21	1612.0800000000002	697.22	1815.2	354.75	531.83	319.5	1535.48	392.42	351.0	4000.28	908.01	1732.2199999999998	1552.9	8449.42	4440.06	8540.09	22793.0	10234.25	19443.34	4855.27	21461.17	16550.17
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00007	21.0	15.0	0.0	178.72	0.0	9.0	2505.44	8.0	0.0	0.0	53.67	37.42	22.75	9.0	71.17	17.71	19.33	15.0	0.0	0.0	602.14	14.71	9.0	55.67	11.33	11.33	0.0	0.0	2.57	28.71	0.0	2.0	0.0	1.43	0.0	0.0
K00008	161.66	84.0	63.0	617.97	322.25	116.25	2769.15	50.0	138.32	9.0	1488.66	2121.73	855.9300000000001	516.0	1702.79	161.71	105.92	121.75	49.0	151.07999999999998	698.3900000000001	221.46	43.0	5635.72	1182.17	2284.33	1586.0	898.6700000000001	7472.74	350.88	680.5	733.0	15274.51	350.34000000000003	10539.67	1614.17
K00009	18057.59	36566.09	23193.26	24242.69	28401.26	25631.7	41424.69	24587.060000000005	3036.99	20400.58	2165.37	5726.8	3221.73	7897.51	4307.16	8910.02	11727.58	26561.0	9753.5	920.83	13045.31	8661.04	30280.5	4452.719999999999	15796.84	12682.93	17077.31	47447.98	65035.99	58072.88	40991.67	27996.75	40685.67	74568.35	46263.0	52873.97
K00010	4791.5	3509.67	3610.77	6970.56	3460.5999999999995	1947.1200000000003	8787.58	1618.56	1433.48	1236.33	1345.13	2148.84	1394.5	1554.6799999999998	2193.4700000000003	1888.64	1387.58	1158.58	784.6700000000001	1266.75	2973.84	1046.38	536.17	1456.62	301.15	433.46	424.9	155.34	133.21	136.13	109.5	136.0	305.5	113.37	486.0	80.0
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00012	31306.0	70336.05	44241.44	42387.88	52482.18	47599.29	77981.84999999999	47529.9	5659.5	40246.15	9108.21	17492.98	7957.51	17341.53	14880.87	17263.309999999998	23292.25	53737.25	15449.58	3199.58	25170.39	17298.29	60922.25	20881.45	30857.99	26781.33	32938.75	61046.01	107933.91	86275.88	70026.62	31727.6	65445.66	147146.34	62830.5	73529.75
K00013	3613.57	3076.92	3408.6400000000003	6231.1	3506.1800000000003	2079.28	3950.69	1450.06	1445.0300000000002	1056.6799999999998	6099.780000000001	10226.240000000002	4060.9	3462.17	7525.21	1929.82	2663.98	1311.58	1050.25	946.58	1731.7599999999998	1215.79	652.17	14206.55	2242.42	4019.21	2664.53	1459.84	8262.74	1508.88	4627.35	3203.3	12539.17	3529.42	11096.17	4304.92
