pathway	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B	140B	146B	151B	156B	158B	161B	162B	167B	258B	259B	260B	261B	111B	115B	119B	120B	124B	129B	134B	135B	137B
1CMET2-PWY	11221.424680244842	11804.564317054346	12969.772304276994	15565.682757532257	11741.665128796169	8419.688523287705	11141.843173831345	4908.239948242672	3292.2120923560515	3939.072799784019	7971.505364134396	14498.3289058972	6537.671466234829	7599.563342374695	10972.97796757275	4822.455420607329	6974.162160145975	4353.938034518405	2972.9894715641485	1889.0370968560271	5156.611397089996	3114.397673457346	2359.6739792986778	17598.47416241417	5202.673564317656	8498.107248357781	7598.06885158009	4586.063823806251	24887.02828330927	5288.582764438346	18542.77831365973	10661.795248393506	33368.53638396915	14186.962466238463	30195.544593225928	13329.009486330437
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	2404.584073435309	1090.453360785744	801.2192429990063	1822.5100709486887	664.1868508007902	765.193397566197	3572.76151676129	552.8122395695074	468.5554258456722	478.6764290358244	603.2965474014894	811.2259033565193	375.9292778310541	581.2973955746927	1186.0495510469173	826.2514399871735	883.8295582744748	725.8255090320138	334.5271008185639	797.6909763630404	1330.5531964228392	581.1733559717226	302.22156725703144	237.45327403087765	19.52154957756009	46.551995859199664	0.0	111.3561757445466	30.60619542702729	69.73516692819689	61.4506055353108	64.74914521870743	47.80936914652728	69.37557886521552	104.26575256036092	39.51664530243743
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3294910956140855	0.0	23.33	0.0	6.33	0.0	0.0	0.0	0.0	24.272005644734524	0.0	11.70809685962921	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	585.1759039650814	422.564744815318	442.02807854833287	2636.8614287219607	407.1332894191648	572.7942629542146	5125.04405102992	217.33210187734664	209.52218519733	200.37435738192536	2182.782054932694	5428.591227453312	2134.3592199929767	2216.3917006705574	2505.077472694861	1453.6378848568852	2983.5944013583908	788.0968774814764	1012.3076212915612	173.95796828316776	1825.551084774513	338.7504638531677	129.2890193802147	5252.580647424557	1045.2945826092343	1812.956802583847	867.941328286242	101.7972596797263	250.8970420200626	268.9466375484633	44.72678973441447	35.5081908104346	0.0	260.7754473342681	0.0	84.82267821410345
ANAEROFRUCAT-PWY	16103.85671547448	21146.772230283063	18917.397760186053	25972.23975769099	21284.99043062629	11721.969882647789	28997.22465016245	11068.06335153682	4281.191989483001	8694.943654902214	9251.229864705689	18124.21460269574	8148.263878154753	10831.58882566511	13405.095184289285	9231.541213766868	14229.9366010513	9673.886283252175	7186.720527276259	2106.0585077318137	10165.257926243386	5664.382481746359	4037.208944043458	21109.943709729097	10840.02384370732	14841.853416917977	12020.162057712298	7929.884270900416	38215.81900299185	9532.324898765615	50813.99561703936	19874.12290999258	45242.44551807257	35996.67198962503	40906.60168815762	19825.28613953592
ANAGLYCOLYSIS-PWY	25832.986565729872	49310.84260864368	32052.20777458425	32478.56245708832	37504.37661992252	35027.6563526414	56596.68266231832	33046.186160270576	4811.355010655275	27368.247858982748	9937.961886341644	18710.264783125047	8618.678563226655	12607.31696175113	14241.888404860165	13027.896144827222	17257.6016672717	36249.02299281348	12777.1175000051	2531.6255102573896	18424.058621988923	12287.74124042136	40602.86746712092	22805.339981192526	21304.260172209084	21028.84657147866	25466.977494725204	72988.5435093275	98411.13960785672	83858.19276258083	81621.43362727639	49101.63228882853	81300.37611804862	105584.18933879306	84457.79046432122	86735.2859017778
ARG+POLYAMINE-SYN	984.6701793695578	430.8542098189758	471.6569495360495	1126.7690933582544	500.21319218907513	549.8732083074425	4899.692465163077	358.85708806626985	612.4308933320117	339.01082659544727	2910.5778976448423	6050.563079164464	2708.649087900422	2428.5114432753194	3673.868849846925	1035.3008743777573	3374.7156668896814	698.0313681061908	891.7876486849152	591.1519707250615	1666.2576898483712	478.82871531984784	390.9346768374249	6987.778531759646	1237.964144824276	2526.5682528650923	1864.392157312317	629.1832418677934	4670.490047703029	633.4597959238113	3091.998328058753	2363.6134936114413	4289.442189981631	3010.597792442345	5562.789571024096	1103.366225604885
ARGDEG-PWY	29.59553803479741	62.05990094844813	46.97473756336552	438.57870252041135	37.04020927741969	60.51129696761306	3387.6847850601366	37.53954539026853	15.02363090053052	9.783973305918318	279.62605517238364	1885.857205123843	565.8926758730773	697.5942634110227	353.7101707437704	551.9801746785412	2347.5927529893106	357.6260149732771	559.0631486366304	36.6399632139198	990.8856446937737	42.75704578350089	31.24517288115215	1309.1502796510622	251.36543469073143	786.1606218597389	319.0077675858839	8.044436393444814	32.4911469133682	77.63179306891594	2.792435700847681	2.637715266198678	0.0	27.7522084416701	0.0	6.89948642890784
ARGORNPROST-PWY	6302.390414348927	2887.42829976764	1908.35916687343	3181.134618154443	1496.2639153212915	3611.186237236516	1338.7184693290203	1221.4672239567678	1086.93603142015	1027.245812940065	1786.250000609304	3664.512992125488	1602.412523013971	1525.3204091538244	2451.568612347295	1293.7641009890272	1464.1698921340087	973.7107059470814	639.6616351541614	1104.1992246264188	1175.7525986263245	1036.4345971414025	621.7053421806328	4327.904726487661	1248.745179700894	1890.346212642484	1501.4627724023017	882.3094569870918	3009.053459412537	474.5659112533108	5807.409964208384	1553.5302877346546	6078.787460466501	3243.5435431975006	6771.769705325707	998.9786032822376
ARGSYN-PWY	12820.25332806682	9330.607588286968	7849.214064279332	13299.225079662148	7938.318749189705	7327.637766004172	9509.900117928031	4897.926686030779	2878.127312842301	3636.4239391717774	7072.546956503958	12878.902168190803	5744.585379557248	6016.881137275932	9616.282608270732	4716.653472862156	5980.362590643549	3891.2575420554017	2538.3580250927776	1940.5237530394008	4338.592486326881	3156.8911373187507	1929.4717657549536	15770.697758786418	4469.48188595831	6947.6899526252	5377.470830703495	4796.564116276395	12842.888564991415	5430.542939676813	14626.156574007644	8566.97753588438	24071.883878043194	9873.35791161376	21811.754601181587	11556.653812103305
