sample,073B,075B,081B,083B,085B,088B,097B,105B,106B,107B,111B,115B,119B,120B,124B,129B,134B,135B,137B,140B,146B,151B,156B,158B,161B,162B,167B,215B,226B,227B,228B,235B,258B,259B,260B,261B
DOL,P11,P11,P11,P11,P11,P11,P11,P11,P11,P11,P28,P28,P28,P28,P28,P28,P28,P28,P28,P14,P14,P14,P14,P14,P14,P14,P14,P11,P11,P11,P11,P11,P14,P14,P14,P14
Acetobacteraceae_Acetobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,13,11,7,34,23,2,1,1
Acholeplasmataceae_Acholeplasma,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,5,5,6,6,0,0,0
Akkermansiaceae_Akkermansia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,13,3,12,0,6,9,0,3,0
Aphagea_fa,1,0,1,0,0,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0,21,1,0,0,0,0,0,0,0,0,0,0,0
Aphagea_fa_Distigma,0,2,2,2,3,2,0,1,36,0,0,0,0,0,0,0,0,0,0,4,9,1,3,24,6,19,1,0,0,0,1,0,0,0,0,0
Arcobacteraceae_Arcobacter,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37,28,15,5,24,28,6,5,2
Bacillaceae_Bacillus,4,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,0,0,0,9,1,0,0,0
Bacteroidaceae_Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,77,71,38,36,105,137,17,27,19
Bifidobacteriaceae_Bifidobacterium,0,0,0,0,0,0,0,0,2,0,6,0,0,3,1,0,32,15,3,0,0,0,0,0,0,0,0,21,4,0,8,10,6,0,3,0
Burkholderiaceae,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,1,27,18,22,6,21,10,0,0,0
Burkholderiaceae_Comamonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,9,4,5,4,7,1,0,0
Burkholderiaceae_Parasutterella,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,6,6,11,3,0,0,0,0,0,0,0,0,0,0,1,0,9,5,0,0,0
Clostridiaceae_1_Candidatus_Arthromitus,0,0,0,0,0,0,0,0,0,0,593,290,235,0,357,0,0,74,333,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0
Clostridiaceae_1_Clostridium_sensu_stricto_1,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,12,39,19,0,0,0,0,0,1,0,1,20,13,10,10,22,24,1,1,3
Clostridiales_vadinBB60_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,3,0,1,3,10,0,2,4
Corynebacteriaceae_Corynebacterium_1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,19,0,3,0,28,61,19,9,23,10,0,2,0
Dysgonomonadaceae_Dysgonomonas,6,1,4,3,0,10,1,0,8,1,0,0,0,0,0,0,0,0,0,8,3,3,0,30,3,15,0,64,49,37,25,56,28,6,6,0
Eggerthellaceae_Enterorhabdus,0,0,0,0,0,0,0,0,0,0,2,12,4,14,13,13,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae_Escherichia_Shigella,2,3,2,1,2,1,0,2,6,0,0,2,0,0,0,0,2,0,0,180,696,50,200,55,0,6,1,31,389,168,183,17,242,38,175,57
Enterobacteriaceae_Klebsiella,0,0,0,58,0,0,587,1,0,0,0,0,4,0,0,0,0,0,0,11,0,0,0,0,436,6,0,25,12,14,5,19,11,3,4,0
Enterobacteriaceae_Providencia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4,6,6,14,11,1,0,0
