"class","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
"Actinobacteria"," 18","  1","  4","  6","  0","  3"," 11","  9"," 12","  0","  3","  0","233","134","118"," 63"," 81"," 32","  0"," 44","221","410","159","159","  3","  7","  4","  0","  0"," 10","  0","  0","  0"," 23","  5","  0","279","  0","144"," 28","298"," 58","196","  4"," 34","  2","  8","  6"
"Bacteroidetes","  11","   6","   8","  11","   1","  13","  43","  59","  13","   3","   2","   2","2585","1944","2488","1104","1132"," 885","  91"," 451","2862","1617","1111","1518"," 100","  14","  42","  30","  83","   5","  79","  57","1268","  18","  11","  30"," 930","2345"," 664"," 609"," 826"," 472","1111"," 149"," 166","  13","  39","  26"
"Epsilonbacteraeota","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  6"," 12","  0"," 14","  0","  0","  0","  0","112","  0"," 65"," 74","103"," 61","212","  0","  0","  0","  6","  0"
"Euglenozoa","25","22"," 2"," 4"," 3","70","56","72","17"," 1","36"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 3"," 0"," 0"," 1"," 0"," 0","16","10","22","16","57","40","51","81","10","67"," 5","58"," 2"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 3"," 0"," 0"," 0"
"Firmicutes"," 707","3535","6303","7554","7864","4707","4326","5514","7964","6260","5922","7571","5642","6379","5852","7299","7257","7552","8360","7976","5362","6403","7168","6737","7176","5370","6980","8200","7755","8212","7432","4867","5443","6195","8018","8107","1938","3398","5495","4738","4546","4889","4583","7961","7972","7368","8238","8288"
"Fusobacteria"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0","14"," 0","34","80","76"," 7","34","12","12"," 0"," 0"," 0"
"Patescibacteria"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 2","11"," 7","21"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","18"," 0"," 7"," 0","15","15","12"," 0"," 3"," 0"," 0"," 0"
"Proteobacteria","7715","4912","2159"," 901"," 608","3683","4040","2822"," 470","2209","2513"," 903","  16","  18","  18","  10","   3","   7","  22","   5","  29","  34","  31","  41","1179","3075","1428"," 230"," 575"," 197"," 914","3457","1755","2167"," 437"," 281","5183","2733","2067","2947","2607","2974","2328"," 350"," 286","1093"," 185"," 156"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14"
"sample","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
