"class","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
"Actinobacteria","  0","  0","  0","  0","  0"," 11","  0","  2","  1"," 10"," 74"," 41","170","  1"," 53"," 17"," 30"," 47"," 30"," 83"," 10"," 13","  0"," 19","  0","  0","  0","  3","  1","  0","  0","130","105"," 10"," 46"," 51"," 13","  4","  4","  4","  0","  6","  0"
"Bacteroidetes","   0","   0","   3","   0","   1","  16","   5","   3","   4","  16","1678"," 208"," 790","  85","1384"," 683"," 851"," 737","1196"," 341","   2","  13","  18","   0","   8","   8","  32","   6","  82","  12","   7"," 324"," 930"," 131"," 298"," 483"," 110"," 320","  68","  61"," 133"," 101","  20"
"Epsilonbacteraeota"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1","24","95","14","28","71"," 3"," 0"," 1"," 0"," 7"," 4"," 1"
"Euglenozoa"," 1"," 1"," 2"," 1"," 1","60"," 6"," 4"," 9","25"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0","27","34","31","29","39","37","24","13","22","11","13"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 2"," 0"," 0"," 4"," 0"
"Firmicutes","1323","2240","3278","4171","4086","2298","4296","3440","2552","2335","2739","4240","3530","4406","3049","3793","3608","3710","3265","4059","3708","2318","2792","3765","4257","3236","2620","3788","4241","4409","4374","1269","1953","2984","2723","2268","3665","3508","4149","4262","4146","4071","4104"
"Fusobacteria"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 2"," 0","13","42"," 0","11","24"," 3","10"," 2"," 0"," 0"," 9"," 5"
"Proteobacteria","3172","2255","1213"," 324"," 408","2098"," 189","1046","1930","2110","   5","   7","   4","   4","  10","   3","   7","   2","   5","  13"," 743","2118","1653"," 678"," 186","1215","1820"," 686"," 150","  62"," 101","2721","1303","1343","1364","1554"," 686"," 640"," 269"," 169"," 201"," 281"," 366"
"Spirochaetes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0","15","68","14","26","45","16"," 8"," 1"," 0"," 9","20"," 0"
"DOL","P11","P11","P11","P11","P11","P11","P11","P11","P11","P11","P28","P28","P28","P28","P28","P28","P28","P28","P28","P28","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P14","P11","P11","P11","P11","P11","P11","P14","P14","P14","P14","P14","P14"
"sample","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
