class,051A,058A,060A,066A,067A,080A,082A,084A,087A,096A,102A,104A,108A,110A,116A,117A,118A,123A,125A,127A,128A,131A,132A,136A,139A,143A,144A,147A,150A,152A,153A,154A,159A,160A,164A,169A,214A,216A,230A,231A,232A,236A,240A,251A,255A,257A,262A,263A
A2,0,0,0,0,0,0,3,0,1,0,0,0,4,8,88,40,13,8,0,46,85,9,18,48,0,0,0,0,0,7,4,3,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0
Acetatifactor,0,0,0,0,0,0,0,0,0,0,0,0,5,0,160,67,10,6,0,172,35,5,9,3,3,2,4,1,0,14,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Alistipes,0,0,0,0,0,13,0,0,0,0,0,0,267,234,785,674,1191,496,483,674,522,255,369,177,186,401,105,430,0,29,8,25,166,34,232,267,20,85,2,0,0,3,0,587,112,7,373,456
Anaeroplasma,0,0,0,0,0,0,0,0,0,0,0,0,121,53,113,33,53,25,10,187,68,77,115,26,0,26,8,20,0,0,0,2,60,0,7,2,0,3,0,0,60,160,24,0,0,0,0,19
Anaerotruncus,0,0,0,0,0,122,48,0,0,0,0,0,0,3,126,124,8,3,2,84,105,2,28,19,36,12,23,2,0,0,0,28,23,0,1,0,25,0,0,0,0,4,52,14,13,135,49,77
Angelakisella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,8,3,1,0,28,40,0,5,0,94,19,56,34,0,181,4,16,0,91,14,0,0,0,0,0,228,0,0,59,15,343,33,148
ASF356,0,0,0,0,0,0,0,0,0,0,0,0,16,40,146,152,13,15,7,173,238,22,35,10,2,6,1,2,0,6,6,0,0,8,0,0,0,0,0,14,0,0,0,1,0,10,8,2
Bacteroides,1,0,0,0,6,0,0,0,0,0,0,30,787,549,54,28,89,118,115,33,9,26,29,57,224,51,236,2,0,893,18,0,0,49,318,0,2585,409,1,0,0,3,0,1843,1668,662,1277,1194
Bifidobacterium,0,0,0,0,0,5,0,0,0,0,0,0,370,216,0,0,0,0,23,0,0,171,110,74,3,0,0,0,4,0,16,0,0,0,0,0,0,47,0,0,0,0,0,0,0,12,0,0
Butyricicoccus,0,0,0,0,0,0,12,0,0,0,0,0,3,0,78,53,2,3,5,54,72,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,1,0
Clostridium_sensu_stricto_1,0,0,0,0,4,0,0,0,5,6,2,0,178,28,0,3,0,0,21,0,0,663,94,629,0,0,0,6,0,0,0,1,11,9,8,8,1,66,2,0,0,0,0,8,37,8,7,17
Enterococcus,18,19,197,0,3,18,35,8,149,34,24,348,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,173,350,0,0,50,303,412,146,52,13,176,341,932,900,10,5,127,0,0
Enterorhabdus,0,0,0,0,0,0,0,0,9,12,0,0,30,71,51,47,22,60,37,24,18,5,0,14,25,25,24,60,0,0,9,0,21,26,108,49,16,0,0,0,0,0,0,28,0,0,0,0
Escherichia_Shigella,3786,4335,4943,13,21,0,12,0,930,447,331,377,13,8,10,0,13,8,7,12,16,3,33,5,839,2173,2278,722,769,896,1624,3992,2759,1046,137,7,6,7404,2883,2017,2505,12,201,160,149,0,0,2
Faecalibaculum,0,0,0,0,0,12,2,0,0,9,3,0,2,0,0,0,0,0,0,0,0,46,89,0,0,0,0,0,48,7,3,0,0,3,0,8,0,0,0,0,0,0,6,0,0,7,0,0
GCA_900066575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,4,0,0,26,7,1,6,5,11,15,0,0,0,0,0,0,9,70,6,0,0,0,0,7,0,0,0,5,9,6,0,36
Intestinimonas,0,0,0,0,0,21,0,0,0,0,0,0,3,5,70,32,8,1,5,28,36,16,12,0,53,44,36,51,0,42,108,51,50,11,11,0,0,0,0,39,11,0,0,0,4,5,83,117
Klebsiella,0,0,0,1110,349,984,501,2197,0,2460,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,22,2032,4,0,0,47,0,0,0,0,0,0,0,0,0,0
Lachnoclostridium,0,0,3,0,11,24,35,0,0,12,0,0,36,33,369,198,56,32,29,358,301,40,71,75,51,25,8,8,0,46,40,15,0,38,52,22,54,18,0,42,21,362,209,35,32,129,79,96
Lachnospiraceae_NK4A136_group,132,68,15,3,175,20,6,0,34,53,149,27,159,122,1979,1455,409,243,279,1401,2063,321,458,665,29,31,13,20,9,1486,809,37,11,39,13,95,795,21,0,114,30,107,80,51,16,60,18,104
Lachnospiraceae_UCG_006,0,0,0,0,0,12,32,0,0,5,0,0,1,0,43,13,1,3,4,60,42,5,12,13,14,6,0,0,0,2,0,0,0,19,4,88,0,0,0,0,0,0,0,0,10,0,3,4
Lactobacillus,6853,6121,5464,9249,10064,8423,9141,7861,8315,6915,9399,5598,4708,5371,568,3009,3357,4956,4198,1163,689,2930,5709,5889,3704,3037,3820,4874,8200,5533,5976,2538,3554,4888,4711,5618,4071,611,7225,7499,5347,4529,5175,3430,3386,3558,3663,2862
Marvinbryantia,0,0,0,0,0,0,0,0,0,2,0,0,34,52,31,14,41,30,38,28,24,24,5,18,5,17,8,18,5,2,0,3,30,0,4,9,0,0,0,0,0,0,0,25,0,22,29,38
Mucispirillum,0,0,0,0,0,0,0,0,0,0,0,0,32,9,414,382,8,3,5,211,330,17,41,18,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,48,0,0,21,22
Muribacter,39,29,7,560,248,269,300,586,82,28,458,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1035,108,85,7,12,3,46,109,0,937,213,114,82,198,202,0,0,9,0,0
Muribaculum,0,0,0,0,0,0,0,0,275,0,0,0,151,140,0,0,0,0,0,0,0,134,74,43,149,186,166,209,0,0,0,116,6,3,163,107,7,0,0,0,409,0,0,10,0,0,0,7
Not_Assigned,6,35,247,0,41,341,186,0,78,499,25,0,3592,3801,3852,3477,4866,4355,4785,4366,4371,3007,2856,2507,4444,3513,3906,4336,6,1040,1530,2742,3401,1091,4233,2612,2668,253,65,238,1385,1475,1755,3588,4040,1558,2852,3118
Odoribacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,137,328,215,175,277,266,127,96,101,0,0,0,0,0,0,0,0,239,0,4,1,0,0,0,0,0,0,0,187,457,0,464,745
Oscillibacter,0,7,4,0,0,6,16,0,1,11,0,0,7,2,358,111,24,10,13,185,214,21,29,48,43,58,16,25,0,20,2,19,51,9,9,97,32,8,0,12,5,0,13,26,28,66,55,62
Parabacteroides,0,0,0,0,0,0,0,0,0,0,0,0,15,11,7,1,2,6,12,0,0,31,0,1,760,1198,112,0,0,1,0,0,0,1,3,0,0,20,0,0,0,2734,1684,106,0,2342,907,770
Parasutterella,0,0,0,0,0,2,0,0,0,0,0,0,24,116,6,0,1,35,36,12,5,41,47,59,0,0,0,0,3,0,0,0,0,127,249,0,0,13,0,0,0,0,0,0,0,5,0,11
Peptococcus,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,5,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,9,9,0,0,0,0,0,5,0,7,12,15
Phyllobacterium,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,4,2,3,5,0,2,0,0,0,2,0,1,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Prevotellaceae_UCG_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,163,346,247,491,197,142,254,152,153,0,0,0,0,0,0,0,10,18,0,7,11,30,18,0,0,15,0,0,91,70,62,55,101
Pseudomonas,0,0,0,7,8,2,3,6,14,5,10,904,0,0,2,1,0,0,0,5,0,0,0,0,0,2,0,0,3,0,7,3,0,5,2,6,2,85,0,0,0,0,0,0,0,0,0,0
Rikenellaceae_RC9_gut_group,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,220,136,0,0,0,0,0,0,0,1076,387,1074,83,1046,0,63,0,0,0,0,0,405,518,1005,636,511
