class,050A,052A,059A,064A,065A,074A,086A,095A,103A,109A,112A,113A,114A,121A,122A,126A,130A,133A,138A,141A,142A,145A,148A,149A,155A,157A,163A,165A,166A,168A,229A,233A,234A,237A,238A,239A,249A,250A,252A,253A,254A,256A
A2,0,5,0,0,0,5,0,0,0,12,38,15,53,34,7,6,78,118,9,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
Acetatifactor,0,0,0,0,0,0,0,0,0,5,98,34,100,11,7,18,106,276,0,0,0,0,0,11,2,4,0,26,35,0,0,0,0,0,0,0,0,0,0,4,0,0
Alistipes,0,0,0,0,0,0,0,0,0,557,482,309,546,691,549,721,1035,626,971,166,8,67,0,126,13,219,25,927,81,43,0,44,2,101,775,2,652,911,128,559,267,0
Alloprevotella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3183,2726,0,1285,0
Anaeroplasma,0,0,0,0,0,0,0,0,0,253,185,60,33,9,0,9,22,297,63,6,5,6,0,0,0,103,0,10,31,26,0,0,0,485,0,0,0,0,0,0,0,0
Anaerotruncus,0,0,0,0,0,290,0,0,0,0,11,15,25,13,16,6,61,100,1,7,10,0,0,0,52,55,0,6,0,0,0,13,40,140,8,85,20,18,26,98,58,109
Angelakisella,0,0,0,0,10,51,0,0,0,0,0,0,10,4,0,0,66,18,11,91,0,21,0,93,88,6,189,24,0,15,0,0,0,0,0,0,17,0,27,218,0,0
ASF356,0,0,0,3,0,9,0,0,0,72,43,38,95,26,18,24,191,95,24,3,0,0,0,13,0,0,16,0,9,0,0,0,0,0,0,0,0,6,0,25,1,0
Bacteroides,0,0,0,0,0,225,0,77,0,1176,2256,1545,139,170,256,140,65,49,386,0,0,710,0,52,18,1,0,2223,5,11,12,3173,1601,4969,143,0,2554,1174,939,1560,2370,0
Bifidobacterium,0,0,0,0,0,0,0,0,0,303,10,423,79,85,49,72,10,4,123,11,3,3,4,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,0,0
