"class","051B","058B","060B","066B","067B","080B","082B","084B","087B","096B","102B","104B","108B","110B","116B","117B","118B","123B","125B","127B","128B","131B","132B","136B","139B","143B","144B","147B","150B","152B","153B","154B","159B","160B","164B","169B","214B","216B","230B","231B","232B","236B","240B","251B","255B","257B","262B","263B"
"Acinetobacter","  0","  0","  0","  0","  0"," 11","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  3","  4","  0","  0","  0","  4","  5"," 19","  0","  0","  0","  3","212","  0"," 96","126","196","132","269"," 12","  7","  0","  2","  2"
"Aerococcus"," 0"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 2"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 8"," 0"," 0","30"," 0"," 0"," 0"," 4","28"," 0","32","12","26","21","32"," 0"," 8"," 0"," 0"," 0"
"Alistipes","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"," 39","  6","  2","  0","  0","  2"," 16","  1","  1","  2","  5","  0","  1","  5"," 12","  0","  0","  0"," 42","  0","  0","  3","107","  0"," 60"," 50","107"," 44"," 65"," 27"," 18","  0","  1","  6"
"Alloprevotella","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 89","  0"," 39"," 31"," 35"," 18","113"," 13","  3","  0","  2","  0"
"Arcobacter","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  9","  0","  6","  0","  0","  0","  0","113","  0"," 61"," 78"," 97"," 58","203","  0","  0","  0","  5","  0"
"Bacillus"," 1"," 0"," 0"," 0"," 0"," 0","10"," 0"," 1"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 7"," 0"," 0"," 0"," 3","18"," 2"," 0"," 5"," 0"," 4"," 0"," 7"," 0","12"," 0"," 0"," 0"," 0"," 0"
"Bacteroides","  0","  0","  0","  0","  0","  0","  4","  0","  3","  0","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","  0","  0","  0","  0","  0","  0","  0","347","  1","247","316","297","227","449"," 55"," 65","  7"," 19"," 12"
"Bifidobacterium","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  3","  0","145"," 68","  0","  0","  0","  0","  0","  0","  0","370","135"," 80","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 27","  0"," 11"," 18"," 34"," 18"," 30","  4"," 24","  5","  4","  5"
"Candidatus_Arthromitus","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 303"," 499"," 350","2868","1108"," 731","  13","   0","   0","   0","   2"," 457","   3","   0","   0","   3","   0","   1","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"Candidatus_Saccharimonas"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 2","11"," 7","21"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","17"," 0"," 7"," 0","15","12"," 9"," 0"," 8"," 0"," 0"," 0"
