"class","050B","052B","059B","064B","065B","074B","076B","086B","095B","103B","109B","112B","113B","114B","121B","122B","126B","130B","133B","138B","141B","142B","145B","148B","149B","155B","157B","163B","165B","166B","168B","229B","233B","234B","237B","238B","239B","249B","250B","252B","253B","254B","256B"
"Acinetobacter","  2","  0","  0","  0","  0","  4","  0","  2","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","  0","  4","  2","  0","  0","  0","  1","  0","  0","  0"," 23","182"," 29"," 61","104"," 29"," 16","  3"," 10","  6","  6","  0"
"Alistipes"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 4","10"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","10"," 0"," 0","16","71"," 8","28","55","10","17"," 6"," 7"," 5"," 8"," 2"
"Alloprevotella"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","30","86"," 8","19","25","10"," 6"," 7"," 0"," 6"," 2"," 1"
"Arcobacter"," 0"," 0"," 0"," 0"," 0"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","30","89"," 9","32","66"," 8"," 0"," 1"," 0"," 6","10"," 1"
"Bacillus","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","3","1","4","2","0","0","0","0","0","0","0","4","0","2","0","0","0","0","0","0","0","0"
"Bacteroides","  0","  0","  0","  0","  0","  0","  1","  0","  0","  8","  0","  0","  4","  0","  0","  0","  0","  2","  0","  0","  0","  4","  4","  0","  0","  0","  0","  2"," 15","  2","  0","120","285"," 56"," 85","180"," 50"," 89"," 19"," 18"," 42"," 32"," 19"
"Bifidobacterium","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 35"," 40","139","  3","  8","  1"," 14"," 14","  9"," 64","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 33"," 29","  0"," 10"," 13"," 10","  3","  6","  4","  0","  2","  0"
"Candidatus_Arthromitus","  0","  0","  0","  0","  0","  0","  0","  0","  0","  4","203","164","360","611","  0","  1","  5","  0","  0","822","  2","  1","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  0"
"Clostridium_sensu_stricto_1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"," 17","  0","  0","  2","  0","  3","  6","  0"," 16","205","  0","  8","  0","  0","  7","  0","  0","  3","  0","  4","  3"," 31"," 72","  5"," 26"," 13","  0"," 16","  7"," 10"," 22","  9","  4"
"Coprococcus_3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","51","14"," 0","28"," 0","17"," 8"," 2","11"," 6"," 4"
"Corynebacterium_1"," 0"," 0"," 0"," 0"," 0","14"," 0"," 2"," 1","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 7","11"," 0","20"," 0"," 0"," 0"," 0"," 0"," 0"," 0","93","59","20","14","39","14"," 0"," 0"," 0"," 0"," 6"," 0"
"Curvibacter"," 4"," 2"," 0"," 0"," 1","32","10"," 5"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Distigma"," 0"," 0"," 2"," 0"," 2","24"," 3"," 3"," 6"," 9"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","19","14","14","17","17"," 8","10"," 6","12"," 5"," 5"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"
"Dysgonomonas","  0","  0","  1","  0","  0"," 15","  4","  3","  1","  7","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  1","  3"," 13","  0","  4","  9"," 23","  4","  2","  7","  4"," 89","192"," 22"," 65","101"," 26","  5","  0","  4","  1","  0","  0"
"Enterococcus","  0","  0","  0","  0","  0","  0","  0","  0","  2","  1","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  7","  0","  0","  0","  0","  0","  0","  7"," 31","  0","  7"," 15","  0","182","  0","  0","  0","  0","  3"
"Enterorhabdus"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","20"," 2","14"," 0","23"," 9","10","22"," 5","12"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
