function,1,2,7,8,11,13,22,23,24,25,30,40,41,42,46,47
K00001,150416.67,132436.23,143258.74,131006.92,90302,85869.42,74948.26,122193.59,125005.91,115647,60698.5,79950.08,113753.66,106525.75,74846.67,79513.83
K00002,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0
K00003,83115.44,74508.2,78618.66,71787.5,49952.84,47550.84,41540.01,66969.67,68750.5,63578.5,33275,43915.38,63485.67,58625.69,41229.25,43638.83
K00004,3284,6890,18,26,274,885,93.34,36.34,106.66,62,0,56,99.23,63,0,0
K00005,5686.02,5121.35,5652.87,6391.65,7738.6,10382.17,8401.92,9573.13,10122.92,7972.17,4228.5,10494,7276.48,7989.94,9542.41,10649.97
K00006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00007,0,7.5,0,0,14.5,0,0,11.5,0,12.5,0,0,0.57,0,6.29,20.86
K00008,1921.84,3897,288.49,305.5,400.67,583.84,288.34,229.5,256.67,184.67,46.5,325.66,1008.09,213.84,220.29,170.19
K00009,69592.84,62088.35,65748.87,60046.32,47517.76,48947.83,41435.08,63219.13,64045.91,59149.5,30949.33,44915.67,55764.21,54590.27,41524.96,44744.44
K00010,451.83,443.84,426.32,519.33,258.17,343,328.5,206,186.83,142,98.33,211.33,664.91,175.68,253.87,250.91
K00011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00012,125742.42,108175.21,121132.63,107671.24,86932.1,86237.43,73945.17,115359.89,115819.51,109461.33,56774.5,78117.47,104408.71,99895.24,72165.7,77144.44
K00013,2977.35,4938.05,1615.29,1333.57,7855.6,10942.09,8375.34,8337.22,8230.33,7279,3631.83,9263.8,7392.38,6988.11,8310.04,9141.77
K00014,8764.68,10377.18,7266.24,8018.64,9152.03,11876.09,9489.34,10643.93,11301.33,8835,4504.83,11416.74,11302.52,8892.44,10600.2,11466.21
K00015,116,111,124,77,104.67,40,61.67,80.67,84.33,46.33,21,43.22,382.83,58,77,51
K00016,165440.7,147859.54,156194,142688.33,98982.01,94390.84,82425.34,133296.5,136715.17,126668.67,66512,87213.38,123565.51,116829.12,81916.62,86909.86
K00018,786.83,1138.34,955.75,1067.25,704,672.25,640.75,528.25,568.41,375.17,161.33,560.58,2132.67,443.76,643.67,501.83
K00019,2064.66,3814.57,433.33,536,358.83,690.83,310.5,224.17,224.49,176,85.83,184.94,822.33,203.84,201.67,162.33
K00020,971.77,1009.2,1078.66,815,697.84,367.84,541.68,684.34,740.83,518.5,133,439.82,2512.5,549.77,509.5,415.33
K00021,0,0,0,0,0,0,12,0,0,0,0,10,0,0,0,0
K00023,287,358.6,348,280,222,95,136,170,211,132,21,155.22,927.5,137,151,96
