,2,5,10,11,18,20,22,25,27,32,36,39,40,44,46
"E1.1.1.1, adh; alcohol dehydrogenase [EC:1.1.1.1]",132436.23,19670.8,18538.51,90302,23768.83,50607.14,74948.26,115647,8175.42,28951.92,114967.14,122279.8,79950.08,56485.25,74846.67
"AKR1A1, adh; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]",0,0,0,0,0,0,12,0,0,0,0,0,10,0,0
E1.1.1.3; homoserine dehydrogenase [EC:1.1.1.3],74508.2,15307.57,14637.67,49952.84,13885.49,29481.66,41540.01,63578.5,6092.5,16636.5,72084.39,70760.4,43915.38,32613.5,41229.25
"BDH, butB; (R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]",6890,13759.34,16738.34,274,1862,1690.29,93.34,62,2627,40.34,29740.66,3308.52,56,441,0
gldA; glycerol dehydrogenase [EC:1.1.1.6],5121.35,15883.26,17445.66,7738.6,16350.24,12425.35,8401.92,7972.17,17664.37,12846.53,7117.18,5262.63,10494,12928.98,9542.41
GPD1; glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8],0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
dalD; D-arabinitol 4-dehydrogenase [EC:1.1.1.11],7.5,0,0,14.5,0,22.79,0,12.5,0,0,0,15.86,0,7,6.29
"SORD, gutB; L-iditol 2-dehydrogenase [EC:1.1.1.14]",3897,7801,8681.75,400.67,1202.74,2240.59,288.34,184.67,2141.67,617,17037.92,4277.67,325.66,1712.83,220.29
mtlD; mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17],62088.35,27896.93,29900.15,47517.76,27224.58,34594.31,41435.08,59149.5,21226.2,25375.53,60248.18,55962.16,44915.67,35946.65,41524.96
iolG; myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369],443.84,956.84,590.15,258.17,186.16,772.63,328.5,142,519.66,404.67,2665.33,2578.7,211.33,791,253.87
AKR1B; aldehyde reductase [EC:1.1.1.21],0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]",108175.21,27848.15,25305,86932.1,37077.41,58735.8,73945.17,109461.33,24807.11,39767.78,83188.46,107413.74,78117.47,61188.57,72165.7
hisD; histidinol dehydrogenase [EC:1.1.1.23],4938.05,25310.33,26691.82,7855.6,18000.07,16214.47,8375.34,7279,21072.78,14420.45,22765.31,11668.4,9263.8,14844.4,8310.04
aroE; shikimate dehydrogenase [EC:1.1.1.25],10377.18,26771.83,27985.82,9152.03,18597.07,17683.8,9489.34,8835,21939.57,15098.31,32981.24,18914.84,11416.74,17842.47,10600.2
"gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]",111,355.67,144.67,104.67,128,495.67,61.67,46.33,278.33,238,922.72,1247.33,43.22,526.17,77
"LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]",147859.54,26988.9,27557.33,98982.01,26581.49,55147.4,82425.34,126668.67,9451.33,31321.17,143759.33,135203.74,87213.38,61075,81916.62
hprA; glycerate dehydrogenase [EC:1.1.1.29],1138.34,2554.67,1333.82,704,698.83,2506.75,640.75,375.17,1757.58,1314.09,5710.75,6790.51,560.58,2768.75,643.67
"E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]",3814.57,7630.64,8767.99,358.83,1174.5,1608.72,310.5,176,1813.33,379.34,17620.33,4435.47,184.94,1001.5,201.67
"mmsB, HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]",1009.2,2310.24,1128.84,697.84,746.49,2698.41,541.68,518.5,1691.5,1198.67,6600.22,6598.23,439.82,2862.5,509.5
HMGCR; hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34],0,0,0,0,0,0,12,0,0,0,0,0,10,0,0
phbB; acetoacetyl-CoA reductase [EC:1.1.1.36],358.6,764.2,350,222,288,1057.2,136,132,694,467,1851.5,2657.2,155.22,995,151
mdh; malate dehydrogenase [EC:1.1.1.37],9873.38,25901.5,27603.16,8827.93,18364.41,16366.47,9266.59,8567.33,21355.53,14602.2,28554.39,15568.56,11156.72,16454.32,10264.46
MDH1; malate dehydrogenase [EC:1.1.1.37],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]",69389.95,28833.35,29949.82,55497.7,29312.89,39965.58,48006.93,68960.84,22471.48,28536.9,64325.89,64619.03,50462.01,40580.37,46735.12
"E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]",1443.08,18141.56,18123.82,7727.26,17116.41,15206.41,8322,7285,19714.95,14383.78,7481.09,10129.94,9179.69,14615.4,8367.46
IDH3; isocitrate dehydrogenase (NAD+) [EC:1.1.1.41],207.5,308.33,149.5,78.84,76.5,476.34,65,58.16,300.66,207.16,784.16,1200.17,82.5,418.34,76.29
"IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]",4843.25,25107.4,26609.07,7736.6,17987.32,16052.12,8381.09,7277,20984.2,14308.03,22387.32,11166.46,9218.77,14735.65,8274.21
E1.1.1.43; phosphogluconate 2-dehydrogenase [EC:1.1.1.43],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PGD, gnd, gntZ; 6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]",69873.35,29749.6,30542.82,55877.6,29624.58,40735.65,48399,69178.66,23083.94,29058.28,67755.97,68163.66,50635.92,41397.24,47030.04
gdh; glucose 1-dehydrogenase [EC:1.1.1.47],3550,7290.33,8686,184,1018,1081.29,84,69,1584,194,15423.5,2554.53,102,628.5,55
gal; D-galactose 1-dehydrogenase [EC:1.1.1.48],153,396,158,117,148,474,70,83,333,209,869,1157,96.22,516,84
"G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]",69801.75,29624.06,30421.15,55793.93,29618.58,40539.78,48349.33,69148.33,22973.61,28926.28,67519.81,67781.8,50617.14,41175.57,46952.04
E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53],0,20,16,29,18,41,0,0,23,17,39,64,0,31,0
rbtD; ribitol 2-dehydrogenase [EC:1.1.1.56],0,22,0,9,0,28,0,0,0,0,31,26,8,10,6.29
uxuB; fructuronate reductase [EC:1.1.1.57],230.85,15361.43,16661.83,6861.1,16160.91,12261.18,7586.92,6826.67,17415.54,12744.53,1177.18,1595.13,8639.05,11293.15,7710.7
uxaB; tagaturonate reductase [EC:1.1.1.58],480.35,15798.76,16950.66,7034.1,16334.74,12818.85,7725.17,6875.67,17910.12,13075.78,1996.93,2757.13,8743.47,11964.73,7793.41
