#NAME,Experiment,Tissue type,DOL,Genotype
071A,NEC,colon,DOL11,Sig WT
077A,NEC,colon,DOL11,Sig WT
091A,NEC,colon,DOL11,Sig WT
093A,NEC,colon,DOL11,Sig WT
100A,NEC,colon,DOL11,Sig WT
101A,NEC,colon,DOL11,Sig WT
218A,NEC,colon,DOL11,Sig WT
219A,NEC,colon,DOL11,Sig WT
220A,NEC,colon,DOL11,Sig WT
224A,NEC,colon,DOL11,Sig WT
242A,NEC,colon,DOL11,Sig WT
245A,NEC,colon,DOL11,Sig WT
246A,NEC,colon,DOL11,Sig WT
248A,NEC,colon,DOL11,Sig WT
073A,C,colon,DOL11,Sig WT
075A,C,colon,DOL11,Sig WT
081A,C,colon,DOL11,Sig WT
083A,C,colon,DOL11,Sig WT
085A,C,colon,DOL11,Sig WT
088A,C,colon,DOL11,Sig WT
097A,C,colon,DOL11,Sig WT
105A,C,colon,DOL11,Sig WT
106A,C,colon,DOL11,Sig WT
107A,C,colon,DOL11,Sig WT
215A,C,colon,DOL11,Sig WT
226A,C,colon,DOL11,Sig WT
227A,C,colon,DOL11,Sig WT
228A,C,colon,DOL11,Sig WT
235A,C,colon,DOL11,Sig WT
