function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
EC:1.1.1.1	111186.6	88769.19	55080.8	69233.72	71769.15000000001	35895.94	25472.75	37216.64	19587.18	21585.42	29600.25	27423.72	21506.29	117507.34	117151.76	93361.68	86558.0	75588.26999999999	96595.19	88864.20999999999	101008.23	97947.79	116200.65	27304.71	68366.98000000001	51080.62	48266.01	68255.0
EC:1.1.1.100	103682.97	86719.29	52779.71	67923.06	59800.01	78203.31999999999	26615.99	78995.70999999999	52678.15	66504.93	42662.51	34386.69	67873.5	101886.84	92445.39	70956.23	66342.0	57963.62999999999	74587.49	72402.97	74382.62999999999	72893.54	85162.02	46072.82	50228.22	36545.96	30678.17	50119.17
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	28.75	19.25	4234.83	5508.6	5845.530000000001	1753.66	4117.17	2404.92	1987.58	2215.83	970.08	2478.25	2336.42	242.25	47.25	418.0	669.0	591.74	1467.25	1384.86	543.17	21.0	12.75	283.25	3234.33	3376.08	3434.67	1641.75
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	4746.0	444.0	2077.5	9121.5	5834.0	1167.0	574.0	2141.0	242.0	688.0	815.0	1286.5	696.0	64.0	51.0	325.0	398.0	610.0	285.0	73.0	18.0	55.0	17.0	99.0	0.0	0.0	0.0	23.0
EC:1.1.1.11	3.0	0.0	0.0	219.85	207.86	44.83	8.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	669.0	586.99	0.0	1068.86	0.0	0.0	0.0	0.0	3.25	5.0	0.0	0.0
EC:1.1.1.122	9.0	11.0	2.0	0.0	0.0	21.5	24.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.125	28.75	19.25	3906.83	5728.45	6046.389999999999	1941.16	4166.92	2030.17	1975.08	2148.83	941.58	1434.75	1128.42	19.75	19.25	836.0	1338.0	1178.73	1388.75	2146.8900000000003	543.17	19.0	12.75	100.75	3242.0	3369.08	3436.67	1624.75
EC:1.1.1.130	22.42	24.42	3878.16	5250.17	5592.67	1695.79	4117.25	2034.6	2041.25	2068.83	911.75	1507.08	1286.92	254.59000000000003	189.75	154.82999999999998	140.5	787.0799999999999	1505.34	42.0	895.5	275.94	323.41	65.75	3507.61	3538.58	3485.5	2355.42
EC:1.1.1.132	163.0	46.0	64.0	13.0	17.0	43.0	8.0	0.0	0.0	4.0	0.0	2.5	0.0	12.0	22.0	7.0	0.0	35.0	40.0	9.0	18.0	37.0	17.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.133	9195.2	11311.1	7740.74	3332.59	1105.03	26109.82	6269.83	24024.69	26459.38	35669.09	10788.75	9536.68	36864.98	12635.0	6081.13	2904.8	3064.4999999999995	1602.11	5630.3	5358.41	2883.82	3315.4	3423.37	16203.44	2526.63	2310.2	637.0	2024.0
EC:1.1.1.136	0.0	0.0	330.0	15.0	0.0	51.5	25.0	357.5	0.0	110.17	104.83	1066.67	1119.33	38.5	10.0	0.0	0.0	0.0	75.0	65.17	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
EC:1.1.1.137	21.33	0.0	260.0	0.0	0.0	88.4	11.4	6.2	1.0	2.0	3.4	0.0	2.6	25.0	24.0	0.0	0.0	10.0	25.0	6.0	0.0	30.0	37.0	0.0	8.0	7.8	0.0	0.0
EC:1.1.1.14	4582.0	7395.67	9284.0	10952.02	6306.360000000001	23713.55	4078.33	24085.1	3255.5	5895.5	10780.66	11245.17	12286.66	6664.5	2933.5	1267.0	1519.0000000000002	1256.99	2287.0	3463.03	407.5	677.6	17.0	6639.5	517.03	524.0	88.0	72.0
EC:1.1.1.140	8337.83	2896.76	10473.9	12203.85	12192.73	3126.01	10254.61	4323.34	4949.63	4838.0	2617.36	3676.3	2739.5	5066.5	3121.63	2305.8	2672.0000000000005	1752.35	5938.55	3208.59	3137.4100000000003	2388.8	3247.37	61.440000000000005	6488.1	6748.96	6996.34	3249.5
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	223.75	7383.42	9250.66	7002.52	6157.700000000001	28010.83	9547.42	24785.34	5869.74	5897.16	13498.57	4373.67	6382.75	5313.75	2754.75	1002.0	1139.5	769.24	3182.0	3062.03	1024.34	925.0	138.5	7496.25	4361.75	4190.31	3699.34	1737.75
EC:1.1.1.159	19.75	58.25	4875.0	5153.0	5492.0	15098.3	4030.75	14362.1	2337.25	2841.5	3689.75	3882.25	4621.75	588.25	1049.25	9.0	12.5	31.25	1470.0	223.5	536.5	43.6	12.75	4430.75	3114.95	3196.75	3310.0	1585.75
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	26628.28	7890.27	17159.309999999998	27742.6	19259.59	24699.19	11543.46	24898.42	16374.52	23091.51	11877.64	9331.64	26766.57	3648.75	1655.51	2509.85	3457.5	3151.96	3081.6	5750.32	1175.31	828.85	774.24	12719.13	5599.78	5397.18	4071.67	3641.75
EC:1.1.1.17	34352.95	23326.68	15313.9	20094.67	20185.2	2719.01	6476.4400000000005	4523.59	4811.55	5114.17	4881.780000000001	6082.05	3857.08	31290.59	31756.88	25602.63	23484.5	21163.94	26017.39	23171.23	27667.570000000003	26894.14	32203.28	6298.52	17350.1	12845.21	14783.67	17480.75
EC:1.1.1.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
