function	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
EC:1.1.1.1	70856.74	17245.7	42627.58	62439.08	62964.83	13674.48	29904.72	31211.38	25779.57	27503.99	19922.04	20800.81	17907.239999999998	28607.71	70364.81	135689.88999999998	84736.54	83753.0	98473.2	96433.44	153943.6	90747.26	11666.73	75481.23	17140.09	35354.83	16683.14	29289.75	26427.56
EC:1.1.1.100	83058.14	28661.03	49481.45	89700.95	82246.94	19333.88	44043.51	34832.73	44926.09	43731.81	32689.02	28493.2	31910.62	45575.94	64269.880000000005	106715.07	69958.69	72159.08	78202.00000000001	76230.17	120414.12	69577.26	11958.67	58058.130000000005	24412.39	44237.6	19496.38	26686.23	35414.33
EC:1.1.1.102	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	1193.67	1194.75	3548.25	1475.45	103.75	182.85	401.31	2562.83	800.4200000000001	551.47	608.0	1274.25	697.13	564.6700000000001	592.42	550.75	923.1	701.8699999999999	532.92	598.0300000000001	2582.4	56.4	185.5	119.25	474.2	1360.94	436.08	414.08	450.71
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	1.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.25	0.0	0.0	7.25	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	8734.33	3532.0	7298.83	18606.42	18643.25	3134.5	6822.6	5595.0	2147.0	4912.25	2167.75	3345.75	1338.75	3809.92	2242.0	1311.0	1461.67	1966.75	1161.42	1062.92	552.0	457.0	497.25	438.0	403.0	672.5	287.0	431.0	796.33
EC:1.1.1.11	11.0	43.0	11.0	76.67	4.0	16.85	23.92	7.67	51.25	40.09	49.83	29.5	51.53	65.76	21.0	15.0	0.0	178.72	0.0	9.0	2505.44	8.0	0.0	0.0	53.67	37.42	22.75	9.0	71.17
EC:1.1.1.122	1189.67	1147.0	1549.0	1583.0	93.5	65.0	76.5	34.0	147.0	67.0	66.0	32.0	117.0	168.59	579.33	542.0	944.0	553.0	522.0	569.0	74.0	44.0	168.25	110.0	23.67	175.25	6.0	51.5	17.67
EC:1.1.1.125	1749.0	1250.75	3644.08	1414.37	131.0	203.2	278.26	2613.67	890.08	593.4300000000001	579.41	1331.75	797.74	749.34	630.75	581.75	980.5	882.1700000000001	549.8399999999999	620.25	5093.549999999999	62.4	239.75	132.25	403.67	1638.78	484.58	558.25	439.84
EC:1.1.1.130	42.83	25.08	2229.75	95.95	86.91	88.5	197.99	3091.1800000000003	560.4100000000001	480.83	68.17	1391.01	311.87	360.51	971.92	1567.42	1684.33	3787.97	2109.59	433.83	777.8399999999999	792.1600000000001	641.66	459.58	228.92	1343.56	889.5699999999999	947.43	488.03
EC:1.1.1.132	900.83	1291.0	672.33	978.42	424.25	576.0	290.6	153.0	163.0	548.85	576.35	553.75	542.75	500.75	1624.0	737.0	496.67	1080.75	419.42	485.92	212.0	397.0	315.75	328.0	273.0	461.0	204.0	382.4	641.0
EC:1.1.1.133	7396.73	4251.3	4378.22	4836.29	1134.5	1580.95	5241.74	1985.0	10583.74	7005.139999999999	7095.92	4047.28	8063.790000000001	8838.330000000002	7839.73	3225.0	2426.63	3578.1400000000003	1802.51	4177.17	3623.14	1640.5	1171.12	1416.1	4986.45	8334.300000000001	3551.44	3412.53	6809.139999999999
EC:1.1.1.136	54.0	3.67	120.33	109.66	0.0	12.5	35.0	0.0	207.5	76.6	93.35	6.0	64.5	92.0	7.0	0.0	0.0	19.66	13.0	26.83	2.33	6.0	54.57	0.0	69.17	79.0	47.93	30.4	37.43
EC:1.1.1.137	146.87	280.4	651.2	804.93	229.0	409.26	104.4	17.6	236.8	139.0	141.6	80.4	209.6	164.0	289.0	86.67	131.73	103.0	112.0	145.67000000000002	95.33	244.8	241.33	102.0	83.4	159.79999999999998	63.4	76.39999999999999	204.27
EC:1.1.1.14	7393.17	1377.5	5574.5	16502.92	18155.25	2617.85	7593.52	5990.0	4966.92	5943.45	3074.5	3577.75	3255.5200000000004	5815.17	161.66	84.0	63.0	617.97	322.25	116.25	2769.15	50.0	138.32	9.0	1488.66	2121.73	855.9300000000001	516.0	1702.79
EC:1.1.1.140	2803.67	175.13	4577.0	646.83	81.5	341.36	237.79	5531.54	344.24	342.65	293.21	2715.74	461.66	647.1299999999999	3573.5	896.17	174.93	657.3399999999999	33.5	2063.87	5339.879999999999	568.4	185.33	287.5	156.87	1698.18	484.0	624.5	184.87
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	5857.67	3009.95	7254.18	3191.54	593.0	1046.15	3899.6	3866.83	9426.64	5964.63	5847.88	3433.2200000000003	7022.02	7503.18	2465.08	1486.85	1748.77	2053.22	1178.17	1435.2800000000002	2840.4	599.9	757.8199999999999	606.85	4697.06	7839.110000000001	3094.1	2393.42	5443.97
EC:1.1.1.159	14.0	39.25	2078.67	77.45	5.25	121.0	345.25	2586.25	769.42	489.0	372.75	1268.25	570.67	536.5	5.75	12.75	21.5	44.15	10.25	12.5	0.0	23.0	12.5	3.25	322.62	1459.15	398.5	392.75	481.95
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	25944.07	6710.61	18534.19	37637.630000000005	37575.75	6815.91	17411.58	15999.82	12721.87	15221.11	9882.1	11065.65	8967.06	14933.31	4506.82	2518.6200000000003	2323.66	4355.139999999999	2075.26	2224.06	8783.61	1229.8	1032.45	1045.25	5296.23	8883.5	4134.629999999999	3621.02	6646.46
EC:1.1.1.17	17277.0	2277.71	8852.75	17363.08	19954.91	3271.51	7128.74	8978.380000000001	3007.96	5277.1	2316.22	4804.66	1518.5600000000002	4554.29	18057.59	36566.09	23193.26	24242.69	28401.26	25631.7	41424.69	24587.060000000005	3036.99	20400.58	2165.37	5726.8	3221.73	7897.51	4307.16
EC:1.1.1.173	0.0	4.0	0.0	72.0	0.0	0.0	17.0	26.0	43.0	0.0	8.0	2.0	0.0	0.0	0.0	0.0	6.0	11.0	0.0	20.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
