function	071A	077A	091A	100A	101A	218A	219A	220A	224A	242A	245A	246A	248A	073A	075A	081A	083A	085A	088A	097A	105A	106A	107A	215A	226A	227A	228A	235A
K00001	52502.2	45386.0	13660.5	18786.5	23623.0	2872.67	698.0	4657.92	4357.75	4645.25	8817.0	10147.33	3934.33	67759.0	69305.5	54393.0	49298.5	42462.25	54222.5	49505.0	59235.25	57774.0	69743.5	12557.0	31373.33	21006.0	22477.0	35101.0
K00002	0.0	0.0	0.0	0.0	0.0	70.5	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	2.0
K00003	40111.53	33471.77	14843.9	16240.57	16106.5	24297.370000000003	4270.43	23430.870000000003	5329.3	6660.0	13857.36	8922.51	8863.66	42951.0	41012.3	30675.05	28069.5	24079.7	31391.55	28809.54	33065.9	33231.25	38626.95	13184.1	19366.33	13357.7	11750.0	21220.0
K00004	9285.0	820.0	3948.0	18091.0	11607.0	1573.25	636.0	4158.0	306.0	1276.0	1402.0	2522.0	1392.0	116.0	80.0	635.0	796.0	1185.0	514.0	109.0	18.0	63.0	17.75	134.0	15.0	12.0	0.0	46.0
K00005	458.75	7947.02	8099.73	6765.52	6231.389999999999	8721.04	7798.85	7755.7	4830.88	4576.83	5146.9400000000005	3575.2200000000003	4740.58	9233.25	4633.05	2795.8	3255.0000000000005	2072.93	5685.55	4093.59	2690.57	3234.0	3166.95	3268.85	5134.0	5057.88	3811.67	3509.75
K00006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
K00007	3.0	0.0	0.0	219.85	207.86	44.83	8.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	418.0	669.0	586.99	0.0	1068.86	0.0	0.0	0.0	0.0	3.25	5.0	0.0	0.0
K00008	4582.0	7395.67	9284.0	10952.02	6306.360000000001	23713.55	4078.33	24085.1	3255.5	5895.5	10780.66	11245.17	12286.66	6664.5	2933.5	1267.0	1519.0000000000002	1256.99	2287.0	3463.03	407.5	677.6	17.0	6639.5	517.03	524.0	88.0	72.0
K00009	34352.95	23326.68	15313.9	20094.67	20185.2	2719.01	6476.4400000000005	4523.59	4811.55	5114.17	4881.780000000001	6082.05	3857.08	31290.59	31756.88	25602.63	23484.5	21163.94	26017.39	23171.23	27667.570000000003	26894.14	32203.28	6298.52	17350.1	12845.21	14783.67	17480.75
K00010	371.87	119.17	105.83	686.72	664.5799999999999	369.15	79.33	67.08	8216.17	12167.0	34.17	562.3299999999999	12833.17	267.84000000000003	315.5	1426.83	2147.5	2613.3	206.34	3517.25	419.33	324.34000000000003	344.66	245.50000000000003	282.66	174.5	50.83	745.67
K00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
