pathway	071B	077B	091B	093B	100B	101B	218B	219B	220B	224B	242B	245B	246B	248B	073B	075B	081B	083B	085B	088B	097B	105B	106B	107B	215B	226B	227B	228B	235B
1CMET2-PWY	13439.405390751372	6189.651573220368	12843.516145955866	12721.00552079494	3082.4596470888946	2995.7736138433	9374.243953435887	7981.653004795186	14628.26412317554	11209.56179450998	9518.583387673145	7055.988206678407	10344.105296486305	12932.485956627688	11221.424680244842	11804.564317054346	12969.772304276994	15565.682757532257	11741.665128796169	8419.688523287705	11141.843173831345	4908.239948242672	3292.2120923560515	3939.072799784019	7971.505364134396	14498.3289058972	6537.671466234829	7599.563342374695	10972.97796757275
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1438.1497201871389	2020.1490111518287	1148.515624400333	1602.546838202266	627.0116904341628	846.2013092533759	526.2423405618871	270.9086866689153	510.6626982451703	952.0534221457152	984.7122941791762	788.1789660699575	903.8102279208798	961.9977774178278	2404.584073435309	1090.453360785744	801.2192429990063	1822.5100709486887	664.1868508007902	765.193397566197	3572.76151676129	552.8122395695074	468.5554258456722	478.6764290358244	603.2965474014894	811.2259033565193	375.9292778310541	581.2973955746927	1186.0495510469173
AEROBACTINSYN-PWY	0.0	0.0	47.67006109979633	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3294910956140855
ALL-CHORISMATE-PWY	253.2453096365712	645.8995718299199	8123.699703520547	1166.7118883087344	120.45265903462796	1226.8285176043037	2673.8755409661203	7182.858789042893	3888.514718067171	3498.2936234743383	2992.3567236052863	4676.28805097472	3457.002814649454	3443.1605572837284	585.1759039650814	422.564744815318	442.02807854833287	2636.8614287219607	407.1332894191648	572.7942629542146	5125.04405102992	217.33210187734664	209.52218519733	200.37435738192536	2182.782054932694	5428.591227453312	2134.3592199929767	2216.3917006705574	2505.077472694861
ANAEROFRUCAT-PWY	25166.25522336815	5697.222121695064	18233.05027759552	24985.80979761476	25212.956038021533	5443.281157750228	15097.80687507572	13407.640255702345	16100.582283429523	14916.647697556911	10707.571183146412	10245.093008713426	10439.599839332735	16014.874675066982	16103.85671547448	21146.772230283063	18917.397760186053	25972.23975769099	21284.99043062629	11721.969882647789	28997.22465016245	11068.06335153682	4281.191989483001	8694.943654902214	9251.229864705689	18124.21460269574	8148.263878154753	10831.58882566511	13405.095184289285
ANAGLYCOLYSIS-PWY	27085.722359707084	6553.139056625076	17962.682334643676	25747.883188876203	25338.022966660174	5585.407156918167	15278.031755805408	13465.14841723042	18463.532423422297	15160.620441512812	11718.35373787762	10219.50067602965	12564.763504112212	16747.951489733987	25832.986565729872	49310.84260864368	32052.20777458425	32478.56245708832	37504.37661992252	35027.6563526414	56596.68266231832	33046.186160270576	4811.355010655275	27368.247858982748	9937.961886341644	18710.264783125047	8618.678563226655	12607.31696175113	14241.888404860165
ARG+POLYAMINE-SYN	3091.439674582067	950.02274194664	6233.265133593272	2297.2357565107254	613.4213772090267	891.7293454084707	2767.186013042752	5527.7590803830535	5776.93345374047	3402.6276546423737	3450.0682063911427	3564.160519193956	3786.165415525034	4342.703399940715	984.6701793695578	430.8542098189758	471.6569495360495	1126.7690933582544	500.21319218907513	549.8732083074425	4899.692465163077	358.85708806626985	612.4308933320117	339.01082659544727	2910.5778976448423	6050.563079164464	2708.649087900422	2428.5114432753194	3673.868849846925
ARGDEG-PWY	25.42937710328666	64.2693967758214	3877.7308946616986	50.589251491712176	18.14435773327284	252.7781789347721	273.20945063941554	3781.410508879365	513.9504829580522	341.3558609629095	413.8108119360709	2071.123544006433	591.7643987191323	516.2216242575487	29.59553803479741	62.05990094844813	46.97473756336552	438.57870252041135	37.04020927741969	60.51129696761306	3387.6847850601366	37.53954539026853	15.02363090053052	9.783973305918318	279.62605517238364	1885.857205123843	565.8926758730773	697.5942634110227	353.7101707437704
ARGORNPROST-PWY	9507.148518870066	3168.020250221429	8452.51498317817	7751.801054528507	2908.38819842904	2478.856519867872	3535.064661640442	3654.6772938250624	4036.065552513449	4118.053504899148	3441.6326065304816	4004.154553225748	3231.152741054709	5047.12767184754	6302.390414348927	2887.42829976764	1908.35916687343	3181.134618154443	1496.2639153212915	3611.186237236516	1338.7184693290203	1221.4672239567678	1086.93603142015	1027.245812940065	1786.250000609304	3664.512992125488	1602.412523013971	1525.3204091538244	2451.568612347295
ARGSYN-PWY	15826.713558725873	5884.722459732809	14070.62506525527	18781.19186776155	10840.501036586487	4573.014061639943	12046.075363060929	10401.132676702611	14459.742963566525	12822.566527710653	9469.195572890932	8039.893932330112	9750.85987993637	13503.5863035703	12820.25332806682	9330.607588286968	7849.214064279332	13299.225079662148	7938.318749189705	7327.637766004172	9509.900117928031	4897.926686030779	2878.127312842301	3636.4239391717774	7072.546956503958	12878.902168190803	5744.585379557248	6016.881137275932	9616.282608270732
