"","071B","073B","075B","077B","081B","083B","085B","088B","091B","093B","097B","100B","101B","105B","106B","107B","215B","218B","219B","220B","224B","226B","227B","228B","235B","242B","245B","246B","248B"
"Lactobacillus",2320,3220,4420,1051,3920,2663,3913,4606,623,108,3709,469,634,4659,1836,4789,1132,145,5,81,80,1145,1198,2517,1521,251,101,80,221
"Escherichia_Shigella",6,6,2,22,9,7,2,8,2014,10,0,5,342,7,12,4,35,74,2555,105,93,856,388,449,36,33,1734,294,92
"Muribacter",60,1134,954,92,1384,2540,1521,416,67,106,387,138,0,733,2776,597,599,268,583,667,765,694,1761,1272,826,0,25,264,195
"Staphylococcus",1568,13,2,1032,7,44,30,9,1339,4023,33,4719,2559,2,0,0,54,2678,1350,594,1554,55,26,12,80,812,1170,354,1171
"Streptococcus",126,753,83,232,34,43,23,351,171,257,48,78,404,117,292,69,132,67,59,53,76,143,396,225,28,90,71,0,104
"Klebsiella",0,0,0,0,0,120,0,0,0,0,1419,0,113,2,0,0,47,17,3,39,13,11,26,21,31,60,38,40,31
"Enterococcus",648,0,1,162,0,0,0,0,322,289,0,0,92,0,0,0,16,116,395,48,139,15,0,0,28,197,317,57,176
"Pseudomonas",244,313,80,1257,96,120,53,78,171,238,17,124,576,59,206,65,200,121,38,100,204,127,161,146,291,354,270,338,237
"Lachnospiraceae_NK4A136_group",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,0,0,54,27,14,7,0,40,4,24,27,44
"Muribaculaceae",0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,4,5,11,0,29,17,14,0,4,7,37,0,18,17
"Lachnospiraceae",2,0,0,20,0,0,6,0,0,4,0,0,0,0,4,0,67,27,27,113,109,68,15,27,40,34,38,123,53
"Bacteroides",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,152,150,16,268,178,118,105,75,228,254,73,253,223
"Rodentibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37,349,52,87,47,152,61,76,86,677,47,289
"Turicibacter",0,0,0,0,0,0,11,4,0,0,0,2,0,0,0,24,3,16,0,52,34,24,0,2,30,32,8,45,27
"Parabacteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,16,14,7,10,7,9,0,22,11
"Phyllobacterium",253,127,55,993,115,42,51,97,383,349,2,23,63,2,104,27,0,0,0,0,0,0,0,0,0,5,0,0,0
"Rikenellaceae_RC9_gut_group",0,0,0,0,0,0,1,0,2,4,0,0,13,0,4,0,44,30,0,75,33,37,14,35,35,113,19,92,39
"Prevotellaceae_UCG_001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14,0,17,0,0,0,0,0,12,11
"Lachnoclostridium",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,9,6,0,12,0,5,0,4,0,17,5,27,4
"Alistipes",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,62,38,0,48,50,36,18,3,48,88,26,99,80
"Alloprevotella",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,60,49,0,76,40,41,26,8,37,56,20,89,43
"Clostridium_sensu_stricto_1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,45,26,0,77,40,32,7,22,34,10,15,75,15
"Romboutsia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,56,38,12,104,56,73,52,28,59,86,26,66,83
"Peptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,9,18,0,0,4,4,10,4,0,5
