Names,MeanDecreaseAccuracy
Wolbachia,0.033488
Alloprevotella,0.030015
Lactobacillus,0.027798
Not_Assigned,0.021453
Dyadobacter,0.021238
Prevotellaceae_UCG_001,0.019895
Alistipes,0.018896
Escherichia_Shigella,0.017378
Lachnospiraceae_NK4A136_group,0.016067
Akkermansia,0.015305
Terrimicrobium,0.015091
Ruminiclostridium_9,0.014391
Phyllobacterium,0.012142
Bacteroides,0.010018
Pseudacidovorax,0.0094606
Lachnoclostridium,0.0075551
Streptococcus,0.007282
Novosphingobium,0.0066469
Sphingomonas,0.0064995
Persicitalea,0.0058073
Ruminiclostridium,0.0055147
Prosthecobacter,0.0052973
Bilophila,0.0045473
Paenarthrobacter,0.0042626
Enterococcus,0.0042204
Muribacter,0.004132
Rikenellaceae_RC9_gut_group,0.0037568
Butyricicoccus,0.0033257
Chryseobacterium,0.0033176
Odoribacter,0.002919
GCA_900066575,0.0028238
Bdellovibrio,0.0026558
Stenotrophomonas,0.0025679
Achromobacter,0.0020743
Acetobacter,0.0020648
Staphylococcus,0.0017917
Desulfovibrio,0.0017382
Aeromonas,0.0014566
Anaerotruncus,0.0014288
Delftia,0.0014025
Proteus,0.0012201
Luteolibacter,0.001176
Elizabethkingia,0.0010785
Leucobacter,0.0010717
Roseburia,0.00099524
Pseudomonas,0.00094641
Bosea,0.00079365
Lysinibacillus,0.00077984
Cloacibacterium,0.00075098
Clostridium_sensu_stricto_9,0.00063089
Anaeroplasma,0.0005817
Citrobacter,0.00049942
Turicibacter,0.00043529
Muribaculum,0.0003776
Rikenella,0.00034818
Helicobacter,0.00024265
Runella,0.00023611
Acetatifactor,0.00022749
Cupriavidus,0.00016786
Tabrizicola,0.00016508
Taonella,0.00012082
Pseudochrobactrum,0.00011846
Prevotellaceae_UCG_003,0.00011765
Parabacteroides,4.72E-05
Shinella,8.04E-06
Intestinimonas,0
C39,-0.00013137
Oscillibacter,-0.00017665
Zoogloea,-0.00022222
Novispirillum,-0.00066065
