"class","4","5","6","9","10","16","17","18","19","20","21","26","27","28","29","31","32","33","34","35","36","37","38","39","44","45"
"Actinobacteria"," 17"," 15"," 64"," 23"," 10"," 28"," 71"," 11"," 18"," 46"," 36"," 35"," 21"," 46","  1"," 22"," 35"," 15"," 34"," 76"," 43","152"," 63"," 47"," 34"," 13"
"Alphaproteobacteria"," 693"," 478","1507"," 458"," 216"," 388","1016"," 179"," 613"," 573","1120","1323"," 390"," 553"," 300"," 676"," 333"," 618"," 911","1548"," 874","3736","1292","1380"," 734"," 650"
"Bacilli"," 2723","10184"," 2430","14035","10017"," 3316"," 1883","10020"," 4522","20843","10517"," 6255"," 3471","10248","15877","  371","13850"," 3631","  642","36020","48457"," 3818","53027","48131","23226"," 5302"
"Bacteroidia"," 2316"," 1737"," 5385"," 1645","  877"," 1305"," 3766","  612"," 1880"," 2088"," 3306"," 4195"," 1605"," 1862"," 1002"," 2524"," 1340"," 2319"," 3364"," 5612"," 2942","10076"," 4013"," 4940"," 2363"," 2406"
"Campylobacteria"," 0"," 0"," 6"," 5"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 6"," 7"," 0"," 0"," 0"," 0"," 0"," 5","12"," 9","19"," 3","13"," 6"," 4"
"Clostridia"," 747"," 481","2059"," 555"," 212"," 342","1137"," 124"," 549"," 670","1335","1331"," 390"," 551"," 281"," 722"," 302"," 688","1011","1847","1060","4222","1303","1508"," 759"," 813"
"Deltaproteobacteria"," 69"," 69","305"," 42","  4"," 38","176","  5"," 73"," 50","110","180"," 48"," 69"," 18","115"," 29"," 59","130","283"," 99","454","195","215"," 70"," 47"
"Erysipelotrichia","  12","   0","   3","   0","   0","   0","   0","   0","   7","   3","   0","  19","   1","   0","   0","   0","   0","   0","   8","  34","1258","  22","  16","   8","  10","   6"
"Euglenida","16"," 0","17"," 2"," 0"," 0"," 7"," 0"," 4"," 6","15"," 3"," 0"," 0"," 5"," 8"," 0"," 9","13","11"," 4","83"," 8","21"," 0"," 2"
"Fimbriimonadia"," 5"," 8"," 0"," 0"," 3"," 0"," 0"," 0"," 6","11"," 2","13"," 2"," 2"," 0"," 0"," 0"," 0"," 3","22"," 3","15"," 5"," 5"," 7"," 7"
"Gammaproteobacteria","54887","48637","49146","44962","50432","56232","53270","50847","53827","37271","44901","47679","55683","48285","44257","57046","45812","54231","55323","15438"," 6649","37539"," 1348"," 4963","34364","52285"
"Melainabacteria"," 5"," 8"," 9"," 4"," 3"," 1","13"," 0"," 0"," 1"," 7","21"," 2"," 0"," 1"," 0"," 0","10"," 3"," 6"," 0","23","10"," 5"," 7","23"
"Mollicutes","26"," 0","10","11"," 0"," 0"," 7"," 0"," 0","11","12","28"," 0","12"," 4"," 0"," 0","17","13","45"," 8","68","10"," 5"," 6"," 0"
"Planctomycetacia","33","11","63","16"," 8","14","30"," 0","20"," 6","24","54","10"," 0"," 0","12"," 9","13","26","42","19","54","19","34"," 7","16"
"Saccharimonadia"," 0"," 0","22"," 7"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 4"," 0"," 0"," 0"," 0"," 0"," 5"," 7","13"," 0"," 0"," 0"," 0"
"Sericytochromatia"," 40"," 28","101","  2"," 26"," 28"," 46"," 13"," 68"," 34"," 28"," 92"," 39","  8"," 15"," 49"," 21"," 39"," 38","136"," 39","187","106","115"," 42"," 39"
"Verrucomicrobiae"," 349"," 282"," 811"," 171"," 130"," 246"," 510"," 127"," 351"," 325"," 525"," 704"," 265"," 298"," 177"," 393"," 207"," 289"," 414"," 801"," 467","1457"," 520"," 548"," 303"," 325"
"Genotype","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_Homo_HET","Sig_Homo_HET","Sig_WT","Sig_WT","Sig_Homo_HET"
"sample","4","5","6","9","10","16","17","18","19","20","21","26","27","28","29","31","32","33","34","35","36","37","38","39","44","45"
