#NAME	Experiment	Tissue type	DOL	Genotype
073A	C	colon	DOL11	Sig WT
075A	C	colon	DOL11	Sig WT
081A	C	colon	DOL11	Sig WT
083A	C	colon	DOL11	Sig WT
085A	C	colon	DOL11	Sig WT
088A	C	colon	DOL11	Sig WT
097A	C	colon	DOL11	Sig WT
105A	C	colon	DOL11	Sig WT
106A	C	colon	DOL11	Sig WT
107A	C	colon	DOL11	Sig WT
215A	C	colon	DOL11	Sig WT
226A	C	colon	DOL11	Sig WT
227A	C	colon	DOL11	Sig WT
228A	C	colon	DOL11	Sig WT
235A	C	colon	DOL11	Sig WT
073B	C	TI	DOL11	Sig WT
075B	C	TI	DOL11	Sig WT
081B	C	TI	DOL11	Sig WT
083B	C	TI	DOL11	Sig WT
085B	C	TI	DOL11	Sig WT
088B	C	TI	DOL11	Sig WT
097B	C	TI	DOL11	Sig WT
105B	C	TI	DOL11	Sig WT
106B	C	TI	DOL11	Sig WT
107B	C	TI	DOL11	Sig WT
215B	C	TI	DOL11	Sig WT
226B	C	TI	DOL11	Sig WT
227B	C	TI	DOL11	Sig WT
228B	C	TI	DOL11	Sig WT
235B	C	TI	DOL11	Sig WT
