function	111A	115A	119A	120A	124A	129A	134A	135A	137A	111B	115B	119B	120B	124B	129B	134B	135B	137B
EC:1.1.1.1	73327.62999999999	83695.12	61783.12	49842.05	70111.42	46300.72	61115.34	48349.8	66991.95	165286.5	218806.44	188138.22	190705.71	93444.95	153326.0	274338.24	149097.0	194961.22
EC:1.1.1.100	67163.82999999999	85705.65999999999	69113.61	50874.69	62483.05	85968.14	72008.44	53469.73	92767.25	127807.26	181304.52	137049.09999999998	113158.63	65293.2	111558.42	202258.49	105364.84	135781.44
EC:1.1.1.102	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.103	221.9	131.6	163.65	116.2	200.35	423.1	197.42	294.5	393.5	94.92	1001.82	93.71	57.5	112.25	1439.0	72.68	1382.5	106.5
EC:1.1.1.105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.107	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.108	50.0	55.0	35.0	34.0	29.0	328.0	118.0	39.0	286.0	84.0	43.0	29.0	41.0	63.0	92.0	64.25	72.0	26.0
EC:1.1.1.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.57	28.71	0.0	2.0	0.0	1.43	0.0	0.0
EC:1.1.1.122	0.0	0.0	0.0	0.0	0.0	3.0	11.0	0.0	3.0	1.67	16.0	12.0	0.0	26.0	9.0	11.0	8.0	0.0
EC:1.1.1.125	19.0	45.0	31.75	18.0	41.25	145.0	53.25	0.0	50.5	22.25	310.89	72.92	1.0	31.75	467.0	23.36	317.0	17.5
EC:1.1.1.130	30.6	41.0	24.75	11.0	72.25	58.5	28.42	30.5	67.5	15.25	175.25	20.5	7.5	38.75	101.5	29.08	358.5	18.5
EC:1.1.1.132	0.0	6.0	0.0	0.0	7.0	8.0	8.0	0.0	0.0	76.0	16.0	17.0	41.0	39.0	28.0	46.25	64.0	26.0
EC:1.1.1.133	11294.9	10522.89	14267.94	15104.69	14049.88	23585.97	16757.27	13147.33	23818.95	3760.26	11500.83	1940.05	12292.77	5058.0	14771.59	5053.17	12840.34	4548.84
EC:1.1.1.136	189.17	101.0	141.5	97.0	138.5	333.33	190.67	100.17	374.33	67.0	482.33	37.5	50.0	46.5	759.17	42.5	705.17	86.67
EC:1.1.1.137	0.0	19.0	0.0	58.0	148.0	25.0	2565.0	1928.0	264.0	41.33	34.0	25.67	114.67	3.0	31.67	729.6700000000001	1626.0	745.6700000000001
EC:1.1.1.14	5259.17	6117.43	6082.9	4482.37	4041.77	21472.76	8905.51	4005.17	18501.0	898.6700000000001	7472.74	350.88	680.5	733.0	15274.51	350.34000000000003	10539.67	1614.17
EC:1.1.1.140	89.0	192.0	46.5	14.0	67.5	342.0	164.5	35.0	260.0	8.83	83.31	73.09	11.67	9.5	62.67	31.700000000000003	9.0	7.67
EC:1.1.1.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.157	5969.37	7794.6	7503.15	8644.27	7276.92	23670.590000000004	12631.09	10254.74	21507.7	8429.09	4143.49	8481.38	22717.67	10382.85	20461.84	4144.84	19762.67	16221.67
EC:1.1.1.159	704.1	613.0	848.25	893.0	713.75	2331.5	555.75	331.0	1330.5	138.25	1538.25	64.0	83.5	132.25	2303.0	91.0	1754.0	159.5
EC:1.1.1.163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.169	7952.299999999999	4273.0	5059.9	6596.599999999999	6085.0	14727.6	6913.67	6712.75	15596.5	8777.42	4170.8	8721.3	21230.35	10259.3	18957.42	2917.3	18654.0	15568.92
EC:1.1.1.17	15696.0	21828.0	14663.75	8041.0	14638.25	6939.0	14645.25	13903.0	12276.3	47447.98	65035.99	58072.88	40991.67	27996.75	40685.67	74568.35	46263.0	52873.97
EC:1.1.1.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
EC:1.1.1.179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.18	138.8	234.5	283.9	306.1	495.5	653.1	276.17	273.0	647.0	155.34	133.21	136.13	109.5	136.0	305.5	113.37	486.0	80.0
EC:1.1.1.193	8375.67	8147.85	11366.05	12990.62	12630.42	15320.44	12241.01	17240.989999999998	15441.45	1089.34	8937.74	15292.38	29946.6	15800.55	34271.09	10543.17	40749.17	14739.17
EC:1.1.1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.202	1676.2	313.6	1123.4	3811.6	3263.0	981.6	348.0	3065.4	2623.2	8069.0	2458.57	8336.71	20629.0	9704.0	14635.0	1828.43	15700.0	14807.0
EC:1.1.1.203	0.0	6.0	3.0	0.0	7.0	8.0	8.0	0.0	2.0	76.0	16.0	18.0	41.0	43.0	28.0	46.25	64.0	26.0
EC:1.1.1.205	34045.0	38443.92	33136.22	28244.52	34129.490000000005	34331.11	32514.01	29951.49	41747.75	65914.91	88960.90999999999	76057.54999999999	79104.26999999999	44436.05	72523.09	98152.76	75259.67	78144.64
EC:1.1.1.206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.215	0.0	47.0	18.75	0.0	22.25	13.0	12.25	0.0	6.5	78.25	28.32	50.21	42.43	44.55	28.0	55.93	64.0	28.5
EC:1.1.1.219	92.0	6.0	17.0	19.0	66.0	142.0	198.0	150.0	122.0	96.0	457.0	34.0	41.0	77.8	546.0	63.0	497.0	41.0
EC:1.1.1.22	40151.73	48350.36	39621.47	27436.22	38348.44	33205.94	38969.42	29189.01	40341.92	61046.01	107933.91	86275.88	70026.62	31727.6	65445.66	147146.34	62830.5	73529.75
EC:1.1.1.220	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.23	11727.6	10505.52	12872.47	10543.12	11195.34	24761.11	14481.76	11948.74	23703.45	1459.84	8262.74	1508.88	4627.35	3203.3	12539.17	3529.42	11096.17	4304.92
EC:1.1.1.243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EC:1.1.1.25	16754.129999999997	17679.190000000002	19623.14	20925.12	17891.510000000002	36567.78	25249.76	21111.24	38191.25	27564.41	24474.19	18861.22	34071.35	21892.3	29666.0	9496.81	32706.17	32156.22
EC:1.1.1.251	0.0	41.0	15.75	0.0	15.25	5.0	4.25	0.0	4.5	2.25	12.32	32.21	1.0	0.75	0.0	9.68	0.0	2.5
EC:1.1.1.26	43.0	0.0	0.0	0.0	0.0	3.0	63.0	96.0	3.0	7.0	16.0	12.0	0.0	22.0	12.0	15.0	31.5	3.0
EC:1.1.1.261	133.0	131.0	115.0	58.5	45.5	258.0	453.0	105.0	646.0	0.0	21.0	0.0	0.0	21.5	117.5	6.0	153.5	45.5
