"class","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39"
"Clostridium_sensu_stricto_1","118"," 67","123"," 53"," 32"," 12","  6"," 69"," 13"," 36"," 12"
"Enterococcus","2334","1120","1185"," 868"," 988","2711","1889","2285","1359","2041","2199"
"Escherichia_Shigella","23051","32155","13900","22045","34092","19103","26314","10194","39459","38195","27929"
"Haemophilus","119","124","248","251","144","716","269","439","158","141","421"
"Lactobacillus","41086","36585","49863","42533","32712","38301","39073","45457","29939","30236","35864"
"Morganella","729","416","819","496","290","  0","  0","  0","  0","  0","  0"
"Not_Assigned"," 229","  29","  35","  65","  40","7696","2473","9432"," 212"," 604","2678"
"Phyllobacterium","10"," 0","12"," 0"," 0","22"," 2","10"," 6"," 1"," 3"
"Proteus","613"," 67","321","136"," 63","229"," 97","898"," 87"," 75"," 62"
"Pseudomonas"," 6"," 5"," 4"," 3"," 0","11"," 5"," 9"," 0"," 0"," 5"
"Romboutsia","1507"," 738","1833","1340"," 778"," 105","  66"," 145","  35","  87","  90"
"Rothia","1453"," 991","2249","1923","1815","2916","2541","3333","1846","1681","3275"
"Staphylococcus","291","115","188","129","161"," 46"," 22"," 90"," 22"," 16"," 28"
"Streptococcus","2695","2310","3842","4081","3084","2940","2051","2447","1672","1695","2242"
"Veillonella","567"," 86","186","885","609","  0","  0","  0","  0","  0","  0"
"Response","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34"
"sample","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39"
