"","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39"
"Enterococcus_avium","67","53","43","40","51","65","38","82","35","37","63"
"Escherichia_Shigella_boydii","553","  0","308","456","724","443","564","221","858","829","595"
"Haemophilus_parainfluenzae"," 42","  0"," 63"," 73","102"," 21","  5"," 30","  0","  0"," 15"
"Lactobacillus_intestinalis"," 3469"," 8567"," 6880"," 3130"," 4289","12051"," 7745","16756"," 2689"," 9056","11201"
"Morganella_morganii","692","379","805","461","263","  0","  0","  0","  0","  0","  0"
"Not_Assigned","68646","65320","65543","69220","68456","62166","66408","57649","71217","64831","62878"
"Romboutsia_ilealis"," 919"," 428","1031"," 749"," 453","  53","  39","  61","   0","  46","  47"
"Veillonella_parvula","411"," 52","126","670","461","  0","  0","  0","  0","  0","  0"
"Response","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34"
"sample","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39"
