"","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27"
"Enterococcus"," 5"," 4"," 1"," 0"," 4"," 5"," 3","11"," 5"," 5"," 5"," 0"," 1"," 0"," 1"," 0"," 1"," 3"," 0"," 0"," 0"
"Escherichia_Shigella"," 65"," 64"," 37"," 65","100"," 42"," 60"," 26","102","101"," 73","102","133","138","116","103","144","116","151","134","124"
"Lactobacillus","108","111","130","111"," 72","113","112","113"," 80"," 75","101"," 62"," 57"," 48"," 67"," 78"," 46"," 73"," 38"," 63"," 61"
"Not_Assigned"," 0"," 0"," 0"," 0"," 0","19","10","28"," 2"," 4"," 4"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 2"," 0"," 0"
"Others","1","1","2","2","0","2","0","2","0","2","1","0","0","1","0","0","0","0","0","0","0"
"Romboutsia"," 3"," 3"," 9"," 4"," 5"," 0"," 0"," 0"," 0"," 0"," 1","23"," 0"," 5"," 1"," 5"," 0"," 0"," 0"," 0"," 2"
"Rothia"," 1"," 3","10"," 4"," 6"," 7"," 5","13"," 2"," 7"," 8"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"Staphylococcus","3","0","1","0","0","0","0","0","0","0","0","8","3","4","5","8","1","1","1","0","5"
"Streptococcus","11","11"," 7","11","10"," 9"," 7"," 4"," 6"," 3"," 4"," 2"," 3"," 1"," 7"," 3"," 4"," 3"," 5"," 0"," 5"
"Response","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","PBS-PBS","Lac-PBS","PBS-PBS","PBS-PBS","PBS-PBS","PBS-PBS","Lac-PBS","Lac-PBS","Lac-PBS","Lac-PBS"
"sample","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27"
