"","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27"
"Clostridium_sensu_stricto_1","204"," 70","212"," 84"," 55"," 10"," 13","179"," 25"," 69"," 25","135","  0"," 10","  0","195","460","  9","  0","  0","  0"
"Enterococcus","4130","1194","2313","1489","1618","4528","3412","5174","2753","4514","3780","  99"," 482"," 758"," 621"," 937"," 805","1884","  87","   0"," 224"
"Escherichia_Shigella"," 40935"," 32083"," 26454"," 36350"," 52589"," 31082"," 48244"," 22674"," 79041"," 80821"," 48651"," 74072"," 97663","105692"," 85345"," 73759","100164"," 82888","104993","   123"," 61226"
"Haemophilus"," 215"," 141"," 436"," 371"," 207","1213"," 528"," 983"," 329"," 270"," 707","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"Lactobacillus"," 73289"," 36458"," 94161"," 69822"," 50364"," 62902"," 71486","101385"," 60387"," 63452"," 62344"," 53534"," 40115"," 43477"," 56424"," 58339"," 30394"," 44536"," 20739","    74"," 41406"
"Not_Assigned","  383","   33","   80","   91","   58","12500"," 4634","21068","  403"," 1396"," 4827","  600","  437","  298","  159","  461","  324","  167","  509","    0","  134"
"Phyllobacterium","18"," 0","17"," 0"," 0","32"," 9","19"," 6"," 5"," 8","41","12"," 9","14","22","16"," 8","25"," 0"," 0"
"Proteus","1064","  62"," 555"," 215"," 109"," 346"," 208","1912"," 191"," 181"," 129","   0","  52","   0","   0","  88","   0","  27","   0","   0","   0"
"Pseudomonas","16"," 9"," 8"," 4"," 0","20","12","18"," 0"," 2"," 8","29"," 7","18"," 5","65"," 9"," 0","27"," 0","15"
"Romboutsia"," 2658","  784"," 3340"," 2237"," 1200","  177","  115","  353","   83","  191","  182","15213","  122"," 2370","  899"," 3104","  334","  289","   80","    0","  572"
"Rothia","2641"," 982","4161","3151","2761","4930","4716","7352","3652","3518","5519","   0","   0","   0","   0","   0","  11","   0","   0","   0","   0"
"Staphylococcus"," 482"," 108"," 371"," 200"," 226","  76","  49"," 221","  49","  32","  53","5687"," 700","4700","2749","3261","2552"," 925"," 437","   0","1622"
"Streptococcus","4728","2392","7225","6771","4761","4827","3882","5505","3253","3735","4029","2899","1649","2767","3257","1833","1817"," 953","2576","   0","2040"
"Turicibacter"," 12","  0"," 13"," 11","  0","  0","  0","  0","  0","  0","  0","215","  0","  0"," 10"," 14","  0","  0","  7","  0","  7"
"Response","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","PBS-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","Lac-SCB34","PBS-PBS","Lac-PBS","PBS-PBS","PBS-PBS","PBS-PBS","PBS-PBS","Lac-PBS","Lac-PBS","Lac-PBS","Lac-PBS"
"sample","S33","S29","S30","S31","S32","S34","S35","S36","S37","S38","S39","S19","S28","S20","S21","S22","S23","S24","S25","S26","S27"
