,S19,S20,S21,S22,S23,S28,S24,S25,S26,S27,S33,S29,S30,S31,S32,S34,S35,S36,S37,S38,S39
Enterococcus,99,758,621,937,805,482,1884,87,0,224,4130,1194,2313,1489,1618,4528,3412,5174,2753,4514,3780
Escherichia_Shigella,74072,105692,85345,73759,100164,97663,82888,104993,123,61226,40935,32083,26454,36350,52589,31296,48244,22674,79041,80821,48651
Haemophilus,0,0,0,0,0,0,0,0,0,0,215,141,436,371,207,1213,528,983,329,270,707
Lactobacillus,53534,43477,56424,58339,30394,40115,44536,20739,74,41406,73289,36458,94161,69822,50364,62902,71486,101385,60387,63452,62344
Others,420,37,29,296,485,19,17,59,0,22,250,79,250,99,55,62,34,216,31,76,41
Proteus,0,0,0,88,0,52,27,0,0,0,1064,62,555,215,109,346,208,1912,191,181,129
Romboutsia,15213,2370,899,3104,334,122,289,80,0,572,2658,784,3340,2237,1200,177,115,353,83,191,182
Rothia,0,0,0,0,11,0,0,0,0,0,2641,982,4161,3151,2761,4930,4716,7352,3652,3518,5519
Staphylococcus,5687,4700,2749,3261,2552,700,925,437,0,1622,482,108,371,200,226,76,49,221,49,32,53
Streptococcus,2899,2767,3257,1833,1817,1649,953,2576,0,2040,4728,2392,7225,6771,4761,4827,3882,5505,3253,3735,4029
Response,PBS-PBS,PBS-PBS,PBS-PBS,PBS-PBS,PBS-PBS,Lac-PBS,Lac-PBS,Lac-PBS,Lac-PBS,Lac-PBS,PBS-SCB34,PBS-SCB34,PBS-SCB34,PBS-SCB34,PBS-SCB34,Lac-SCB34,Lac-SCB34,Lac-SCB34,Lac-SCB34,Lac-SCB34,Lac-SCB34
