,S33,S29,S30,S31,S32,S34,S35,S36,S37,S38,S39,S19,S28,S20,S21,S22,S23,S24,S25,S26,S27
Clostridium_sensu_stricto_1,0,0,0,50761.42132,0,50761.42132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proteus,50761.42132,0,50761.42132,0,0,50761.42132,0,101522.8426,0,0,0,0,0,0,0,0,0,0,0,0,0
Romboutsia,253807.1066,152284.264,456852.7919,101522.8426,101522.8426,0,0,0,0,0,50761.42132,1167512.69,0,253807.1066,50761.42132,253807.1066,50761.42132,0,0,0,101522.8426
Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,50761.42132,0,0,0,0,0,0,0
Enterococcus,253807.1066,253807.1066,50761.42132,0,253807.1066,304568.5279,152284.264,558375.6345,253807.1066,203045.6853,304568.5279,0,50761.42132,0,50761.42132,0,50761.42132,152284.264,50761.42132,0,0
Lactobacillus,5380710.66,5634517.766,6598984.772,5634517.766,3604060.914,5837563.452,5685279.188,5786802.03,4060913.706,3857868.02,5126903.553,3147208.122,2893401.015,2436548.223,3401015.228,3959390.863,2335025.381,3705583.756,1928934.01,3197969.543,3096446.701
Staphylococcus,152284.264,50761.42132,50761.42132,50761.42132,0,0,0,0,0,0,0,406091.3706,152284.264,203045.6853,253807.1066,406091.3706,50761.42132,50761.42132,50761.42132,0,253807.1066
Haemophilus,0,0,0,0,0,0,0,0,0,101522.8426,50761.42132,0,0,0,0,0,0,0,0,0,0
Escherichia_Shigella,3197969.543,3248730.964,1827411.168,3248730.964,5076142.132,2182741.117,3045685.279,1472081.218,5177664.975,5126903.553,3756345.178,5177664.975,6751269.036,7005076.142,5888324.873,5228426.396,7309644.67,5888324.873,7664974.619,6802030.457,6294416.244
Rothia,50761.42132,253807.1066,456852.7919,355329.9492,304568.5279,406091.3706,355329.9492,659898.4772,101522.8426,304568.5279,355329.9492,0,0,0,0,0,0,0,0,0,0
Enterobacteriaceae,0,0,0,0,0,761421.3198,355329.9492,1218274.112,0,152284.264,203045.6853,0,0,0,0,0,0,0,50761.42132,0,0
Streptococcus,609137.0558,406091.3706,406091.3706,406091.3706,456852.7919,406091.3706,355329.9492,203045.6853,304568.5279,253807.1066,152284.264,101522.8426,152284.264,50761.42132,355329.9492,152284.264,203045.6853,152284.264,253807.1066,0,253807.1066
Veillonella,50761.42132,0,101522.8426,152284.264,203045.6853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
