"Feature",Pvalues,FDR,PBS-SCB34,Lac-SCB34,LDAscore
Morganella,0.0028223,0.021167,874.6,0,2.64
Veillonella,0.0028223,0.021167,781.4,0,2.59
Romboutsia,0.0061699,0.023137,2043.8,183.5,2.97
Staphylococcus,0.017365,0.044055,277.4,80,2
Rothia,0.017622,0.044055,2739.2,4947.8,-3.04
Enterococcus,0.02846,0.060985,2148.8,4026.8,-2.97
Clostridium_sensu_stricto_1,0.044126,0.07435,125,53.5,1.57
Haemophilus,0.04461,0.07435,274,671.67,-2.3
Phyllobacterium,0.19712,0.29568,7,13.167,-0.611
Streptococcus,0.36131,0.4927,5175.4,4205.2,2.69
Escherichia_Shigella,0.46521,0.58151,37682,51788,-3.85
Pseudomonas,0.58216,0.67173,7.4,10,-0.362
Lactobacillus,0.85513,0.85513,64819,70326,-3.44
Proteus,0.85513,0.85513,401,494.5,-1.68
