"Feature",Pvalues,FDR,PBS-PBS,Lac-PBS,PBS-SCB34,Lac-SCB34,LDAscore
Rothia,0.00068108,0.004427,0,0,284260,363790,5.26
Escherichia_Shigella,0.0018514,0.0063332,6121800,6680200,3319800,3460200,6.23
Veillonella,0.0019487,0.0063332,0,0,101520,0,4.71
Romboutsia,0.0026678,0.0069364,355330,20305,213200,8460.2,5.24
Staphylococcus,0.0036123,0.0069386,263960,101520,60914,0,5.12
Lactobacillus,0.0037362,0.0069386,3055800,2964500,5370600,5059200,6.08
Streptococcus,0.0053937,0.0087647,172590,162440,456850,279190,5.17
Enterococcus,0.0075938,0.010969,20305,50761,162440,296110,5.14
Haemophilus,0.15438,0.20069,0,0,0,25381,4.1
Proteus,0.2348,0.27749,0,0,20305,25381,4.1
Pseudomonas,0.36181,0.39196,10152,0,0,0,3.71
Clostridium_sensu_stricto_1,0.5834,0.5834,0,0,10152,8460.2,3.71
