"Feature",Pvalues,FDR,PBS-PBS,Lac-PBS,PBS-SCB34,Lac-SCB34,LDAscore
Haemophilus,0.00042131,0.0029591,0,0,274,671.67,2.53
Rothia,0.00042273,0.0029591,2.2,0,2739.2,4947.8,3.39
Enterococcus,0.001544,0.0062411,644,535.4,2148.8,4026.8,3.24
Proteus,0.0017832,0.0062411,17.6,15.8,401,494.5,2.38
Staphylococcus,0.0023182,0.0064908,3789.8,736.8,277.4,80,3.27
Romboutsia,0.0029515,0.0068868,4384,212.6,2043.8,183.5,3.32
Streptococcus,0.0036071,0.0072141,2514.6,1443.6,5175.4,4205.2,3.27
Lactobacillus,0.0089548,0.01393,48434,29374,64819,70326,4.31
Clostridium_sensu_stricto_1,0.0112,0.01568,160,1.8,125,53.5,1.9
Escherichia_Shigella,0.041002,0.052184,87806,69379,37682,51788,4.4
Turicibacter,0.096532,0.11262,47.8,2.8,7.2,0,1.4
Phyllobacterium,0.24704,0.26605,20.4,9,7,13.167,0.886
Pseudomonas,0.34456,0.34456,25.2,9.8,7.4,10,0.996
