"Feature",Pvalues,FDR,PBS-PBS,Lac-PBS,PBS-SCB34,Lac-SCB34,LDAscore
Haemophilus,0.0004686,0.0036772,0,0,22937,49028,4.39
Rothia,0.00059285,0.0036772,160.59,0,225350,348790,5.24
Streptococcus,0.0010335,0.0036772,168410,115570,432670,297120,5.2
Veillonella,0.0012221,0.0036772,131.39,46.393,63797,0,4.5
Proteus,0.0013694,0.0036772,1238.6,1145.5,30744,32496,4.2
Enterococcus,0.0014709,0.0036772,44018,40977,179770,283500,5.08
Staphylococcus,0.0017946,0.0038455,253230,60924,22653,5462.6,5.09
Romboutsia,0.0022937,0.0039235,289610,18005,166380,12709,5.14
Lactobacillus,0.0023541,0.0039235,3265900,3089800,5446600,4914400,6.07
Escherichia_Shigella,0.0028712,0.0043068,5934500,6652300,3369800,3601900,6.22
Clostridium_sensu_stricto_1,0.011731,0.015996,11356,136.65,10327,3451.1,3.75
Turicibacter,0.096761,0.11165,3150.4,238.81,546.75,0,3.2
Phyllobacterium,0.32881,0.3523,1380.7,677.82,514.45,966.09,2.64
Pseudomonas,0.57354,0.57354,1705.2,796.33,649.39,729.2,2.72
