#NAME	053A	054A	055A	056A	057A	061A	062A	063A	068A	069A	070A	071A	072A	077A	078A	079A	089A	090A	091A	092A	098A	099A	100A	101A	217A	218A	219A	220A	221A	222A	223A	224A	225A	241A	242A	243A	244A	245A	246A	247A	248A
Lactobacillus	2279967.234	1980522.436	1814872.122	2141621.917	807317.7391	3635205.243	2585783.198	1708382.634	6650587.057	4418858.651	769090.7436	6645126.058	5977973.969	5747701.829	5643942.842	5227086.557	3617001.911	745426.413	2177118.413	2982615.819	1168653.864	2501137.708	1278784.017	2432875.216	277600.8009	202056.9764	15472.83153	30945.66306	3961044.871	630745.4264	2714116.683	691726.586	100118.3217	942022.3901	535177.9376	478747.6108	1167743.697	1235096.023	1028488.213	1584599.982	893783.5624
Escherichia_Shigella	5128788.568	4705561.118	6220988.441	5561117.685	6504050.241	5889687.813	7159370.165	4886684.263	5460.999363	10921.99873	10011.83217	20933.83089	14562.66497	12742.33185	10921.99873	10011.83217	2152543.916	5303540.548	3967416.037	3353963.775	5542004.187	5034131.246	5034131.246	5298989.715	504232.2745	1932283.608	6103576.955	1952307.272	1307909.347	231182.3064	2186220.078	2524802.039	2778738.509	1903158.278	2158915.081	1828524.62	418676.6178	1182306.362	1867661.782	2414671.885	1369800.674
Muribacter	1820.333121	24574.49713	29125.32994	76453.99108	1820.333121	46418.49458	0	81004.82388	23664.33057	143806.3166	12742.33185	2730.499681	41867.66178	28215.16337	1718394.466	29125.32994	99208.15509	12742.33185	2730.499681	24574.49713	10011.83217	5460.999363	910.1665605	1820.333121	10921.99873	136524.9841	10921.99873	0	201146.8099	0	0	0	0	52789.66051	0	0	1820.333121	0	0	0	0
Staphylococcus	1673796.305	1884044.78	833712.5694	1136798.034	1144079.367	130153.8181	192045.1443	2663147.356	1379812.506	245744.9713	18203.33121	1127696.368	1285155.183	81004.82388	211158.642	1019386.548	1404387.003	272139.8016	490579.7761	1206880.859	2026940.93	1755711.295	2198052.244	1392554.838	60070.99299	233002.6395	97387.82197	458723.9465	315827.7965	262127.9694	388641.1213	56430.32675	374988.6229	486028.9433	157458.815	185673.9783	40957.49522	255756.8035	451442.614	151087.649	210248.4755
Streptococcus	32765.99618	143806.3166	223900.9739	70992.99172	37316.82898	276690.6344	60981.15955	654409.757	196595.9771	39137.1621	90106.48949	91016.65605	223900.9739	18203.33121	5460.999363	47328.66114	131974.1513	47328.66114	33676.16274	392281.7876	5460.999363	5460.999363	18203.33121	5460.999363	9101.665605	9101.665605	7281.332484	20933.83089	382269.9554	62801.49267	25484.66369	25484.66369	12742.33185	121962.3191	15472.83153	22754.16401	28215.16337	21843.99745	35496.49586	3640.666242	10921.99873
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	662601.256	245744.9713	334941.2943	356785.2917	43687.9949	26394.83025	5460.999363	0	0	214799.3083	0	0	7281.332484	0	0	0	0	0	0	0	0
Enterococcus	882861.5637	1256940.02	877400.5643	319468.4627	1503595.158	0	1820.333121	0	1711113.134	5091471.739	4235915.172	2081550.924	2438336.216	2208974.242	2318194.23	3438609.265	702648.5847	3353053.609	2396468.554	1808500.956	540638.9369	418676.6178	935651.2242	434149.4493	41867.66178	77364.15764	2583052.699	283061.8003	340402.2936	117411.4863	1753890.962	1120415.036	3897333.212	1196869.027	753617.9121	1321561.846	109219.9873	877400.5643	381359.7888	821880.4041	180212.979
Pseudomonas	0	0	0	0	0	0	0	0	32765.99618	45508.32802	104669.1545	30035.4965	18203.33121	5460.999363	53699.82707	166560.4806	13652.49841	12742.33185	14562.66497	4550.832802	9101.665605	910.1665605	5460.999363	1820.333121	8191.499044	15472.83153	10921.99873	0	0	364066.6242	0	0	0	0	0	0	0	0	910.1665605	6371.165923	0
Lachnospiraceae_NK4A136_group	0	2730.499681	0	623464.0939	910.1665605	0	0	6371.165923	0	0	1298807.682	0	0	16382.99809	0	0	403203.7863	206607.8092	378629.2892	97387.82197	13652.49841	20023.66433	115591.1532	67352.32548	277600.8009	4046600.528	20023.66433	2820606.171	509693.2739	180212.979	395012.2872	2730.499681	127423.3185	2783289.342	101938.6548	2095203.422	1021206.881	745426.413	540638.9369	2524802.039	637116.5923
Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	486028.9433	0	0	0	0	0	0	0	3492309.093	8191.499044	0	2203513.243	862837.8993	133794.4844	0	540638.9369	0	91016.65605	398652.9535	2730.499681	1801219.623	3047237.644	4385182.488	3640.666242	0
Lachnospiraceae	0	0	0	55520.16019	0	0	0	0	0	0	2321834.896	910.1665605	0	317648.1296	2730.499681	13652.49841	519705.106	10011.83217	212068.8086	27304.99681	0	5460.999363	56430.32675	0	1185036.862	631655.593	717211.2497	952944.3888	283971.9669	780922.9089	1275143.351	754528.0786	2106125.421	1028488.213	506962.7742	1257850.187	141985.9834	911076.727	178392.6459	647128.4245	257577.1366
Bacteroides	0	0	0	0	910.1665605	0	0	0	0	0	0	0	0	0	0	910.1665605	0	0	0	0	0	0	0	0	125602.9853	83735.32356	22754.16401	9101.665605	910.1665605	1677436.971	1820.333121	0	18203.33121	0	1820.333121	4550.832802	1342495.677	910.1665605	6371.165923	21843.99745	1820.333121
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170201.1468	30035.4965	28215.16337	5460.999363	1227814.69	0	135614.8175	41867.66178	33676.16274	274870.3013	60981.15955	11832.16529	41867.66178	68262.49204	55520.16019	3640.666242	33676.16274
Turicibacter	0	0	0	1820.333121	0	3640.666242	0	0	0	0	0	0	0	0	2730.499681	0	1820.333121	0	0	0	0	0	0	0	20933.83089	0	5460.999363	0	0	140165.6503	0	0	0	0	0	0	0	0	0	6371.165923	1820.333121
