	050A	051A	052A	058A	059A	060A	064A	065A	066A	067A	073A	074A	075A	080A	081A	082A	083A	084A	085A	086A	087A	088A	095A	096A	097A	102A	103A	104A	105A	106A	107A	214A	215A	216A	226A	227A	228A	229A	230A	231A	232A	233A	234A	235A	236A	237A	238A	239A	240A
Lactobacillus	6039503.904	6289389.068	7353238.401	5452457.51	5886081.764	4899402.848	8113918.236	7920992.191	8394120.349	9195222.784	6695452.458	8032154.341	8355535.14	7674781.81	8216812.127	8387689.481	7512172.715	7173174.093	6881028.939	5290767.111	7492880.11	6659623.335	5359669.27	6264584.29	6789159.394	8598070.74	8495176.849	5209003.215	8037666.514	8484152.503	8690858.98	3711529.628	1830041.341	478640.3307	5141019.752	4188332.568	4400551.217	4219568.213	5801561.782	6096463.023	4636655.949	4146072.577	3437758.383	6080845.2	4586127.699	687184.1984	3617822.692	5462563.16	4901240.239
Escherichia_Shigella	3523197.06	3436839.688	2158934.313	4094625.632	3875976.114	4574184.658	24804.77722	1881488.287	11943.04088	14699.12724	19292.6045	7349.56362	14699.12724	0	0	7349.56362	0	0	3674.78181	4241616.904	888378.5025	1391823.61	2942581.534	379421.2219	8268.259072	284795.5903	53284.33624	360128.6174	561322.9215	19292.6045	6430.868167	3674.78181	2756.086357	6185576.481	3718879.192	4758842.444	5299035.37	4945337.621	2384014.699	1600367.478	2134129.536	969223.7023	2412494.258	1969683.05	11943.04088	517225.5397	393201.6537	204869.0859	206706.4768
Muribacter	16536.51814	28479.55903	33073.03629	24804.77722	15617.82269	7349.56362	192926.045	132292.1452	581534.2214	220486.9086	28479.55903	305925.5857	215893.4313	265502.9858	258153.4221	290307.763	242535.5994	519062.9306	1434083.601	33991.73174	90950.84979	181901.6996	5512.172715	26642.16812	49609.55443	390445.5673	634818.5576	2425355.994	540192.926	396876.4355	415250.3445	0	7349.56362	743224.621	54203.03169	45934.77262	0	136885.6224	161690.3996	90032.15434	60633.89986	24804.77722	26642.16812	129536.0588	194763.4359	4593.477262	50528.24989	238860.8176	176389.5269
Staphylococcus	0	3674.78181	0	11943.04088	918.6954525	7349.56362	0	0	0	0	8268.259072	7349.56362	3674.78181	102893.8907	98300.41341	56959.11805	109324.7588	93706.93615	180983.0041	10105.64998	15617.82269	49609.55443	8268.259072	16536.51814	12861.73633	0	918.6954525	16536.51814	0	3674.78181	0	44097.38172	31235.64538	321543.4084	0	0	0	0	12861.73633	0	0	17455.2136	5512.172715	11024.34543	6430.868167	38585.209	0	22967.38631	42259.99081
Streptococcus	259072.1176	107487.3679	286632.9812	287551.6766	115755.627	45016.07717	0	0	0	4593.477262	937988.057	892971.9798	637574.644	522737.7124	442811.2081	439136.4263	360128.6174	138723.0133	137804.3179	271015.1585	882866.3298	751492.8801	127698.6679	274689.9403	265502.9858	522737.7124	720257.2347	726688.1029	476802.9398	562241.6169	599908.1305	269177.7676	124023.8861	79007.80891	421681.2127	487827.2853	109324.7588	374827.7446	435461.6445	492420.7625	360128.6174	397795.1309	333486.4492	538355.5351	444648.599	9186.954525	366559.4855	466697.2898	564079.0078
Klebsiella	0	0	0	0	0	0	1445107.947	12861.73633	1004134.13	347266.881	0	0	0	926045.0161	813964.1709	493339.458	1317409.279	2054203.032	1210840.606	0	0	0	380339.9173	2352779.054	1937528.709	0	0	0	0	0	0	0	0	35829.12265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus	43178.68627	16536.51814	5512.172715	23886.08176	0	222324.2995	45016.07717	0	0	918.6954525	413412.9536	14699.12724	56040.4226	11943.04088	14699.12724	42259.99081	85438.67708	15617.82269	31235.64538	56959.11805	144235.186	24804.77722	26642.16812	27560.86357	16536.51814	29398.25448	49609.55443	332567.7538	45934.77262	111162.1497	252641.2494	122186.4952	66146.07258	60633.89986	41341.29536	22048.69086	48690.85898	95544.32706	8268.259072	117593.0179	273771.2448	101975.1952	22048.69086	0	995865.8705	189251.2632	1541570.969	263665.5949	854386.7708
Pseudomonas	0	0	0	0	0	0	1837.390905	4593.477262	5512.172715	5512.172715	2756.086357	918.6954525	918.6954525	10105.64998	0	7349.56362	0	5512.172715	10105.64998	0	15617.82269	13780.43179	0	6430.868167	0	5512.172715	19292.6045	798346.3482	1837.390905	11943.04088	3674.78181	3674.78181	0	63389.98622	0	0	0	0	0	0	918.6954525	0	0	0	0	0	0	0	0
Lachnospiraceae_NK4A136_group	118511.7134	110243.4543	152503.4451	46853.46808	32154.34084	10105.64998	4593.477262	8268.259072	2756.086357	149747.3588	5512.172715	7349.56362	22048.69086	30316.94993	17455.2136	10105.64998	15617.82269	0	0	16536.51814	31235.64538	77170.41801	47772.16353	41341.29536	101975.1952	131373.4497	3674.78181	19292.6045	125861.277	107487.3679	4593.477262	747818.0983	1445107.947	21129.99541	4593.477262	52365.64079	0	0	0	79007.80891	31235.64538	410656.8672	432705.5581	0	95544.32706	129536.0588	82682.59072	483233.808	91869.54525
Muribaculaceae	0	0	2756.086357	0	0	0	0	0	0	0	763435.921	73495.6362	69820.85439	0	3674.78181	918.6954525	3674.78181	0	1837.390905	14699.12724	76251.72255	146072.5769	715663.7575	26642.16812	215893.4313	918.6954525	0	0	38585.209	73495.6362	0	2147909.968	3163987.138	26642.16812	0	0	0	0	918.6954525	0	989435.0023	1400091.87	1855764.814	0	164446.486	3450620.119	1118052.366	914101.9752	527331.1897
Lachnospiraceae	0	3674.78181	7349.56362	51446.94534	71658.24529	225999.0813	132292.1452	39503.90446	0	35829.12265	649517.6849	307762.9766	374827.7446	169039.9633	117593.0179	112080.8452	108406.0634	0	25723.47267	32154.34084	10105.64998	212218.6495	225999.0813	411575.5627	188332.5678	14699.12724	0	0	0	5512.172715	0	199356.9132	321543.4084	76251.72255	58796.50896	120349.1043	26642.16812	0	83601.28617	180064.3087	180064.3087	70739.54984	124942.5815	15617.82269	1368856.224	984841.525	844281.1208	243454.2949	1136426.275
Bacteroides	0	3674.78181	0	0	0	0	0	0	0	6430.868167	0	149747.3588	0	0	0	0	0	0	0	0	0	0	48690.85898	1837.390905	122186.4952	0	0	34910.42719	0	0	0	2327055.581	1830041.341	325218.1902	23886.08176	4593.477262	0	5512.172715	1837.390905	0	918.6954525	1548001.837	809370.6936	9186.954525	3674.78181	2646761.599	81763.89527	0	0
Rodentibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94625.6316	110243.4543	1118971.061	440055.1217	314193.8447	113918.2361	217730.8222	1089572.807	1253100.597	946256.316	802939.8254	217730.8222	1242994.947	1769407.441	4593.477262	1055581.075	1410197.52	1215434.084
Rikenellaceae_RC9_gut_group	0	0	0	0	0	0	0	0	0	0	142397.7951	0	0	2756.086357	918.6954525	7349.56362	12861.73633	0	0	0	0	57877.8135	5512.172715	0	119430.4088	0	0	0	0	918.6954525	0	0	318787.322	65227.37712	0	0	0	0	0	0	0	3674.78181	131373.4497	0	0	0	160771.7042	0	0
Lachnoclostridium	0	0	0	0	0	6430.868167	10105.64998	0	0	11943.04088	4593.477262	5512.172715	17455.2136	27560.86357	0	25723.47267	0	0	0	0	0	46853.46808	0	9186.954525	33991.73174	0	0	0	0	13780.43179	0	48690.85898	48690.85898	18373.90905	17455.2136	0	0	0	0	32154.34084	18373.90905	11943.04088	11024.34543	0	341754.7083	178226.9178	155259.5315	174552.136	202112.9995
Muribaculum	0	0	0	0	0	0	0	0	0	0	0	33073.03629	0	0	0	0	152503.4451	0	0	0	271015.1585	331649.0583	0	0	24804.77722	0	0	0	132292.1452	8268.259072	2756.086357	9186.954525	9186.954525	0	0	0	0	0	0	0	357372.531	12861.73633	0	0	0	0	0	0	0
Alistipes	0	0	0	0	0	0	0	0	0	0	0	0	0	8268.259072	0	1837.390905	0	0	0	0	0	0	0	0	1837.390905	0	0	0	0	3674.78181	0	40422.59991	0	65227.37712	1837.390905	918.6954525	0	0	2756.086357	0	1837.390905	21129.99541	918.6954525	0	3674.78181	39503.90446	371152.9628	1837.390905	0
Anaerotruncus	0	0	0	0	0	0	0	0	0	0	216812.1268	144235.186	203950.3904	101975.1952	918.6954525	48690.85898	8268.259072	0	2756.086357	0	0	0	0	0	0	0	0	0	0	49609.55443	0	25723.47267	46853.46808	0	54203.03169	0	0	0	0	0	0	7349.56362	16536.51814	0	5512.172715	75333.0271	2756.086357	41341.29536	57877.8135
Clostridium_sensu_stricto_1	0	0	0	0	1837.390905	0	918.6954525	0	0	6430.868167	9186.954525	7349.56362	8268.259072	0	0	0	0	0	3674.78181	0	1837.390905	9186.954525	0	3674.78181	918.6954525	6430.868167	11024.34543	0	0	5512.172715	9186.954525	0	0	29398.25448	2756.086357	0	0	0	7349.56362	0	0	0	0	0	0	0	0	0	0
Romboutsia	0	0	0	0	0	0	0	0	0	918.6954525	0	0	0	0	4593.477262	0	0	0	1837.390905	0	0	918.6954525	0	0	918.6954525	4593.477262	11943.04088	12861.73633	11943.04088	18373.90905	7349.56362	0	0	70739.54984	8268.259072	0	0	0	5512.172715	7349.56362	0	0	0	0	918.6954525	0	0	0	0
Ruminococcaceae	0	0	0	0	0	0	27560.86357	0	0	0	0	0	11024.34543	0	0	0	0	0	0	0	0	0	2756.086357	0	12861.73633	0	0	0	0	0	0	21129.99541	12861.73633	41341.29536	0	0	0	0	0	33991.73174	0	5512.172715	0	0	4593.477262	944418.9251	0	0	0
Roseburia	0	0	0	0	0	0	0	0	0	0	0	6430.868167	8268.259072	3674.78181	6430.868167	0	1837.390905	0	0	0	5512.172715	2756.086357	0	42259.99081	7349.56362	0	0	0	0	0	0	77170.41801	0	26642.16812	0	0	0	0	0	0	0	28479.55903	0	0	0	1837.390905	0	0	0
Ruminiclostridium_9	0	0	0	0	0	0	0	0	0	0	19292.6045	1837.390905	0	0	0	37666.51355	918.6954525	0	0	32154.34084	72576.94074	40422.59991	62471.29077	106568.6725	90032.15434	0	0	0	0	0	0	61552.59531	2756.086357	0	0	0	0	0	0	0	0	0	0	0	0	14699.12724	111162.1497	0	0
Dysgonomonas	0	0	0	0	0	0	918.6954525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64308.68167	0	0	918.6954525	2756.086357	0	135048.2315	11024.34543	4593.477262	1837.390905	4593.477262	4593.477262	8268.259072	1837.390905	3674.78181	0	2756.086357	1837.390905	918.6954525	0	5512.172715	0
Oscillibacter	0	0	0	5512.172715	0	1837.390905	0	0	0	0	11943.04088	0	0	4593.477262	0	11943.04088	0	0	0	0	918.6954525	1837.390905	40422.59991	8268.259072	0	0	0	0	0	0	0	32154.34084	59715.20441	4593.477262	0	0	0	0	0	9186.954525	6430.868167	7349.56362	12861.73633	0	0	6430.868167	46853.46808	17455.2136	14699.12724
Erysipelotrichaceae	0	0	0	918.6954525	0	0	0	0	0	0	71658.24529	1837.390905	0	137804.3179	3674.78181	19292.6045	68902.15893	0	74414.33165	0	0	0	0	0	0	11024.34543	0	0	27560.86357	124023.8861	6430.868167	10105.64998	568672.4851	7349.56362	0	0	0	0	0	0	0	8268.259072	148828.6633	0	0	76251.72255	0	48690.85898	9186.954525
