"","053A","054A","055A","056A","057A","061A","062A","063A","068A","069A","070A","071A","072A","077A","078A","079A","089A","090A","091A","092A","098A","099A","100A","101A","217A","218A","219A","220A","221A","222A","223A","224A","225A","241A","242A","243A","244A","245A","246A","247A","248A"
"Lactobacillus",2279967.23400382,1980522.43560572,1814872.12159825,2141621.91681078,807317.739146264,3635205.24255939,2585783.19832529,1708382.63402203,6650587.05743151,4418858.65113316,769090.74360608,6645126.05806863,5977973.96923637,5747701.82943479,5643942.84154,5227086.5568399,3617001.91134978,745426.413033585,2177118.41266952,2982615.81869482,1168653.86365705,2501137.7082006,1278784.0174752,2432875.21616456,277600.800946573,202056.976426686,15472.8315281697,30945.6630563393,3961044.87121143,630745.426413034,2714116.68335305,691726.585965232,100118.321652862,942022.390097388,535177.937562574,478747.610812779,1167743.69709657,1235096.02257213,1028488.21334304,1584599.98179667,893783.562391918
"Escherichia_Shigella",5128788.568308,4705561.11768454,6220988.44088468,5561117.68453627,6504050.24119414,5889687.81286975,7159370.16474015,4886684.26322017,5460.99936288341,10921.9987257668,10011.8321652862,20933.8308910531,14562.6649676891,12742.331846728,10921.9987257668,10011.8321652862,2152543.91553654,5303540.54792027,3967416.0371348,3353963.77537089,5542004.18676618,5034131.24601802,5034131.24601802,5298989.71511787,504232.274506235,1932283.60790025,6103576.95458269,1952307.27223082,1307909.34741058,231182.306362064,2186220.07827432,2524802.0387731,2778738.50914717,1903158.27796487,2158915.08145991,1828524.62000546,418676.617821061,1182306.36206426,1867661.78210613,2414671.88495495,1369800.67352325
"Muribacter",1820.33312096114,24574.4971329753,29125.3299353782,76453.9910803677,1820.33312096114,46418.494584509,0,81004.8238827705,23664.3305724948,143806.31655593,12742.331846728,2730.4996814417,41867.6617821061,28215.1633748976,1718394.46618731,29125.3299353782,99208.1550923819,12742.331846728,2730.4996814417,24574.4971329753,10011.8321652862,5460.99936288341,910.166560480568,1820.33312096114,10921.9987257668,136524.984072085,10921.9987257668,0,201146.809866206,0,0,0,0,52789.6605078729,0,0,1820.33312096114,0,0,0,0
"Staphylococcus",1673796.30472376,1884044.78019478,833712.5694002,1136798.03404023,1144079.36652407,130153.818148721,192045.1442614,2663147.35596614,1379812.50568854,245744.971329753,18203.3312096114,1127696.36843542,1285155.18339856,81004.8238827705,211158.642031492,1019386.54773824,1404387.00282152,272139.80158369,490579.776099026,1206880.85919723,2026940.93019022,1755711.29516702,2198052.24356057,1392554.83753527,60070.9929917175,233002.639483025,97387.8219714208,458723.946482206,315827.796486757,262127.969418404,388641.121325203,56430.3267497952,374988.622917994,486028.943296623,157458.814963138,185673.978338036,40957.4952216256,255756.80349504,451442.613998362,151087.649039774,210248.475471011
"Streptococcus",32765.9961773004,143806.31655593,223900.97387822,70992.9917174843,37316.8289797033,276690.634386093,60981.1595521981,654409.756985528,196595.977063803,39137.1621006644,90106.4894875762,91016.6560480568,223900.97387822,18203.3312096114,5460.99936288341,47328.6611449895,131974.151269682,47328.6611449895,33676.162737781,392281.787567125,5460.99936288341,5460.99936288341,18203.3312096114,5460.99936288341,9101.66560480568,9101.66560480568,7281.33248384454,20933.8308910531,382269.955401839,62801.4926731592,25484.6636934559,25484.6636934559,12742.331846728,121962.319104396,15472.8315281697,22754.1640120142,28215.1633748976,21843.9974515336,35496.4958587421,3640.66624192227,10921.9987257668
"Klebsiella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662601.256029853,245744.971329753,334941.294256849,356785.291708383,43687.9949030673,26394.8302539365,5460.99936288341,0,0,214799.308273414,0,0,7281.33248384454,0,0,0,0,0,0,0,0
"Enterococcus",882861.563666151,1256940.02002366,877400.564303267,319468.462728679,1503595.1579139,0,1820.33312096114,0,1711113.13370347,5091471.7393283,4235915.17247656,2081550.92381906,2438336.21552744,2208974.24228634,2318194.22954401,3438609.26549559,702648.584690998,3353053.60881041,2396468.55374534,1808500.95567489,540638.936925457,418676.617821061,935651.224174024,434149.449349231,41867.6617821061,77364.1576408483,2583052.69864385,283061.800309457,340402.293619732,117411.486301993,1753890.96204605,1120415.03595158,3897333.21197779,1196869.02703195,753617.91207791,1321561.84581778,109219.987257668,877400.564303267,381359.788841358,821880.404113953,180212.978975152
"Pseudomonas",0,0,0,0,0,0,0,0,32765.9961773004,45508.3280240284,104669.154455265,30035.4964958587,18203.3312096114,5460.99936288341,53699.8270683535,166560.480567944,13652.4984072085,12742.331846728,14562.6649676891,4550.83280240284,9101.66560480568,910.166560480568,5460.99936288341,1820.33312096114,8191.49904432511,15472.8315281697,10921.9987257668,0,0,364066.624192227,0,0,0,0,0,0,0,0,910.166560480568,6371.16592336398,0
"Lachnospiraceae_NK4A136_group",0,2730.4996814417,0,623464.093929189,910.166560480568,0,0,6371.16592336398,0,0,1298807.68180577,0,0,16382.9980886502,0,0,403203.786292892,206607.809229089,378629.289159916,97387.8219714208,13652.4984072085,20023.6643305725,115591.153181032,67352.325475562,277600.800946573,4046600.5278966,20023.6643305725,2820606.17092928,509693.273869118,180212.978975152,395012.287248566,2730.4996814417,127423.31846728,2783289.34194958,101938.654773824,2095203.42222627,1021206.8808592,745426.413033585,540638.936925457,2524802.0387731,637116.592336398
"Muribaculaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486028.943296623,0,0,0,0,0,0,0,3492309.09256394,8191.49904432511,0,2203513.24292345,862837.899335578,133794.484390643,0,540638.936925457,0,91016.6560480568,398652.953490489,2730.4996814417,1801219.62319104,3047237.64448894,4385182.48839538,3640.66624192227,0
