#NAME,Experiment,Tissue type,DOL,Genotype
139A,C,colon,DOL14,Sig HET
140A,C,colon,DOL14,Sig WT 
141A,C,colon,DOL14,Sig Homo
142A,C,colon,DOL14,Sig Homo
143A,C,colon,DOL14,Sig HET 
144A,C,colon,DOL14,Sig HET
145A,C,colon,DOL14,Sig Homo
146A,C,colon,DOL14,Sig WT 
147A,C,colon,DOL14,Sig HET
148A,C,colon,DOL14,Sig Homo
149A,C,colon,DOL14,Sig Homo
150A,C,colon,DOL14,Sig HET 
151A,C,colon,DOL14,Sig WT 
152A,C,colon,DOL14,Sig HET 
153A,C,colon,DOL14,Sig HET 
154A,C,colon,DOL14,Sig HET 
155A,C,colon,DOL14,Sig Homo
156A,C,colon,DOL14,Sig WT 
157A,C,colon,DOL14,Sig Homo 
158A,C,colon,DOL14,Sig WT 
159A,C,colon,DOL14,Sig HET 
160A,C,colon,DOL14,Sig HET 
161A,C,colon,DOL14,Sig WT 
162A,C,colon,DOL14,Sig WT 
163A,C,colon,DOL14,Sig Homo
164A,C,colon,DOL14,Sig HET 
165A,C,colon,DOL14,Sig Homo
166A,C,colon,DOL14,Sig Homo 
167A,C,colon,DOL14,Sig WT 
168A,C,colon,DOL14,Sig Homo 
169A,C,colon,DOL14,Sig HET 
249A,C,colon,DOL14,Sig Homo
250A,C,colon,DOL14,Sig Homo
251A,C,colon,DOL14,Sig HET
252A,C,colon,DOL14,Sig Homo
253A,C,colon,DOL14,Sig Homo
254A,C,colon,DOL14,Sig Homo
255A,C,colon,DOL14,Sig HET
256A,C,colon,DOL14,Sig Homo
257A,C,colon,DOL14,Sig HET
258A,C,colon,DOL14,Sig WT
259A,C,colon,DOL14,Sig WT
260A,C,colon,DOL14,Sig WT
261A,C,colon,DOL14,Sig WT
262A,C,colon,DOL14,Sig HET
263A,C,colon,DOL14,Sig HET
