	139B	140B	141B	142B	143B	144B	145B	146B	147B	148B	149B	150B	151B	152B	153B	154B	155B	156B	157B	158B	159B	160B	161B	162B	163B	164B	165B	166B	167B	168B	169B	249B	250B	251B	252B	253B	254B	255B	256B	257B	258B	259B	260B	261B	262B	263B
Lactobacillus	8082368.082	6143286.143	7717717.718	5019305.019	6220506.221	8116688.117	6006006.006	6014586.015	9631059.631	8108108.108	8927498.927	8575718.576	9330759.331	9502359.502	8378378.378	5113685.114	7001287.001	7232947.233	5534105.534	4122694.123	6001716.002	8005148.005	8378378.378	7919347.919	8494208.494	9253539.254	9283569.284	9661089.661	9785499.785	9558129.558	9429429.429	5800085.8	8090948.091	8472758.473	8494208.494	8129558.13	8391248.391	8704418.704	8361218.361	8116688.117	1561561.562	7872157.872	6859716.86	8163878.164	9390819.391	8429858.43
Escherichia_Shigella	8580.00858	755040.755	411840.4118	2951522.952	3367653.368	1402831.403	3204633.205	2861432.861	0	25740.02574	38610.03861	72930.07293	180180.1802	8580.00858	21450.02145	0	347490.3475	896610.8966	132990.133	193050.1931	1681681.682	8580.00858	0	42900.0429	4290.00429	8580.00858	0	0	4290.00429	0	21450.02145	677820.6778	25740.02574	0	0	25740.02574	120120.1201	0	55770.05577	4290.00429	1063921.064	214500.2145	686400.6864	253110.2531	8580.00858	0
Muribacter	1312741.313	2179322.179	1154011.154	1325611.326	60060.06006	184470.1845	197340.1973	420420.4204	102960.103	935220.9352	81510.08151	296010.296	34320.03432	34320.03432	514800.5148	3792363.792	1776061.776	1364221.364	3758043.758	0	317460.3175	1256971.257	930930.9309	862290.8623	995280.9953	420420.4204	163020.163	42900.0429	30030.03003	21450.02145	12870.01287	617760.6178	240240.2402	64350.06435	145860.1459	60060.06006	283140.2831	42900.0429	579150.5792	930930.9309	34320.03432	622050.6221	167310.1673	55770.05577	60060.06006	21450.02145
Staphylococcus	175890.1759	17160.01716	21450.02145	4290.00429	30030.03003	8580.00858	8580.00858	0	0	17160.01716	55770.05577	68640.06864	4290.00429	4290.00429	68640.06864	60060.06006	94380.09438	34320.03432	72930.07293	386100.3861	38610.03861	47190.04719	21450.02145	102960.103	72930.07293	0	0	0	0	0	17160.01716	81510.08151	47190.04719	17160.01716	34320.03432	8580.00858	55770.05577	12870.01287	330330.3303	64350.06435	450450.4505	386100.3861	223080.2231	218790.2188	81510.08151	729300.7293
Candidatus_Arthromitus	4290.00429	0	4290.00429	0	0	0	0	4290.00429	0	0	0	0	4290.00429	4290.00429	0	0	0	0	0	0	0	0	0	4290.00429	0	0	8580.00858	0	0	0	0	0	0	0	0	0	0	0	0	0	12870.01287	0	0	0	0	0
Streptococcus	64350.06435	240240.2402	321750.3218	128700.1287	81510.08151	51480.05148	94380.09438	132990.133	60060.06006	167310.1673	214500.2145	210210.2102	34320.03432	107250.1073	214500.2145	364650.3647	154440.1544	171600.1716	111540.1115	1033891.034	25740.02574	227370.2274	184470.1845	287430.2874	111540.1115	128700.1287	201630.2016	98670.09867	51480.05148	102960.103	81510.08151	467610.4676	647790.6478	604890.6049	767910.7679	866580.8666	308880.3089	150150.1502	321750.3218	579150.5792	283140.2831	248820.2488	274560.2746	377520.3775	214500.2145	647790.6478
Enterococcus	0	4290.00429	0	0	4290.00429	0	0	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4290.00429	0	0	30030.03003	416130.4161	0	0	0	0	0	0	4290.00429	0	759330.7593	51480.05148	386100.3861	150150.1502	0	0
Pseudomonas	60060.06006	390390.3904	132990.133	326040.326	167310.1673	47190.04719	227370.2274	261690.2617	77220.07722	326040.326	270270.2703	257400.2574	132990.133	158730.1587	519090.5191	231660.2317	411840.4118	163020.163	201630.2016	2574002.574	102960.103	163020.163	235950.236	347490.3475	128700.1287	107250.1073	90090.09009	85800.0858	51480.05148	184470.1845	193050.1931	0	0	0	4290.00429	0	0	17160.01716	0	0	64350.06435	4290.00429	8580.00858	0	0	0
Lachnospiraceae_NK4A136_group	0	0	0	12870.01287	0	0	17160.01716	0	0	0	4290.00429	0	0	0	0	0	0	0	0	0	0	12870.01287	0	17160.01716	0	0	0	0	0	0	0	98670.09867	12870.01287	8580.00858	0	34320.03432	17160.01716	64350.06435	8580.00858	0	240240.2402	25740.02574	68640.06864	51480.05148	0	0
Muribaculaceae	120120.1201	17160.01716	0	0	0	51480.05148	4290.00429	30030.03003	30030.03003	0	4290.00429	0	90090.09009	0	0	0	0	0	8580.00858	188760.1888	1154011.154	0	25740.02574	0	0	0	85800.0858	0	0	4290.00429	0	167310.1673	17160.01716	81510.08151	0	0	0	30030.03003	0	0	257400.2574	51480.05148	244530.2445	60060.06006	0	4290.00429
