	108B	109B	110B	111B	112B	113B	114B	115B	116B	117B	118B	119B	120B	121B	122B	123B	124B	125B	126B	127B	128B	129B	130B	131B	132B	133B	134B	135B	136B	137B	138B
Lactobacillus	5104590.629	4876100.331	6539517.274	6831613.819	8880832.939	6809465.215	8409843.824	6442025.556	5858968.292	4884808.329	6960719.356	8260861.335	7294462.849	5980123.048	7856507.336	8036535.731	6290392.806	9681400.852	7327969.711	9114245.149	5065783.247	6944628.49	8076668.244	4736772.362	8352863.228	6522101.278	9007098.912	6700993.848	6627354.472	7241268.339	6543303.36
Escherichia_Shigella	0	0	1514.434453	1325.130147	378.6086133	2650.260293	0	4732.607667	2460.955987	0	0	1135.82584	757.2172267	378.6086133	0	0	946.5215334	0	0	567.91292	1325.130147	0	5111.21628	0	1135.82584	1893.043067	2460.955987	0	0	946.5215334	0
Candidatus_Arthromitus	351916.7061	464552.7686	621296.7345	2597444.392	370279.2239	741126.3606	1348603.881	1267392.333	381448.1779	3292948.415	1352389.967	1082252.721	0	0	567.91292	839375.2958	1506672.977	21012.77804	9275.911027	0	0	0	0	0	1135.82584	0	1325.130147	295504.0227	566777.0942	1385518.221	1903265.499
Streptococcus	9654.51964	6814.95504	19687.64789	13629.91008	10601.04117	19876.9522	16848.08329	4353.999053	12304.77993	10411.73687	8140.085187	6625.650734	11358.2584	11547.56271	4164.694747	8329.389494	4921.911973	33696.16659	2460.955987	378.6086133	20823.47373	7193.563654	10601.04117	2839.5646	3596.781827	6057.737814	9086.60672	7572.172267	7572.172267	5111.21628	3407.47752
Pseudomonas	5868.433507	7761.476574	6625.650734	9654.51964	7572.172267	8140.085187	8897.302414	1325.130147	3786.086133	7193.563654	2082.347373	3975.39044	3407.47752	9654.51964	3975.39044	1893.043067	6436.346427	15522.95315	1135.82584	1893.043067	6057.737814	2839.5646	3786.086133	6436.346427	3786.086133	5300.520587	4353.999053	7004.259347	4164.694747	3218.173213	1514.434453
Lachnospiraceae_NK4A136_group	48461.90251	220350.213	135352.5793	7572.172267	20255.56081	45243.72929	757.2172267	20066.25651	45054.42499	21012.77804	23095.12541	3028.868907	7950.78088	55466.16186	11547.56271	25934.69001	8707.998107	10033.12825	9843.823947	5300.520587	179839.0913	126076.6682	16658.77899	18551.82205	3596.781827	16848.08329	1325.130147	33696.16659	43918.59915	24609.55987	9275.911027
Muribaculaceae	3007666.824	3567818.268	2212399.432	418173.2134	491623.2844	1774159.962	177567.4397	1872976.81	2837860.861	1305631.803	1380785.613	594794.1316	1596024.61	3014671.084	1494557.501	973592.0492	1741599.621	117747.2788	1898154.283	532702.319	3233506.862	1915002.366	1635021.297	1838334.122	1209465.215	2613724.562	427638.4288	2013819.214	1701467.108	1085470.894	692664.4581
Lachnospiraceae	76478.9399	171888.3105	68528.15902	12683.38855	28963.55892	39943.20871	378.6086133	85944.15523	209938.4761	148982.4894	71935.63654	2271.65168	12494.08424	75343.11406	16848.08329	17794.60483	25177.47279	7572.172267	11926.17132	37860.86133	457548.5092	324846.1903	20823.47373	16090.86607	5679.1292	100141.9782	3596.781827	113014.6711	57548.50923	8897.302414	1893.043067
Turicibacter	398674.8699	36535.73119	10979.64979	11168.95409	15144.34453	52815.90156	14576.43161	1514.434453	0	757.2172267	8518.6938	5868.433507	771982.9626	403407.4775	464742.0729	18362.51775	165641.2683	90298.15428	496734.5007	18741.12636	4353.999053	0	21202.08235	2130998.58	53573.11879	136109.7965	129484.1458	51301.46711	94462.84903	5489.824894	75343.11406
Phyllobacterium	0	2271.65168	2839.5646	0	1325.130147	1514.434453	3975.39044	1135.82584	1325.130147	2082.347373	757.2172267	1893.043067	0	2271.65168	0	189.3043067	4164.694747	0	0	3028.868907	1893.043067	757.2172267	946.5215334	0	757.2172267	1135.82584	189.3043067	946.5215334	378.6086133	0	189.3043067
