	Experiment	Tissue type	DOL	Genotype
1	C	colon	DOL8	Sig Homo 
2	C	colon	DOL8	Sig WT
3	C	colon	DOL8	Sig Het
7	C	colon	DOL8	Sig Homo
8	C	colon	DOL8	Sig Homo
11	C	colon	DOL8	Sig WT
12	C	colon	DOL8	Sig Het
13	C	colon	DOL8	Sig Homo
14	C	colon	DOL8	Sig Het
15	C	colon	DOL8	Sig Het
22	C	colon	DOL8	Sig WT
23	C	colon	DOL8	Sig Homo
24	C	colon	DOL8	Sig Homo
25	C	colon	DOL8	Sig WT
30	C	colon	DOL8	Sig Homo
40	C	colon	DOL8	Sig WT
41	C	colon	DOL8	Sig Homo
42	C	colon	DOL8	Sig Homo
43	C	colon	DOL8	Sig Het
46	C	colon	DOL8	Sig WT
47	C	colon	DOL8	Sig Homo
48	C	colon	DOL8	Sig Het
49	C	colon	DOL8	Sig Het
