#NAME,Experiment,Tissue type,DOL,Genotype
4,F,colon,DOL8,Sig Homo_HET 
5,F,colon,DOL8,Sig WT
6,F,colon,DOL8,Sig Homo_HET
9,F,colon,DOL8,Sig Homo_HET
10,F,colon,DOL8,Sig WT
16,F,colon,DOL8,Sig Homo_HET
17,F,colon,DOL8,Sig Homo_HET
18,F,colon,DOL8,Sig WT
19,F,colon,DOL8,Sig Homo_HET
20,F,colon,DOL8,Sig WT
21,F,colon,DOL8,Sig Homo_HET
26,F,colon,DOL8,Sig Homo_HET
27,F,colon,DOL8,Sig WT
28,F,colon,DOL8,Sig Homo_HET
29,F,colon,DOL8,Sig Homo_HET
31,F,colon,DOL8,Sig Homo_HET
32,F,colon,DOL8,Sig WT
33,F,colon,DOL8,Sig Homo_HET
34,F,colon,DOL8,Sig Homo_HET
35,F,colon,DOL8,Sig Homo_HET
36,F,colon,DOL8,Sig WT
37,F,colon,DOL8,Sig Homo_HET
38,F,colon,DOL8,Sig Homo_HET
39,F,colon,DOL8,Sig WT
44,F,colon,DOL8,Sig WT
45,F,colon,DOL8,Sig Homo_HET
