,050A,051A,052A,053A,054A,055A,056A,057A,058A,059A,060A,061A,062A,063A,064A,065A,066A,067A,068A,069A,070A,071A,072A,073A,074A,075A,077A,078A,079A,080A,081A,082A,083A,084A,085A,086A,087A,088A,089A,090A,091A,092A,095A,096A,097A,098A,099A,100A,101A,102A,103A,104A,105A,106A,107A,214A,215A,216A,217A,218A,219A,220A,221A,222A,223A,224A,225A,226A,227A,228A,229A,230A,231A,232A,233A,234A,235A,236A,237A,238A,239A,240A,241A,242A,243A,244A,245A,246A,247A,248A
Lactobacillus,6057525.702,6305879.635,7359362.366,2354164.26,2067690.886,1836663.971,2043433.06,801663.3938,5478803.281,5900427.4,5005198.106,3568210.697,2551692.272,1767355.897,8110199.838,7990065.843,8353933.233,9081668.014,6722883.216,4429941.088,874436.8719,6512648.724,5937391.706,6788725.887,8048977.706,8206076.008,5796465.288,5699433.984,5255862.308,7739401.64,8213006.815,8400138.616,7543028.763,7205729.467,6881136.652,5326325.517,7571907.127,6762157.791,3751877.094,710407.7625,2215548.111,2890146.702,5340187.132,6402910.939,6788725.887,1230218.32,2544761.465,1151669.169,2333371.838,8668129.837,8635786.069,5210812.06,8074390.667,8460205.614,8675060.645,3784220.862,1886334.758,497863.001,252974.4715,207924.2232,13861.61488,25412.96061,3868545.686,747372.0688,2262908.629,1037310.847,105117.2462,5188864.503,4160794.733,4375649.763,4161949.867,5870393.901,5871549.035,4633244.773,4198914.174,3437680.49,6112972.161,4550075.084,704632.0896,3727619.268,5451080.051,4942820.839,992260.5984,969157.9069,428554.9266,1417350.121,1172461.592,1069654.615,1736167.263,1845905.048
Escherichia_Shigella,3487351.276,3416888.067,2185514.612,5077971.584,4606676.678,6169573.755,5613954.026,6446806.053,4056832.621,3863925.147,4523506.989,6030957.607,7199953.795,4805359.824,12706.4803,1842439.644,11551.34573,18482.15317,5775.672866,13861.61488,13861.61488,21947.55689,18482.15317,10396.21116,17327.0186,15016.74945,6930.807439,8085.942012,8085.942012,0,0,15016.74945,0,0,5775.672866,4218551.461,912556.3128,1373455.008,2163567.056,5296292.018,3908975.396,3516229.641,2945593.162,408917.6389,2310.269146,5481113.55,4924338.685,5036386.739,5318239.575,277232.2976,39274.57549,309576.0656,550999.1914,17327.0186,12706.4803,5775.672866,1155.134573,6058680.836,518655.4234,2161256.786,6091024.604,2042277.925,1333025.297,345385.2374,1692272.15,4112279.081,2778098.648,3703361.442,4751068.499,5334411.459,5012128.913,2333371.838,1687651.611,2044588.195,994570.8675,2436178.815,1930229.872,12706.4803,586808.3632,370798.198,209079.3577,213699.896,1773131.57,4032574.795,1888645.027,592584.036,1147048.631,1929074.737,2555157.676,2952523.969
Muribacter,20792.42232,30033.4989,21947.55689,2310.269146,41584.84463,19637.28774,110892.919,0,40429.71006,10396.21116,4620.538293,51981.05579,0,76238.88183,197528.012,113203.1882,582187.8249,246043.6641,19637.28774,153632.8982,15016.74945,2310.269146,33498.90262,32343.76805,315351.7385,234492.3184,20792.42232,1668014.324,31188.63348,242578.2604,276077.163,298024.7199,233337.1838,526741.3654,1412729.583,27723.22976,90100.49671,167494.5131,94721.035,23102.69146,4620.538293,36964.30634,4620.538293,30033.4989,46205.38293,12706.4803,6930.807439,2310.269146,3465.40372,401986.8315,587963.4977,2503176.62,525586.2308,405452.2352,382349.5437,0,11551.34573,769319.6257,6930.807439,131685.3413,19637.28774,0,225251.2418,0,0,0,0,66997.80524,62377.26695,0,123599.3993,170959.9168,91255.63128,69308.07439,33498.90262,27723.22976,138616.1488,214855.0306,2310.269146,49670.78665,249509.0678,168649.6477,45050.24835,0,0,8085.942012,0,0,0,0
Staphylococcus,0,3465.40372,0,1686496.477,1957953.102,808594.2012,1058103.269,1145893.497,4620.538293,2310.269146,4620.538293,102806.977,191752.3391,2716876.516,0,0,0,0,1371144.738,263370.6827,16171.88402,1157444.842,1271803.165,18482.15317,6930.807439,10396.21116,84324.82384,195217.7429,988795.1946,92410.76585,91255.63128,77394.0164,121289.1302,115513.4573,173270.186,5775.672866,23102.69146,62377.26695,1372299.873,286473.3741,508259.2122,1155134.573,6930.807439,13861.61488,11551.34573,2048053.598,1856301.259,2235185.399,1455469.562,0,0,18482.15317,0,2310.269146,0,41584.84463,19637.28774,321127.4113,80859.42012,276077.163,87790.22756,519810.5579,341919.8337,318817.1422,311886.3348,66997.80524,366177.6597,0,0,0,0,6930.807439,0,0,10396.21116,8085.942012,8085.942012,5775.672866,35809.17177,0,45050.24835,42739.97921,510569.4813,336144.1608,202148.5503,51981.05579,219475.5689,478225.7133,182511.2626,450502.4835
Streptococcus,269146.3556,101651.8424,266836.0864,53136.19037,142081.5525,231026.9146,82014.5547,24257.82604,313041.4693,115513.4573,46205.38293,234492.3184,50825.92122,620307.2658,0,0,0,4620.538293,213699.896,41584.84463,94721.035,97031.30415,225251.2418,903315.2362,869816.3336,679219.129,20792.42232,6930.807439,54291.32494,459743.5601,384659.8129,383504.6783,365022.5251,173270.186,151322.6291,284163.105,838627.7001,767009.3566,93565.90043,56601.59409,49670.78665,360401.9868,132840.4759,292249.047,273766.8938,2310.269146,8085.942012,17327.0186,6930.807439,456278.1564,652651.0338,728889.9157,488621.9245,559085.1334,636479.1498,263370.6827,117823.7265,80859.42012,10396.21116,13861.61488,2310.269146,17327.0186,403141.966,88945.36213,13861.61488,25412.96061,8085.942012,396211.1586,488621.9245,109737.7845,375418.7363,479380.8479,557929.9988,389280.3512,361557.1214,382349.5437,554464.5951,429710.0612,5775.672866,314196.6039,510569.4813,628393.2078,154788.0328,36964.30634,18482.15317,32343.76805,20792.42232,27723.22976,4620.538293,17327.0186
Klebsiella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1465865.773,10396.21116,1035000.578,384659.8129,0,0,0,0,0,0,0,0,0,0,0,957606.5612,858264.9879,486311.6553,1330715.028,1962573.64,1219822.109,0,0,0,0,0,0,0,413538.1772,2172808.132,2028416.311,637634.2844,234492.3184,352316.0448,336144.1608,0,0,0,0,0,0,0,0,32343.76805,56601.59409,25412.96061,8085.942012,0,0,319972.2768,0,0,4620.538293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcus,43895.11378,15016.74945,4620.538293,825921.2198,1180547.534,934503.8697,374263.6017,1572138.154,17327.0186,0,183666.3971,0,5775.672866,0,45050.24835,0,0,3465.40372,1644911.632,5058334.296,4145777.983,2171652.998,2485849.601,451657.6181,12706.4803,71618.34354,2232875.13,2337992.376,3420353.471,24257.82604,9241.076585,41584.84463,78549.15098,8085.942012,40429.71006,48515.65207,120133.9956,25412.96061,716183.4354,3330252.974,2403835.047,1823957.491,30033.4989,30033.4989,9241.076585,540602.9802,393900.8895,1008432.482,458588.4256,26568.09518,43895.11378,314196.6039,42739.97921,113203.1882,256439.8752,131685.3413,55446.45951,43895.11378,26568.09518,71618.34354,2663740.326,249509.0678,334989.0262,159408.5711,1363058.796,1728081.321,3956335.913,45050.24835,18482.15317,39274.57549,77394.0164,4620.538293,124754.5339,288783.6433,124754.5339,26568.09518,0,944900.0809,197528.012,1655307.843,284163.105,794732.5863,1330715.028,1505140.349,1421970.66,144391.8216,874436.8719,369643.0634,932193.6006,389280.3512
Pseudomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8085.942012,0,8085.942012,3465.40372,21947.55689,36964.30634,97031.30415,34654.0372,27723.22976,2310.269146,6930.807439,2310.269146,12706.4803,55446.45951,154788.0328,1155.134573,2310.269146,6930.807439,0,8085.942012,8085.942012,0,11551.34573,9241.076585,15016.74945,12706.4803,18482.15317,0,2310.269146,6930.807439,1155.134573,15016.74945,2310.269146,3465.40372,5775.672866,10396.21116,23102.69146,780870.9715,1155.134573,11551.34573,4620.538293,2310.269146,0,56601.59409,2310.269146,12706.4803,8085.942012,0,0,478225.7133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3465.40372,0,0,0,3465.40372,4620.538293,0
Lachnospiraceae_NK4A136_group,121289.1302,120133.9956,143236.6871,0,1155.134573,0,664202.3796,5775.672866,40429.71006,34654.0372,13861.61488,0,0,13861.61488,3465.40372,9241.076585,9241.076585,181356.128,0,0,1266027.492,0,0,2310.269146,5775.672866,17327.0186,16171.88402,0,0,20792.42232,26568.09518,10396.21116,11551.34573,0,0,18482.15317,27723.22976,61222.13238,423934.3884,255284.7407,391590.6203,100496.7079,41584.84463,42739.97921,109737.7845,3465.40372,15016.74945,113203.1882,71618.34354,125909.6685,8085.942012,26568.09518,91255.63128,122444.2648,5775.672866,740441.2614,1430056.602,20792.42232,277232.2976,4417234.608,15016.74945,2730738.131,492087.3282,231026.9146,301490.1236,8085.942012,113203.1882,3465.40372,65842.67067,0,0,0,97031.30415,35809.17177,430865.1958,452812.7527,0,122444.2648,114358.3227,82014.5547,517500.2888,75083.74726,2824304.031,167494.5131,2223634.053,1187478.341,724269.3774,542913.2494,2790805.129,1498209.541
Muribaculaceae,0,0,2310.269146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,764699.0874,92410.76585,79704.28555,0,0,0,0,4620.538293,2310.269146,1155.134573,0,3465.40372,10396.21116,56601.59409,124754.5339,467829.5021,0,0,0,690770.4748,30033.4989,263370.6827,0,0,0,0,5775.672866,0,0,27723.22976,61222.13238,0,2162411.921,3419198.337,17327.0186,3539332.332,5775.672866,0,2243271.341,889453.6213,180200.9934,0,801663.3938,0,0,0,0,0,1155.134573,0,963382.234,1352662.585,1893265.565,0,158253.4365,3384544.299,1054637.865,894074.1596,523275.9616,79704.28555,755458.0109,3465.40372,2238650.803,2984867.737,4469215.664,3465.40372,0
