#NAME	050B	051B	052B	053B	054B	055B	056B	057B	058B	059B	060B	061B	062B	063B	064B	065B	066B	067B	068B	069B	070B	071B	072B	073B	074B	075B	076B	077B	078B	079B	080B	081B	082B	083B	084B	085B	086B	087B	088B	089B	090B	091B	092B	093B	094B	095B	096B	097B	098B	099B	100B	101B	102B	103B	104B	105B	106B	107B	214B	215B	216B	217B	218B	219B	220B	221B	222B	223B	224B	225B	226B	227B	228B	229B	230B	231B	232B	233B	234B	235B	236B	237B	238B	239B	240B	241B	242B	243B	244B	245B	246B	247B	248B
Lactobacillus	2894526.568	479424.6904	4746304.435	117858.5697	413503.7954	383539.7523	73911.30643	123851.3783	3671594.087	6947662.805	7255293.648	215741.1107	1048741.51	173791.4503	9226927.687	9117059.529	8913304.035	9161006.792	103875.3496	171793.8474	1941669.996	4093088.294	527367.1594	5691170.595	4518577.707	7912504.994	9382740.711	1881741.91	403515.7811	93887.3352	5535357.571	6823811.426	4836196.564	4730323.612	5653216.141	6935677.187	7375149.82	9125049.94	8162205.354	4778266.081	2842588.893	1024770.276	1656012.785	231721.9337	1110667.199	5463443.867	7141430.284	6835797.044	125848.9812	551338.3939	799041.1506	1090691.171	6817818.618	4864163.004	7878545.745	8302037.555	3433879.345	8507790.651	403515.7811	2091490.212	2159408.71	529364.7623	221733.9193	23971.23452	119856.1726	59928.0863	231721.9337	439472.6328	155813.0244	153815.4215	2183379.944	2241310.427	4558529.764	1460247.703	4678385.937	3743507.791	3248102.277	1817818.618	5563324.011	2636835.797	3993208.15	4448661.606	2554934.079	7277267.279	2299240.911	125848.9812	463443.8674	165801.0388	231721.9337	207750.6992	153815.4215	2634838.194	375549.3408
Escherichia_Shigella	6771873.751	8419896.125	4662405.114	3266080.703	4622453.056	511386.3364	6949660.408	5025968.837	5063923.292	1965641.231	2337195.366	2479025.17	7085497.403	3341989.612	5992.80863	3995.205753	1997.602877	5992.80863	69916.10068	0	23971.23452	5992.80863	15980.82301	9988.014383	27966.44027	7990.411506	13983.22014	49940.07191	71913.70356	0	11985.61726	15980.82301	43947.26328	3995.205753	61925.68917	3995.205753	2121454.255	0	9988.014383	2019576.508	125848.9812	3673591.69	157810.6272	21973.63164	139832.2014	2207351.179	7990.411506	0	211745.9049	4914103.076	19976.02877	671194.5665	7990.411506	0	345585.2976	11985.61726	13983.22014	1997.602877	37954.45465	109868.1582	4348781.462	113863.364	127846.5841	4384738.314	193767.479	157810.6272	125848.9812	137834.5985	133839.3927	307630.843	1402317.219	629244.9061	783060.3276	191769.8761	133839.3927	59928.0863	55932.88054	95884.93807	1524170.995	53935.27767	19976.02877	33959.2489	81901.71794	17978.42589	127846.5841	1140631.243	59928.0863	203755.4934	247702.7567	3076308.43	521374.3508	803036.3564	197762.6848
Muribacter	91889.73232	0	199760.2877	27966.44027	23971.23452	872952.4571	393527.7667	159808.2301	51937.67479	627247.3032	25968.8374	265681.1826	0	41949.66041	721134.6384	731122.6528	924890.1318	727127.4471	735117.8586	805033.9592	163803.4359	95884.93807	657211.3464	2055533.36	2970435.477	1622053.536	139832.2014	155813.0244	571314.4227	1174590.491	3252097.483	2584898.122	3993208.15	4514582.501	1703955.254	2712744.706	59928.0863	413503.7954	733120.2557	21973.63164	465441.4702	103875.3496	868957.2513	199760.2877	491410.3076	487415.1019	499400.7191	625249.7004	31961.64602	0	191769.8761	0	2586895.725	3066320.416	681182.5809	1282461.047	4718337.994	1030763.084	3809428.686	1132640.831	15980.82301	962844.5865	485417.499	946863.7635	1310427.487	1550139.832	0	441470.2357	1396324.411	1630043.947	1280463.444	3090291.65	2359168.997	4516580.104	1440271.674	2491010.787	1500199.76	717139.4327	1038753.496	1546144.626	2550938.873	2087495.006	2233320.016	1254494.606	803036.3564	0	0	37954.45465	69916.10068	53935.27767	485417.499	549340.7911	327606.8718
Staphylococcus	0	37954.45465	0	167798.6416	2592888.534	1779864.163	990811.0268	379544.5465	13983.22014	21973.63164	11985.61726	904914.1031	1442269.277	333599.6804	0	5992.80863	3995.205753	3995.205753	846983.6197	4424690.372	707151.4183	2952457.052	1971634.039	23971.23452	49940.07191	5992.80863	3995.205753	1805833	3485817.02	467439.0731	23971.23452	15980.82301	55932.88054	77906.51219	85896.92369	51937.67479	1997.602877	9988.014383	9988.014383	1602077.507	3573711.546	2487015.581	5433479.824	7121454.255	5988813.424	21973.63164	45944.86616	45944.86616	8873351.978	4202956.452	8463843.388	4526568.118	0	0	0	5992.80863	0	0	77906.51219	119856.1726	181781.8618	273671.5941	4832201.358	2612864.563	1140631.243	5243707.551	1731921.694	906911.706	2628845.386	1666000.799	115860.9668	39952.05753	31961.64602	63923.29205	63923.29205	47942.46904	101877.7467	143827.4071	25968.8374	99880.14383	75908.90931	29964.04315	49940.07191	27966.44027	55932.88054	1258489.812	1508190.172	517379.145	2113463.843	2087495.006	685177.7867	747103.4758	2087495.006
Streptococcus	91889.73232	53935.27767	235717.1394	47942.46904	99880.14383	635237.7147	27966.44027	281662.0056	601278.4658	291650.02	131841.7899	693168.1982	101877.7467	381542.1494	5992.80863	27966.44027	7990.411506	13983.22014	335597.2833	595285.6572	157810.6272	165801.0388	1502197.363	1354374.75	383539.7523	205753.0963	149820.2157	387534.9581	211745.9049	337594.8861	123851.3783	71913.70356	93887.3352	75908.90931	247702.7567	29964.04315	257690.7711	217738.7135	711146.6241	183779.4646	609268.8773	299640.4315	1092688.773	505393.5278	463443.8674	57930.48342	77906.51219	53935.27767	159808.2301	23971.23452	147822.6129	725129.8442	165801.0388	435477.4271	431482.2213	211745.9049	511386.3364	125848.9812	5992.80863	247702.7567	123851.3783	115860.9668	111865.7611	117858.5697	89892.12944	65920.89493	71913.70356	107870.5553	121853.7755	485417.499	241709.9481	713144.2269	389532.5609	183779.4646	289652.4171	439472.6328	29964.04315	71913.70356	371554.135	55932.88054	467439.0731	375549.3408	653216.1406	269676.3883	29964.04315	209748.302	173791.4503	27966.44027	223731.5222	145825.01	0	105872.9525	195765.0819
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225729.125	309628.4459	0	0	0	0	0	0	0	0	0	0	1516180.583	2033559.728	2393128.246	0	5992.80863	0	219736.3164	0	1040751.099	0	1997.602877	0	0	53935.27767	103875.3496	0	133839.3927	43947.26328	11985.61726	71913.70356	73911.30643	131841.7899	129844.187	29964.04315	65920.89493	35956.85178	47942.46904	23971.23452	71913.70356	81901.71794	67918.4978	93887.3352	149820.2157	31961.64602	91889.73232	13983.22014	29964.04315	33959.2489	0	89892.12944	85896.92369	69916.10068	135836.9956	25968.8374	49940.07191	65920.89493	31961.64602	71913.70356
Enterococcus	0	207750.6992	0	441470.2357	777067.519	111865.7611	463443.8674	47942.46904	0	0	1997.602877	29964.04315	0	35956.85178	0	0	0	0	4646424.291	2848581.702	5946863.763	1186576.109	1260487.415	0	0	0	0	237714.7423	161805.833	155813.0244	0	0	0	0	0	0	1997.602877	0	0	481422.2932	73911.30643	627247.3032	147822.6129	497403.1163	259688.374	9988.014383	5992.80863	0	0	19976.02877	0	135836.9956	0	13983.22014	245705.1538	0	0	0	37954.45465	27966.44027	1076707.95	69916.10068	191769.8761	689172.9924	79904.11506	41949.66041	167798.6416	123851.3783	297642.8286	942868.5577	17978.42589	0	0	9988.014383	87894.52657	29964.04315	45944.86616	67918.4978	0	45944.86616	13983.22014	5992.80863	41949.66041	0	57930.48342	2491010.787	391530.1638	163803.4359	733120.2557	597283.2601	97882.54095	926887.7347	385537.3552
Pseudomonas	97882.54095	517379.145	97882.54095	3449860.168	795045.9449	2754694.367	569316.8198	2147423.092	265681.1826	63923.29205	95884.93807	2207351.179	189772.2733	3174190.971	23971.23452	31961.64602	61925.68917	33959.2489	1823811.426	503395.9249	575309.6284	411506.1926	1622053.536	511386.3364	1166600.08	107870.5553	139832.2014	2235317.619	2904514.583	3304035.158	287654.8142	129844.187	359568.5178	207750.6992	569316.8198	97882.54095	61925.68917	65920.89493	133839.3927	281662.0056	836995.6053	303635.6372	207750.6992	399520.5753	491410.3076	39952.05753	51937.67479	15980.82301	331602.0775	53935.27767	215741.1107	1074710.348	227726.7279	379544.5465	15980.82301	85896.92369	439472.6328	121853.7755	623252.0975	317618.8574	0	383539.7523	247702.7567	73911.30643	183779.4646	195765.0819	501398.322	279664.4027	369556.5322	339592.489	233719.5366	277666.7998	267678.7855	371554.135	149820.2157	235717.1394	357570.9149	511386.3364	99880.14383	419496.6041	141829.8042	407510.9868	257690.7711	115860.9668	677187.3751	399520.5753	753096.2845	689172.9924	563324.0112	535357.5709	583300.04	311626.0487	455453.4559
Lachnospiraceae_NK4A136_group	0	15980.82301	0	0	121853.7755	0	21973.63164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11985.61726	0	0	0	11985.61726	0	0	0	0	0	0	0	0	0	0	145825.01	0	0	0	11985.61726	31961.64602	149820.2157	59928.0863	0	0	71913.70356	0	71913.70356	87894.52657	37954.45465	0	11985.61726	3995.205753	0	0	0	9988.014383	25968.8374	0	7990.411506	71913.70356	13983.22014	15980.82301	23971.23452	0	29964.04315	39952.05753	17978.42589	189772.2733	49940.07191	29964.04315	43947.26328	135836.9956	65920.89493
Muribaculaceae	0	0	0	0	0	0	0	0	0	0	0	155813.0244	0	39952.05753	0	0	0	0	0	0	0	0	0	0	3995.205753	0	0	45944.86616	0	9988.014383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7990.411506	7990.411506	9988.014383	0	17978.42589	21973.63164	0	35956.85178	13983.22014	33959.2489	29964.04315	29964.04315	15980.82301	15980.82301	5992.80863	5992.80863	0	13983.22014	0	3995.205753	25968.8374	0	15980.82301	0	1997.602877	23971.23452	0	53935.27767	17978.42589	41949.66041	27966.44027	23971.23452	0	23971.23452	1997.602877	17978.42589
