#NAME,1914-16,1915-16,1916-16,1917-16,1918-16,1919-16,1920-16,1945-16,1947-16,1948-16,1949-16,1951-16,1952-16
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,10999,12869,17974,10710,7707,3775,7604,11151,12005,3398,27138,13451,15935
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA,26101,17491,15081,33834,15923,36137,47091,23286,15155,26245,34487,23844,26355
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes,6649,4476,7334,9665,4931,8285,5587,6565,5244,9291,6,5,4
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter,8884,5576,3251,1071,2267,111,923,4827,1074,6063,2522,6647,2721
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,4,0,0,0,0,0,4836,2200,9082,2249,1254,1467
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group,12522,12218,7191,16483,16737,19250,33503,9808,12338,7745,4440,3402,12924
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia,900,831,1677,1812,755,2181,1287,1911,73,1166,133,23,10
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2,1465,6155,1832,616,990,371,933,72,1186,390,60,66,298
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA,9832,12048,6497,13535,9610,4353,5899,6085,8205,9378,2547,2757,7768
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium,1401,998,1106,2452,1088,644,1729,788,1360,1728,255,194,525
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma,397,362,436,1396,284,45,58,52,218,569,595,244,1567
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium,2323,3561,2084,2617,3230,2142,2423,897,1569,1003,412,696,2237
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1,183,177,127,0,0,0,0,736,81,788,268,506,261
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA,1007,707,950,2335,1063,1758,1216,1430,867,2645,1810,880,3055
