#NAME,1913-B,1914-B,1915-B,1916-B,1917-B,1918-B,1919-B,1920-B,1945-B,1947-B,1948-B,1949-B,1951-B,1952-B
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus,1606,7477,2668,16165,4962,6918,6606,7162,8403,5291,1925,21648,6141,6251
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;NA,38173,20809,38560,21327,10615,15968,11598,20259,14845,7405,25208,7044,6122,4953
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes,5689,4072,2583,2543,7663,4017,3592,9084,0,0,6,0,0,2
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Turicibacter,0,0,0,0,84,54,0,0,0,0,0,526,2097,104
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,0,0,0,0,0,0,0,0,7018,1470,3571,1395,1239,3374
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_NK4A136_group,7647,10232,2972,3612,11214,11487,9887,10371,8259,9469,7999,7278,11490,16361
Bacteria;Verrucomicrobia;Verrucomicrobiae;Verrucomicrobiales;Akkermansiaceae;Akkermansia,713,1248,3038,3812,136,658,164,1922,684,56,1387,53,88,83
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;A2,435,6111,15199,6429,7567,7257,4887,16105,79,1908,861,701,3737,1542
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;NA,6595,8544,3411,4500,6582,7585,5128,8695,5149,8454,4173,2305,7465,7977
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium,1468,1410,1267,1441,2435,1069,1297,1843,1380,1680,1091,526,1016,1458
Bacteria;Tenericutes;Mollicutes;Anaeroplasmatales;Anaeroplasmataceae;Anaeroplasma,593,312,283,315,245,391,106,629,563,100,299,285,144,1367
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium,5219,2384,1602,2550,3564,3521,9215,2334,2676,4613,2352,1482,4081,5581
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_1,0,2,0,0,0,0,0,0,55,79,1556,13,245,25
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_vadinBB60_group;NA,669,342,767,766,828,570,405,2009,1547,1391,379,600,602,1706
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_9,468,306,266,478,331,316,400,661,723,384,483,284,458,551
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Oscillibacter,968,1174,1681,1182,520,424,733,1277,1019,784,736,301,1639,927
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Intestinimonas,491,355,59,271,334,307,241,168,192,397,267,164,409,573
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_1,248,49,9,307,0,58,291,719,1607,375,1703,33,50,243
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-006,1140,1731,54,140,1155,1435,859,443,362,653,377,81,289,214
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_UCG-001,1053,731,589,1807,62,91,671,513,534,576,434,347,1725,1525
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_6,28,34,0,0,346,299,45,3,569,98,322,33,372,568
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium_5,2377,2596,487,1022,1844,959,574,624,119,132,127,117,403,397
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium,68,29,15,33,12,60,19,0,0,0,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;GCA-900066575,217,280,877,412,88,215,546,1025,161,160,252,60,223,281
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;ASF356,1106,599,35,96,384,547,365,105,107,165,38,82,206,359
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;NA,309,220,220,318,392,255,153,405,320,318,297,130,288,351
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Roseburia,101,194,5,34,488,154,160,180,686,561,292,31,278,230
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Tyzzerella_3,75,96,0,10,66,115,102,0,264,303,204,133,108,386
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus,59,67,0,21,53,11,18,23,88,57,45,0,64,208
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Angelakisella,368,621,0,66,266,163,130,208,109,58,80,28,166,238
Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Acetatifactor,342,388,173,426,138,130,114,378,286,239,194,162,480,473
