#NAME,Y or O,Timepoint
1913-B,Y,Baseline
1914-B,Y,Baseline
1915-B,Y,Baseline
1916-B,Y,Baseline
1917-B,Y,Baseline
1918-B,Y,Baseline
1919-B,Y,Baseline
1920-B,Y,Baseline
1945-B,O,Baseline
1947-B,O,Baseline
1948-B,O,Baseline
1949-B,O,Baseline
1951-B,O,Baseline
1952-B,O,Baseline
1913-4,Y,4w BBN
1914-4,Y,4w BBN
1915-4,Y,4w BBN
1916-4,Y,4w BBN
1917-4,Y,4w BBN
1918-4,Y,4w BBN
1919-4,Y,4w BBN
1920-4,Y,4w BBN
1945-4,O,4w BBN
1947-4,O,4w BBN
1948-4,O,4w BBN
1949-4,O,4w BBN
1951-4,O,4w BBN
1952-4,O,4w BBN
1913-8,Y,8w BBN
1914-8,Y,8w BBN
1915-8,Y,8w BBN
1916-8,Y,8w BBN
1917-8,Y,8w BBN
1918-8,Y,8w BBN
1919-8,Y,8w BBN
1920-8,Y,8w BBN
1945-8,O,8w BBN
1947-8,O,8w BBN
1948-8,O,8w BBN
1949-8,O,8w BBN
1951-8,O,8w BBN
1952-8,O,8w BBN
1913-12,Y,12w BBN
1914-12,Y,12w BBN
1915-12,Y,12w BBN
1916-12,Y,12w BBN
1917-12,Y,12w BBN
1918-12,Y,12w BBN
1919-12,Y,12w BBN
1920-12,Y,12w BBN
1945-12,O,12w BBN
1947-12,O,12w BBN
1948-12,O,12w BBN
1949-12,O,12w BBN
1951-12,O,12w BBN
1952-12,O,12w BBN
1913-16,Y,16w BBN
1914-16,Y,16w BBN
1915-16,Y,16w BBN
1916-16,Y,16w BBN
1917-16,Y,16w BBN
1918-16,Y,16w BBN
1919-16,Y,16w BBN
1920-16,Y,16w BBN
1945-16,O,16w BBN
1947-16,O,16w BBN
1948-16,O,16w BBN
1949-16,O,16w BBN
1951-16,O,16w BBN
1952-16,O,16w BBN
